,구동명,202001,202101,202201,위도,경도
277,구로구 신도림동,37203,36424,36352,37.5077664,126.8805826
278,구로구 구로1동,22076,21622,21141,37.4930433,126.8757585
279,구로구 구로3동,26238,25655,25196,37.4873799,126.8903678
280,구로구 구로4동,26165,24801,23698,37.4916271,126.8891697
281,구로구 구로5동,33420,32155,31739,37.5001593,126.8892945
282,구로구 고척1동,24151,23441,22594,37.5004631,126.8628603
283,구로구 고척2동,28860,27771,27069,37.5067055,126.8587122
284,구로구 개봉2동,32957,32100,31272,37.4925187,126.8620808
285,구로구 개봉3동,21980,21158,20602,37.485993,126.853838
286,구로구 오류1동,23308,23349,23126,37.497009,126.845201
287,구로구 수궁동,24850,24238,23708,37.4939422,126.8314627
288,구로구 가리봉동,15237,14045,13069,37.4825557,126.8897489
289,구로구 구로2동,35123,32753,31125,37.491377,126.8834703
290,구로구 개봉1동,33706,35232,34523,37.5003318,126.8511255
291,구로구 오류2동,40784,39566,39026,37.4888016,126.8395371
292,구로구 항동,13366,16410,16514,37.4801833,126.8233756
293,금천구,252022,247261,244905,,
294,금천구 가산동,24566,25986,26250,37.4769094,126.8917326
295,금천구 독산1동,44277,44189,46818,37.4702453,126.897041
296,금천구 독산2동,21374,20581,20169,37.4631474,126.9034825
297,금천구 독산3동,29870,28421,27609,37.4751198,126.9032524
298,금천구 독산4동,18190,17397,16735,37.4675452,126.9022074
299,금천구 시흥1동,36668,35659,34491,37.4535411,126.9032625
300,금천구 시흥2동,22596,22037,21334,37.4495487,126.9148345
301,금천구 시흥3동,11509,11229,10935,37.4403095,126.9057945
302,금천구 시흥4동,22143,21461,20902,37.459029,126.9061924
303,금천구 시흥5동,20829,20301,19662,37.4523912,126.908294
304,영등포구,401173,407069,400839,,
305,영등포구 여의동,34683,34357,33322,37.5177232,126.934584
306,영등포구 당산1동,21513,21196,20712,37.5249643,126.897443
307,영등포구 당산2동,36410,37996,37935,37.5310483,126.8973273
308,영등포구 양평1동,18242,17742,18583,37.52365,126.888238
309,영등포구 양평2동,22798,22540,22460,37.5364739,126.8939535
310,영등포구 신길1동,19753,19095,18740,37.5112667,126.9214285
311,영등포구 신길3동,18747,18021,17603,37.5073003,126.9077425
312,영등포구 신길4동,9973,13076,13089,37.5084555,126.9112884
313,영등포구 신길5동,10593,12359,11646,37.5016177,126.9052679
314,영등포구 신길6동,19415,19745,19820,37.498535,126.919437
315,영등포구 신길7동,17266,20458,20213,37.506392,126.921475
316,영등포구 대림1동,16327,17616,17047,37.4954685,126.905818
317,영등포구 대림2동,21371,19512,18133,37.4927521,126.8982938
318,영등포구 대림3동,28555,26783,25835,37.4983347,126.8980312
319,영등포구 영등포본동,24750,23634,23145,37.5146826,126.9093046
320,영등포구 영등포동,27278,28981,29922,37.5203985,126.9106918
321,영등포구 도림동,21498,20529,19783,37.509475,126.89595
322,영등포구 문래동,32001,33429,32851,37.517086,126.899466
323,동작구,408747,400432,394325,,
324,동작구 노량진2동,13817,13484,11486,37.508509,126.937352
325,동작구 상도1동,48007,46546,45410,37.4981,126.953089
326,동작구 상도1동,48007,46546,45410,37.503289,126.950599
327,동작구 상도2동,29230,28006,28308,37.5055197,126.942296
328,동작구 상도3동,26043,25396,24785,37.4991123,126.9313793
329,동작구 상도4동,29900,29302,28942,37.4994203,126.941422
330,동작구 사당1동,24021,23549,23277,37.4830639,126.9786682
331,동작구 사당3동,25948,25223,24542,37.4845247,126.9734908
332,동작구 사당4동,14947,14543,14303,37.4809888,126.9716704
333,동작구 사당5동,12869,14769,14532,37.4857521,126.9668658
334,동작구 대방동,40181,39136,38262,37.508133,126.92635
335,동작구 신대방1동,26575,25704,24978,37.488943,126.91005
336,동작구 신대방2동,20723,20438,21819,37.4984422,126.9244085
337,동작구 흑석동,35529,34411,33249,37.5058617,126.966612
338,동작구 노량진1동,32668,32323,32237,37.512308,126.942013
339,동작구 사당2동,28289,27602,28195,37.4887323,126.9792598
340,관악구,517239,508565,499374,,
341,관악구 보라매동,26457,25222,24976,37.4881456,126.9327389
342,관악구 청림동,16253,15679,15228,37.4918329,126.9585773
343,관악구 행운동,30095,29745,29451,37.4806541,126.9570456
344,관악구 낙성대동,17594,17542,17441,37.4762971,126.9583884
345,관악구 중앙동,15892,15718,15482,37.4842598,126.9497133
346,관악구 인헌동,27100,26458,26139,37.4750974,126.9652628
347,관악구 남현동,18920,18533,18279,37.4745394,126.9778366
348,관악구 서원동,24037,23524,23325,37.4797346,126.9313
349,관악구 신원동,19741,19269,18747,37.4815883,126.9273519
350,관악구 서림동,24336,24394,23669,37.4749956,126.9349995
351,관악구 신사동,26015,25269,24842,37.4829831,126.9192856
352,관악구 신림동,22588,22632,23205,37.487426,126.927075
353,관악구 난향동,16373,15890,15416,37.461429,126.918842
354,관악구 조원동,19577,19119,18837,37.4826299,126.9078649
355,관악구 대학동,24480,24822,24857,37.4706145,126.9369907
356,관악구 은천동,35362,34540,33619,37.4853086,126.9424278
357,관악구 성현동,30951,30426,29326,37.4895366,126.9481271
358,관악구 청룡동,34643,36337,36573,37.4791304,126.9416518
359,관악구 난곡동,28888,28031,27194,37.4709634,126.9216507
360,관악구 삼성동,25204,23712,21757,37.470101,126.932963
361,관악구 미성동,32733,31703,31011,37.4761761,126.9155534
362,서초구,435339,428547,415402,,
363,서초구 서초1동,21594,21070,20779,37.4901186,127.0195082
364,서초구 서초2동,18939,22102,26674,37.49208,127.02496
365,서초구 서초3동,31088,32411,32805,37.4836682,127.0119725
366,서초구 서초4동,31978,31689,31077,37.5026685,127.0221589
367,서초구 잠원동,35190,28442,26903,37.5149619,127.0140771
368,서초구 반포본동,12163,11894,1576,37.5004776,126.98606
369,서초구 반포1동,33303,32557,34876,37.5050895,127.0135073
370,서초구 반포2동,16397,16248,15811,37.5046022,126.9945091
371,서초구 반포3동,20387,22414,22203,37.5120925,127.0056289
372,서초구 반포4동,20220,19968,19786,37.4974314,127.0003853
373,서초구 방배본동,21585,21261,21018,37.4941452,126.988785
374,서초구 방배1동,17620,17357,16962,37.4832801,126.9945569
375,서초구 방배2동,20946,20366,19398,37.4797439,126.9855106
376,서초구 방배3동,22333,21271,18846,37.4784409,126.9999918
377,서초구 방배4동,24073,24039,23749,37.489007,126.9923344
378,서초구 양재1동,45843,44700,43264,37.4716412,127.026744
379,서초구 양재2동,23179,22680,22082,37.470601,127.041188
380,서초구 내곡동,18501,18078,17593,37.4493583,127.0583103
381,강남구,551055,543323,537975,,
382,강남구 신사동,17551,16825,16180,37.5240101,127.0227814
383,강남구 개포3동,,,,37.584966,127.093467
384,강남구 논현1동,23897,23687,22672,37.5115706,127.028461
385,강남구 논현2동,21977,21983,21358,37.517342,127.037213
386,강남구 삼성1동,14928,13551,13125,37.5144424,127.062532
387,강남구 삼성2동,30746,30269,30872,37.5112,127.04595
388,강남구 대치1동,25324,24808,24086,37.4931821,127.0567047
389,강남구 대치4동,20815,20627,19973,37.4997415,127.0579127
390,강남구 역삼1동,36990,36658,36525,37.4954841,127.0333574
391,강남구 역삼2동,37467,37244,36309,37.4959674,127.0468034
392,강남구 도곡1동,22673,22214,21552,37.488238,127.0390246
393,강남구 도곡2동,34489,34000,33207,37.4837425,127.0464338
394,강남구 개포1동,6925,6641,6674,37.4827409,127.055737
395,강남구 개포4동,18368,23345,23879,37.4788183,127.0516374
396,강남구 일원본동,24416,23913,23257,37.4833484,127.0864633
397,강남구 일원1동,16482,15808,15241,37.491839,127.0879629
398,강남구 일원2동,18115,17763,17599,37.4922048,127.0737224
399,강남구 수서동,15896,15265,14844,37.4889181,127.104929
400,강남구 세곡동,45055,44394,43381,37.4643683,127.1043555
401,강남구 압구정동,27755,27360,26412,37.530642,127.030713
402,강남구 청담동,30211,27277,25890,37.525107,127.049291
403,강남구 대치2동,38685,37446,36794,37.5022848,127.0642072
404,강남구 개포2동,22290,22245,28145,37.4897723,127.0689523
405,송파구,683155,673081,664527,,
406,송파구 풍납1동,15490,14482,13387,37.538092,127.122075
407,송파구 풍납2동,25585,25664,24947,37.5292584,127.1157686
408,송파구 거여1동,13241,13021,12604,37.4969643,127.1432324
409,송파구 거여2동,16903,19313,19611,37.4935803,127.1468764
410,송파구 마천1동,20698,19828,19041,37.4960195,127.1499724
411,송파구 마천2동,20222,19636,18810,37.4968477,127.1485193
412,송파구 방이1동,16541,16266,15768,37.510933,127.123925
413,송파구 방이2동,26265,26665,27017,37.5164444,127.1114868
414,송파구 오륜동,18923,18465,18029,37.515425,127.1343
415,송파구 오금동,41031,39627,38594,37.5030528,127.1281494
416,송파구 송파1동,25974,25135,24145,37.5062595,127.1093393
417,송파구 송파2동,20919,20685,19316,37.502317,127.1167651
418,송파구 석촌동,34269,33001,32162,37.503592,127.1037
419,송파구 삼전동,32568,31759,30621,37.502714,127.0925354
420,송파구 가락본동,27898,27328,26463,37.4955568,127.1217864
421,송파구 가락1동,27877,27738,27427,37.4964898,127.1098653
422,송파구 가락2동,33908,33113,32273,37.4987054,127.1266714
423,송파구 문정1동,21342,20843,20190,37.4900982,127.1241719
424,송파구 문정2동,30006,29474,29099,37.489823,127.1108107
425,송파구 잠실본동,29607,29001,28419,37.5061,127.084338
426,송파구 잠실4동,22246,21776,21373,37.5201089,127.1122668
427,송파구 잠실6동,17468,17322,16929,37.518142,127.10065
428,송파구 잠실7동,10178,9882,9565,37.5086777,127.0771146
429,송파구 잠실2동,36843,36121,35125,37.5119488,127.088559
430,송파구 잠실3동,36083,35299,34508,37.513333,127.094375
431,송파구 장지동,32750,30229,29667,37.4785,127.1354
432,송파구 위례동,28320,31408,39437,37.4811656,127.1439378
433,강동구,445143,465315,466269,,
434,강동구 강일동,32032,37520,33044,37.5649783,127.173909
435,강동구 상일동,14621,34230,,37.550583,127.1683007
436,강동구 명일1동,26732,26322,25952,37.5512453,127.1443656
437,강동구 명일2동,17768,17594,17565,37.546366,127.1513427
438,강동구 고덕1동,27099,25933,24313,37.5572593,127.1515382
439,강동구 고덕2동,20322,22683,22432,37.5605,127.16435
440,강동구 암사2동,14968,15471,15253,37.5517481,127.1272074
441,강동구 암사3동,18678,18356,17927,37.5549912,127.1408249
442,강동구 천호1동,28408,27690,26946,37.5450159,127.1368066
443,강동구 천호3동,28015,27094,26959,37.5361455,127.1332269
444,강동구 성내1동,20587,20319,20070,37.5304417,127.122425
445,강동구 성내2동,25205,24844,24040,37.532425,127.129563
446,강동구 성내3동,23954,23744,23297,37.5260101,127.13287
447,강동구 둔촌1동,283,260,144,37.5333656,127.1419851
448,강동구 둔촌2동,27709,25769,24745,37.5332885,127.1419221
449,강동구 암사1동,36689,35587,34823,37.551508,127.132663
450,강동구 천호2동,35843,35070,33706,37.543525700000004,127.1254351
451,강동구 길동,46230,46829,45927,37.5345598,127.1426791
452,강동구 상일1동,,,38922,37.550583,127.1683007
