,사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,code,y,x
37,202101,2호선,도림천,0,0,271,283,907,628,2520,2345,2964,5219,1507,2249,1725,1356,1368,1184,2301,1828,1440,1414,1817,1720,1892,1389,2534,1574,2666,2009,3439,2454,1849,2374,859,1411,873,1702,241,711,98,330,0,23,0,0,0,0,0,0,247.0,37.514287,126.882768
38,202001,2호선,도림천,0,0,339,347,984,788,2674,2711,3437,5376,2069,2085,1838,1456,1683,1426,2278,2178,1814,1316,1819,1748,2241,1548,2320,1828,2864,2059,3327,2829,1859,2573,871,1639,819,1463,412,1274,215,1064,23,348,2,6,0,0,0,0,247.0,37.514287,126.882768
39,202201,2호선,뚝섬,12,7,2907,1593,6673,12384,14653,31254,23151,122340,14640,81065,12310,36077,13447,25829,16731,26901,20200,30008,24985,25880,29267,26586,36314,27722,57385,30026,113421,35962,53717,19848,42406,12058,45294,15502,10764,8002,2313,3337,0,65,0,0,0,0,0,0,210.0,37.547184,127.047367
40,202101,2호선,뚝섬,10,0,2833,1895,6441,10928,14571,28378,21655,113554,13285,69541,10460,26549,10687,17041,13139,17703,16053,19736,17961,18392,20378,18090,25542,18553,45036,21724,100514,29088,48622,18587,29624,11345,27154,12854,8235,5566,1886,3022,1,50,0,0,0,0,0,0,210.0,37.547184,127.047367
41,202001,2호선,뚝섬,30,0,3703,1721,7878,12965,19267,25576,31399,124010,19432,69798,15530,29590,16472,24061,19465,25225,24572,28013,26290,26027,29858,26530,35363,27575,47289,30694,108265,40414,54065,29146,30849,15529,27489,14577,19708,14029,8208,9187,1261,3302,6,93,0,0,0,0,210.0,37.547184,127.047367
42,202201,2호선,문래,1,0,3054,2213,10393,11633,35653,29914,41820,115012,23150,51830,16687,20400,16461,18219,19327,20366,21187,20561,21485,21170,23678,21310,30720,24544,51873,30499,93928,47106,33019,32058,27201,17655,34960,24736,8265,11275,2069,4423,1,191,0,0,0,0,0,0,235.0,37.517933,126.89476
43,202101,2호선,문래,13,0,2986,1602,9964,8132,33418,29947,37298,103191,20696,49622,14132,18982,13356,15464,15785,15547,17036,16894,17692,16314,19397,16034,24257,18335,46487,24342,87393,40815,30471,30045,24147,16985,23175,19357,6196,8200,1806,3572,1,101,0,0,0,0,0,0,235.0,37.517933,126.89476
44,202001,2호선,문래,5,1,3582,1812,10776,10449,41022,29860,46229,123099,27486,57778,20796,24398,20701,21868,23974,22185,25936,24440,25937,23394,27232,23899,32161,26363,50157,31396,101142,49225,40383,42407,27197,23002,26299,20452,21125,18666,9920,12686,1557,4246,14,117,1,1,0,0,235.0,37.517933,126.89476
45,202201,2호선,방배,2,0,1922,2644,7852,9639,18322,22446,27633,66552,22374,41982,16485,20455,16364,17018,18727,17729,21678,20054,21871,19279,23149,19729,27422,20690,36365,26250,59824,33722,23645,24124,19184,15503,22341,22099,9452,11636,2252,3496,0,24,0,0,0,0,0,0,225.0,37.481426,126.997596
46,202101,2호선,방배,3,0,2120,2803,7776,12777,17787,23548,25560,59160,20090,40045,13888,17914,13843,13443,15147,14621,18110,16517,17759,16278,19383,16337,25724,17591,35334,22857,55232,30687,23585,22462,17724,14899,19974,19435,6417,6969,2076,3313,1,39,0,1,0,0,0,0,225.0,37.481426,126.997596
47,202001,2호선,방배,13,1,2868,3496,9277,12768,22320,24352,35180,72282,29077,47818,20847,26568,22479,21796,23940,22496,27211,25830,27127,25318,29388,24405,33351,26006,43997,31313,69831,39629,31184,34496,22431,21105,22694,20146,19167,21184,8857,12882,1840,3883,14,51,0,7,0,0,225.0,37.481426,126.997596
48,202201,2호선,봉천,46,0,13131,1025,24037,6040,67426,8414,109467,23093,64752,17925,35575,17641,30067,19021,32004,21267,31824,23994,27735,26223,26556,32544,28211,37105,28443,48694,29144,78454,15857,66208,14224,41435,14367,56697,7904,29645,2021,10979,1,146,0,1,0,0,0,0,229.0,37.482362,126.941892
49,202101,2호선,봉천,70,1,12888,1158,23325,5641,64508,8378,100646,21105,57687,15808,30200,15207,24646,16144,25683,18602,26739,20663,23844,23357,23328,29801,23042,32903,23867,44946,26663,74508,15271,64516,13525,40823,13194,48751,5615,20508,2014,9073,3,129,0,0,0,1,0,0,229.0,37.482362,126.941892
50,202001,2호선,봉천,81,1,14248,1824,26561,8107,80680,10699,122201,25860,74665,23003,42805,21695,35425,23026,38313,25076,38659,28009,33165,30404,32451,37183,32795,43613,35085,52277,37565,80789,23309,77616,17724,47834,16272,47160,12417,45610,5629,28301,1039,8937,10,271,0,0,0,0,229.0,37.482362,126.941892
51,202201,2호선,사당,96,3,9688,3041,21223,25268,60337,34477,90473,56676,65531,44434,40459,37427,38532,42009,44626,43602,45888,45784,48169,46777,49247,55352,53906,70519,63623,97810,81100,133358,52632,89073,58890,57074,80850,80586,23633,39106,5863,15039,4,909,0,0,0,0,0,0,226.0,37.47653,126.981685
52,202101,2호선,사당,241,6,10062,2787,20452,23575,56743,31462,80653,52433,56143,39065,34321,30985,31567,31577,35449,33583,37127,35496,36995,36945,38010,44770,42071,59181,53076,78640,71777,112363,47610,79285,48165,48828,53571,60327,15943,23811,4948,10872,24,730,0,0,0,0,0,0,226.0,37.47653,126.981685
53,202001,2호선,사당,239,4,12823,3514,22446,31975,72384,42302,100259,71762,75294,55750,49472,45009,47161,55767,55923,57217,61078,56147,65596,57350,65902,67343,67458,88361,79066,114516,101028,170163,71703,139733,64500,75066,74192,71740,75212,70138,45656,44082,8289,14197,60,1041,1,27,0,0,226.0,37.47653,126.981685
54,202201,2호선,상왕십리,85,1,4640,434,10843,4527,32338,9301,54038,31255,31687,17468,19326,12957,17954,11705,18993,13497,18336,14893,17464,15546,18082,17112,19366,21180,23284,30208,25295,47089,14827,31503,11807,20690,12023,29861,4904,14110,1298,5855,1,14,2,1,0,0,0,0,207.0,37.564354,127.029354
55,202101,2호선,상왕십리,46,2,4600,339,10226,4503,29794,9515,47721,28928,25664,16250,15686,10908,14109,10200,14765,11218,15139,12077,14654,12594,14873,14358,15447,17312,19573,25367,23646,41112,13297,28865,9829,18480,9608,23122,3926,9160,1139,4306,0,32,0,0,0,0,0,0,207.0,37.564354,127.029354
56,202001,2호선,상왕십리,30,0,5420,728,11961,5409,36487,10012,62742,33204,34843,19359,21997,13867,20990,12684,21580,14205,21332,16642,19375,17508,20242,19745,20596,21888,24579,29243,30638,49333,18705,36724,12678,24242,11462,23115,8165,22577,3757,15265,626,5176,6,73,0,0,0,0,207.0,37.564354,127.029354
57,202201,2호선,서초,27,0,1239,4190,6845,17543,13094,40131,22587,105435,23510,82919,17081,32310,22474,25768,21748,19822,27853,23973,28882,21692,34259,18111,40305,19964,63906,20592,90245,22200,38124,14198,26907,9806,31991,13498,12884,6624,2788,2196,0,4,0,0,0,0,0,0,224.0,37.491897,127.007917
58,202101,2호선,서초,22,1,1077,4015,5922,16061,10989,35680,18161,98628,17441,70628,13348,29020,15706,18992,16001,16007,19093,19280,22593,17534,28163,15678,31681,15386,55588,16515,85208,16865,35468,11841,25187,8279,25887,9859,9722,3500,2471,1585,4,17,0,0,0,0,0,0,224.0,37.491897,127.007917
59,202001,2호선,서초,2,0,1320,4929,6852,19138,14299,43812,24366,117501,25302,99067,19525,44420,28081,36922,26864,27275,36513,30278,36100,30068,40873,24013,45248,24151,65663,27097,105546,28639,51670,20769,32325,11796,34846,10420,23720,10548,8190,6148,1114,1779,5,17,1,5,0,0,224.0,37.491897,127.007917
60,202201,2호선,선릉,46,1,3160,5591,8831,33414,16703,93574,27367,252969,26040,201218,29090,91370,37358,57333,45518,52945,54226,58323,64809,49707,83576,43996,108686,41743,166522,44662,259692,48705,126739,27558,91452,17329,111040,24033,43969,11152,8529,4209,2,97,0,0,0,0,0,0,220.0,37.504503,127.049008
61,202101,2호선,선릉,30,1,2881,5556,8540,31307,16420,95646,23955,231198,22164,179864,23902,75181,31827,51884,37315,42671,44823,47993,54961,43025,70473,38804,99754,36458,148380,35315,234548,38405,119417,24059,83214,15390,95614,17917,27077,6860,7135,3436,8,121,0,0,0,0,0,0,220.0,37.504503,127.049008
62,202001,2호선,선릉,146,6,5730,6171,11391,38738,20973,104205,35022,295008,33635,217464,35426,99279,48324,66911,57764,59863,69552,70202,76739,61093,98724,53796,131036,50944,169307,55391,291029,64133,150980,46053,95049,26214,95986,22652,83382,20195,33129,12339,5671,5786,26,269,1,5,0,0,220.0,37.504503,127.049008
63,202201,2호선,성수,39,0,4506,3358,7747,25888,19364,67583,27547,251746,20753,138890,18878,51359,20514,40061,25277,43430,30100,47266,35904,45923,44557,46088,57094,45033,107867,46773,217663,50861,93946,26578,76536,14145,80992,18344,18700,10238,3803,5326,0,1243,0,1,0,0,0,0,211.0,37.544581,127.055961
64,202101,2호선,성수,14,1,4179,2805,8025,21518,18452,63728,25980,229101,18388,117674,15317,38446,17076,26745,19045,27754,23383,29454,26558,28812,30550,28538,39869,28954,85623,31392,187090,38168,83822,24284,51293,12940,49326,15487,13370,6990,3069,4142,3,857,0,1,0,0,0,0,211.0,37.544581,127.055961
65,202001,2호선,성수,20,1,5007,3674,9360,26603,22103,61313,33107,260615,25930,108051,22923,43304,24600,35317,28385,34446,34185,39304,37813,38461,42447,38531,50490,39259,87916,42084,200723,51016,87097,37353,50172,20703,48459,17716,36067,16558,14941,12356,2108,6432,16,1122,0,9,0,0,211.0,37.544581,127.055961
66,202201,2호선,시청,25,0,755,1219,1440,13334,4224,54976,6219,185648,7733,73283,10803,22300,16110,19035,16081,18570,19300,19297,24838,17973,29913,15717,33556,12859,75955,14369,146081,14694,45846,6320,38104,3910,43300,5734,9638,2164,1758,854,0,28,0,0,0,1,0,0,201.0,37.564718,126.977108
67,202101,2호선,시청,12,1,830,1241,1438,10200,4133,55307,5609,170817,6782,71767,8528,19791,12957,14372,12403,14342,15432,14847,20107,14073,23855,12361,27210,10141,64690,10422,138358,9718,48353,4458,33310,2639,32628,3513,8700,1310,1767,724,9,47,0,0,0,0,0,0,201.0,37.564718,126.977108
68,202001,2호선,시청,30,1,1240,1426,2155,13273,5256,61738,8426,232302,11175,89924,17422,29665,24966,28017,25057,27140,30623,31763,36413,29173,43224,25572,47338,22412,82395,22348,185026,23778,65712,14090,47306,8363,44768,7692,29739,7355,12566,4553,1755,1379,6,114,0,7,0,0,201.0,37.564718,126.977108
69,202201,2호선,신답,4,1,844,97,1564,469,5583,811,9434,1517,4410,991,2103,1119,1795,1086,2080,1278,1903,1457,1803,1728,1689,2475,1697,3037,1679,4128,1898,9103,847,6521,508,3161,596,4980,387,2098,93,957,0,1,0,0,0,0,0,0,245.0,37.57004,127.046481
70,202101,2호선,신답,2,0,811,79,1282,532,4774,845,8015,1568,3382,916,1673,699,1419,886,1549,1018,1589,1207,1490,1457,1307,2093,1276,2528,1500,3546,1630,7732,706,5975,472,2698,476,3595,274,1298,50,637,0,6,0,0,0,0,0,0,245.0,37.57004,127.046481
71,202001,2호선,신답,1,0,932,39,1842,563,6195,874,10626,1850,4118,1070,2366,977,2090,1204,2213,1481,2187,1652,1956,2005,1753,2664,1857,3319,1860,3946,2163,8800,1199,7097,701,3402,561,3977,511,2820,180,2292,45,654,0,6,0,0,0,0,245.0,37.57004,127.046481
72,202201,2호선,신당,27,1,5008,963,9436,6987,22101,13573,39640,28766,23467,20026,15961,16615,16202,18473,18199,19619,20127,20273,20514,20496,21699,21257,23775,24533,27918,31171,29372,42997,17959,26795,16322,16642,17336,24335,7464,11505,1839,4618,1,38,0,0,0,0,0,0,206.0,37.565972,127.01782
73,202101,2호선,신당,36,0,4921,924,8887,6434,20250,12748,34119,28184,20480,19881,13876,14840,13543,14996,15468,16163,16793,16849,17807,17865,19267,18757,20483,20496,24557,24699,27929,36132,16908,24661,14257,15380,12441,19285,5003,8111,1529,3789,2,50,0,0,0,0,0,0,206.0,37.565972,127.01782
74,202001,2호선,신당,33,2,5546,1247,11206,7604,25551,14075,45785,33656,28214,24766,20124,19266,20235,20539,22222,22107,23999,24164,24366,24770,25135,25537,27580,27722,31794,33664,36811,46487,22955,35140,17208,22197,14790,20594,11103,19878,6073,13367,888,4447,6,69,0,0,0,0,206.0,37.565972,127.01782
75,202201,2호선,신대방,95,1,20512,1510,31194,7478,74868,16392,120373,29196,72349,19574,39884,16520,32997,18365,33741,20754,32424,23729,29794,26803,28844,35999,30191,40837,33216,56953,36598,86970,19221,76233,15466,50552,14298,76387,7487,39790,2270,15548,0,27,0,0,0,0,0,0,231.0,37.487462,126.913149
