,구동명,202001,202101,202201
612,도봉구 방학3동,28673,27870,27083
613,도봉구 창1동,26192,25319,24788
614,도봉구 창2동,30510,29801,29321
615,도봉구 창3동,14739,14389,13923
616,도봉구 창4동,27794,27173,26578
617,도봉구 창5동,25787,25200,24687
618,도봉구 도봉1동,22235,21757,21219
619,도봉구 도봉2동,28613,27857,26885
620,노원구,537148,525898,514831
621,노원구 월계1동,23818,22903,22174
622,노원구 월계2동,27641,27493,26662
623,노원구 월계3동,31550,30668,29999
624,노원구 공릉2동,40957,40235,41837
625,노원구 하계1동,29223,27836,26940
626,노원구 하계2동,23287,22682,21981
627,노원구 중계본동,25821,24856,23960
628,노원구 중계1동,28042,27544,26817
629,노원구 중계4동,21234,20698,19954
630,노원구 상계1동,40128,39110,38181
631,노원구 상계2동,21143,20673,20137
632,노원구 상계5동,25423,24708,24008
633,노원구 상계8동,23830,22926,22567
634,노원구 상계9동,21879,21066,20506
635,노원구 상계10동,16575,18272,18702
636,노원구 상계3.4동,26295,27115,26173
637,노원구 상계6.7동,34647,33509,32682
638,노원구 중계2.3동,36666,35452,34224
639,노원구 공릉1동,38989,38152,37327
640,은평구,483983,483415,476978
641,은평구 녹번동,38457,37790,37162
642,은평구 불광1동,40840,39907,38728
643,은평구 갈현1동,24473,23333,21970
644,은평구 갈현2동,30140,29167,28526
645,은평구 구산동,33824,32945,32420
646,은평구 대조동,27902,27578,27204
647,은평구 응암1동,25638,31277,33274
648,은평구 응암2동,25602,27752,28186
649,은평구 신사1동,28475,27741,27206
650,은평구 신사2동,21808,20956,20278
651,은평구 증산동,16145,15483,15002
652,은평구 수색동,8895,11327,12965
653,은평구 진관동,57914,57104,55934
654,은평구 불광2동,29486,28635,27775
655,은평구 응암3동,26029,25518,24616
656,은평구 역촌동,48355,46902,45732
657,서대문구,324112,322332,315923
658,서대문구 천연동,18662,18007,17341
659,서대문구 홍제1동,24962,24584,23840
660,서대문구 홍제3동,16364,15891,16199
661,서대문구 홍제2동,14562,14295,13756
662,서대문구 홍은1동,23165,23338,22940
663,서대문구 홍은2동,28370,27691,27205
664,서대문구 남가좌1동,16842,16099,15615
665,서대문구 남가좌2동,27071,30875,30823
666,서대문구 북가좌1동,19079,18544,18062
667,서대문구 북가좌2동,33790,32937,31822
668,서대문구 충현동,18121,21221,20738
669,서대문구 북아현동,17494,16941,16188
670,서대문구 신촌동,24358,22895,23738
671,서대문구 연희동,41272,39014,37656
672,마포구,385803,381371,378526
673,마포구 용강동,22452,22276,22124
674,마포구 대흥동,13589,15850,15797
675,마포구 염리동,13392,12853,17736
676,마포구 신수동,23971,23523,22878
677,마포구 서교동,25971,26954,26461
678,마포구 합정동,19097,18554,17659
679,마포구 망원1동,21856,21104,20329
680,마포구 망원2동,19414,19175,18733
681,마포구 연남동,16871,16647,15878
682,마포구 성산1동,20123,19667,19195
683,마포구 성산2동,41570,40669,39920
684,마포구 상암동,32795,31879,31453
685,마포구 도화동,22604,21945,21343
686,마포구 서강동,26115,25335,25582
687,마포구 공덕동,40582,38644,37803
688,마포구 아현동,25401,26296,25635
689,양천구,462023,456830,450097
690,양천구 목1동,32183,31605,30841
691,양천구 목2동,31526,30699,30142
692,양천구 목3동,23120,22607,21969
693,양천구 목4동,26892,26133,25578
694,양천구 신월1동,21725,21212,20686
695,양천구 신월2동,22111,21416,20790
696,양천구 신월3동,16656,15879,15316
697,양천구 신월4동,19009,18446,17961
698,양천구 신월5동,15554,15126,14776
699,양천구 신월6동,6583,13846,13937
700,양천구 신월7동,21567,20568,19820
701,양천구 신정1동,21606,21023,20473
702,양천구 신정2동,20705,20147,19570
703,양천구 신정3동,48158,46710,49997
704,양천구 신정6동,25267,25000,24551
705,양천구 신정7동,30869,30023,29076
706,양천구 목5동,42951,42257,41222
707,양천구 신정4동,35541,34133,33392
708,강서구,598097,584773,579439
709,강서구 염창동,42601,41982,41725
710,강서구 등촌1동,23757,24389,24515
711,강서구 등촌2동,21857,21095,20394
712,강서구 등촌3동,32367,31588,30642
713,강서구 화곡본동,35917,34993,34635
714,강서구 화곡2동,19400,18702,18040
715,강서구 화곡3동,22676,21824,21703
716,강서구 화곡4동,22023,21383,20827
717,강서구 화곡6동,25233,25096,25152
718,강서구 화곡8동,26487,25539,24800
719,강서구 가양1동,34195,34545,34361
720,강서구 가양2동,15135,14507,14089
721,강서구 가양3동,16205,15548,15107
722,강서구 발산1동,38506,37390,36569
723,강서구 공항동,28274,27539,31442
724,강서구 방화1동,45647,44408,43143
725,강서구 방화2동,24022,23486,23636
726,강서구 방화3동,24468,23473,22862
727,강서구 화곡1동,54561,53311,52729
728,강서구 우장산동,44766,43975,43068
729,구로구,439424,430720,420754
730,구로구 신도림동,37203,36424,36352
731,구로구 구로1동,22076,21622,21141
732,구로구 구로3동,26238,25655,25196
733,구로구 구로4동,26165,24801,23698
734,구로구 구로5동,33420,32155,31739
735,구로구 고척1동,24151,23441,22594
736,구로구 고척2동,28860,27771,27069
737,구로구 개봉2동,32957,32100,31272
738,구로구 개봉3동,21980,21158,20602
739,구로구 오류1동,23308,23349,23126
740,구로구 수궁동,24850,24238,23708
741,구로구 가리봉동,15237,14045,13069
742,구로구 구로2동,35123,32753,31125
743,구로구 개봉1동,33706,35232,34523
744,구로구 오류2동,40784,39566,39026
745,구로구 항동,13366,16410,16514
746,금천구,252022,247261,244905
747,금천구 가산동,24566,25986,26250
748,금천구 독산1동,44277,44189,46818
749,금천구 독산2동,21374,20581,20169
750,금천구 독산3동,29870,28421,27609
751,금천구 독산4동,18190,17397,16735
752,금천구 시흥1동,36668,35659,34491
753,금천구 시흥2동,22596,22037,21334
754,금천구 시흥3동,11509,11229,10935
755,금천구 시흥4동,22143,21461,20902
756,금천구 시흥5동,20829,20301,19662
757,영등포구,401173,407069,400839
758,영등포구 여의동,34683,34357,33322
759,영등포구 당산1동,21513,21196,20712
760,영등포구 당산2동,36410,37996,37935
761,영등포구 양평1동,18242,17742,18583
762,영등포구 양평2동,22798,22540,22460
763,영등포구 신길1동,19753,19095,18740
764,영등포구 신길3동,18747,18021,17603
765,영등포구 신길4동,9973,13076,13089
766,영등포구 신길5동,10593,12359,11646
767,영등포구 신길6동,19415,19745,19820
768,영등포구 신길7동,17266,20458,20213
769,영등포구 대림1동,16327,17616,17047
770,영등포구 대림2동,21371,19512,18133
771,영등포구 대림3동,28555,26783,25835
772,영등포구 영등포본동,24750,23634,23145
773,영등포구 영등포동,27278,28981,29922
774,영등포구 도림동,21498,20529,19783
775,영등포구 문래동,32001,33429,32851
776,동작구,408747,400432,394325
777,동작구 노량진2동,13817,13484,11486
778,동작구 상도1동,48007,46546,45410
779,동작구 상도2동,29230,28006,28308
780,동작구 상도3동,26043,25396,24785
781,동작구 상도4동,29900,29302,28942
782,동작구 사당1동,24021,23549,23277
783,동작구 사당3동,25948,25223,24542
784,동작구 사당4동,14947,14543,14303
785,동작구 사당5동,12869,14769,14532
786,동작구 대방동,40181,39136,38262
787,동작구 신대방1동,26575,25704,24978
788,동작구 신대방2동,20723,20438,21819
789,동작구 흑석동,35529,34411,33249
790,동작구 노량진1동,32668,32323,32237
791,동작구 사당2동,28289,27602,28195
792,관악구,517239,508565,499374
793,관악구 보라매동,26457,25222,24976
794,관악구 청림동,16253,15679,15228
795,관악구 행운동,30095,29745,29451
796,관악구 낙성대동,17594,17542,17441
797,관악구 중앙동,15892,15718,15482
798,관악구 인헌동,27100,26458,26139
799,관악구 남현동,18920,18533,18279
800,관악구 서원동,24037,23524,23325
801,관악구 신원동,19741,19269,18747
802,관악구 서림동,24336,24394,23669
803,관악구 신사동,26015,25269,24842
804,관악구 신림동,22588,22632,23205
805,관악구 난향동,16373,15890,15416
806,관악구 조원동,19577,19119,18837
807,관악구 대학동,24480,24822,24857
808,관악구 은천동,35362,34540,33619
809,관악구 성현동,30951,30426,29326
810,관악구 청룡동,34643,36337,36573
811,관악구 난곡동,28888,28031,27194
812,관악구 삼성동,25204,23712,21757
813,관악구 미성동,32733,31703,31011
814,서초구,435339,428547,415402
815,서초구 서초1동,21594,21070,20779
816,서초구 서초2동,18939,22102,26674
817,서초구 서초3동,31088,32411,32805
818,서초구 서초4동,31978,31689,31077
819,서초구 잠원동,35190,28442,26903
820,서초구 반포본동,12163,11894,1576
821,서초구 반포1동,33303,32557,34876
822,서초구 반포2동,16397,16248,15811
823,서초구 반포3동,20387,22414,22203
824,서초구 반포4동,20220,19968,19786
825,서초구 방배본동,21585,21261,21018
826,서초구 방배1동,17620,17357,16962
827,서초구 방배2동,20946,20366,19398
828,서초구 방배3동,22333,21271,18846
829,서초구 방배4동,24073,24039,23749
830,서초구 양재1동,45843,44700,43264
831,서초구 양재2동,23179,22680,22082
832,서초구 내곡동,18501,18078,17593
833,강남구,551055,543323,537975
834,강남구 신사동,17551,16825,16180
835,강남구 개포3동,,,
836,강남구 논현1동,23897,23687,22672
837,강남구 논현2동,21977,21983,21358
838,강남구 삼성1동,14928,13551,13125
839,강남구 삼성2동,30746,30269,30872
840,강남구 대치1동,25324,24808,24086
841,강남구 대치4동,20815,20627,19973
842,강남구 역삼1동,36990,36658,36525
843,강남구 역삼2동,37467,37244,36309
844,강남구 도곡1동,22673,22214,21552
845,강남구 도곡2동,34489,34000,33207
846,강남구 개포1동,6925,6641,6674
847,강남구 개포4동,18368,23345,23879
848,강남구 일원본동,24416,23913,23257
849,강남구 일원1동,16482,15808,15241
850,강남구 일원2동,18115,17763,17599
851,강남구 수서동,15896,15265,14844
852,강남구 세곡동,45055,44394,43381
853,강남구 압구정동,27755,27360,26412
854,강남구 청담동,30211,27277,25890
855,강남구 대치2동,38685,37446,36794
856,강남구 개포2동,22290,22245,28145
857,송파구,683155,673081,664527
858,송파구 풍납1동,15490,14482,13387
859,송파구 풍납2동,25585,25664,24947
860,송파구 거여1동,13241,13021,12604
861,송파구 거여2동,16903,19313,19611
862,송파구 마천1동,20698,19828,19041
863,송파구 마천2동,20222,19636,18810
864,송파구 방이1동,16541,16266,15768
865,송파구 방이2동,26265,26665,27017
866,송파구 오륜동,18923,18465,18029
867,송파구 오금동,41031,39627,38594
868,송파구 송파1동,25974,25135,24145
869,송파구 송파2동,20919,20685,19316
870,송파구 석촌동,34269,33001,32162
871,송파구 삼전동,32568,31759,30621
872,송파구 가락본동,27898,27328,26463
873,송파구 가락1동,27877,27738,27427
874,송파구 가락2동,33908,33113,32273
875,송파구 문정1동,21342,20843,20190
876,송파구 문정2동,30006,29474,29099
877,송파구 잠실본동,29607,29001,28419
878,송파구 잠실4동,22246,21776,21373
879,송파구 잠실6동,17468,17322,16929
880,송파구 잠실7동,10178,9882,9565
881,송파구 잠실2동,36843,36121,35125
882,송파구 잠실3동,36083,35299,34508
883,송파구 장지동,32750,30229,29667
884,송파구 위례동,28320,31408,39437
885,강동구,445143,465315,466269
886,강동구 강일동,32032,37520,33044
887,강동구 상일동,14621,34230,
