,grid_idx,pp_pop,pp_od,bs_ebit,geometry_grids,sigungunm,platplc,x,y,x_5179,y_5179,bdnm,bd_platarea,bd_archarea,bd_totarea,bd_totflrcnt,bd_elvtent,bs_gas,bs_elct,bd_height,bd_ilp,bd_vintage,count
12,10796,107135.50229672782,2903954.06217053,36199868555.60958,"POLYGON ((945835.230213883 1946565.54807064, 945835.230213883 1946665.54807064, 945935.230213883 1946665.54807064, 945935.230213883 1946565.54807064, 945835.230213883 1946565.54807064))",영등포구,서울특별시 영등포구 문래동6가 1-2번지,126.888039569,37.517459858,945921.1011944952,1946639.2519530489,NoData,1990.6,203.09,720.86,5,1.0,0.0,5700.0,19.0,6428000.0,3.0,9
13,10797,108229.9765141945,2898381.6324400604,37358575539.76524,"POLYGON ((945835.230213883 1946665.54807064, 945835.230213883 1946765.54807064, 945935.230213883 1946765.54807064, 945935.230213883 1946665.54807064, 945835.230213883 1946665.54807064))",영등포구,서울특별시 영등포구 문래동6가 16-2번지,126.887412432,37.518592091,945866.4985479098,1946765.2278176143,"문래파라곤, 문래동 현대홈시티1",4457.5,1889.09,27586.03,31,3.0,695940.0,159454.0,46.815,6532000.0,17.5,9
14,10798,102266.58952301496,2882577.814811266,41318460371.23669,"POLYGON ((945835.230213883 1946765.54807064, 945835.230213883 1946865.54807064, 945935.230213883 1946865.54807064, 945935.230213883 1946765.54807064, 945835.230213883 1946765.54807064))",영등포구,서울특별시 영등포구 문래동6가 16번지,126.887468675,37.518988023,945871.7547225844,1946809.12199191,문래파라곤,4457.5,1568.2,19728.31,16,5.0,335955.0,80064.0,49.38,6144000.0,17.0,9
15,10800,104577.10108170468,2745642.120728951,49651826948.78682,"POLYGON ((945835.230213883 1946965.54807064, 945835.230213883 1947065.54807064, 945935.230213883 1947065.54807064, 945935.230213883 1946965.54807064, 945835.230213883 1946965.54807064))",영등포구,서울특별시 영등포구 문래동6가 29번지,126.887115333,37.52100231,945841.9861874816,1947032.7997715108,신일아르디세,3351.3,1634.92,19633.77,17,4.0,0.0,0.0,47.1,6619000.0,17.0,9
16,10826,104493.14786369572,3007114.56545974,35890004062.23058,"POLYGON ((945935.230213883 1946365.54807064, 945935.230213883 1946465.54807064, 946035.230213883 1946465.54807064, 946035.230213883 1946365.54807064, 945935.230213883 1946365.54807064))",영등포구,서울특별시 영등포구 문래동4가 28-3번지,126.888408318,37.515630867,945952.3687212232,1946436.1233663424,21세기빌딩,314.0,169.69,443.04,3,0.0,0.0,4879.0,15.9,6075000.0,18.0,6
17,10827,104137.40921201084,2988353.140150624,39158946073.572495,"POLYGON ((945935.230213883 1946465.54807064, 945935.230213883 1946565.54807064, 946035.230213883 1946565.54807064, 946035.230213883 1946465.54807064, 945935.230213883 1946465.54807064))",영등포구,서울특별시 영등포구 문래동4가 10-4번지,126.88870478,37.516411252,945979.1305008272,1946522.5325903087,NoData,620.5,355.48,1781.6100000000001,12,0.5,27927.0,8010.0,18.9,6287500.0,13.5,6
18,10828,103964.86212036082,2972349.20485612,40378337890.06579,"POLYGON ((945935.230213883 1946565.54807064, 945935.230213883 1946665.54807064, 946035.230213883 1946665.54807064, 946035.230213883 1946565.54807064, 945935.230213883 1946565.54807064))",영등포구,서울특별시 영등포구 문래동3가 77-59번지,126.889134635,37.517382059,946017.817009445,1946629.9916503287,중원빌딩,428.3,248.07,1817.48,7,0.0,2709.0,36015.0,21.4,7188000.0,26.0,6
19,10830,98789.50936087756,2981255.4845613763,47558349449.80327,"POLYGON ((945935.230213883 1946765.54807064, 945935.230213883 1946865.54807064, 946035.230213883 1946865.54807064, 946035.230213883 1946765.54807064, 945935.230213883 1946765.54807064))",영등포구,서울특별시 영등포구 문래동6가 6-1번지,126.888376297,37.519361871,945952.2300327844,1946850.076584824,"(주)푸르밀 본사, 문래 아카데미, 광양림빌딩, 문래동 현대홈시티2",7216.2,3195.9700000000003,22188.24,36,1.0,385006.0,213034.0,29.92,5961250.0,25.0,6
20,10831,99624.00918655726,2881642.916590568,63363474900.27663,"POLYGON ((945935.230213883 1946865.54807064, 945935.230213883 1946965.54807064, 946035.230213883 1946965.54807064, 946035.230213883 1946865.54807064, 945935.230213883 1946865.54807064))",영등포구,서울특별시 영등포구 문래동6가 8번지,126.888642803,37.520271629,945976.4367238712,1946950.856295864,"문래임광그대가, EEU동신타워",5841.299999999999,2513.08,33087.520000000004,28,2.5,430385.0,205357.0,42.55,7159000.0,14.5,6
21,10834,104225.74742336896,2844041.0882726405,74350427382.06703,"POLYGON ((945935.230213883 1947165.54807064, 945935.230213883 1947265.54807064, 946035.230213883 1947265.54807064, 946035.230213883 1947165.54807064, 945935.230213883 1947165.54807064))",영등포구,서울특별시 영등포구 양평동1가 171-1번지,126.888771091,37.522908713,945989.67424049,1947243.3531082328,유로빌딩,125.4,73.36,499.7,8,1.0,2219.0,4934.0,23.1,6559000.0,2.0,6
22,10835,107371.9754193372,2821263.4775791583,83813539880.39851,"POLYGON ((945935.230213883 1947265.54807064, 945935.230213883 1947365.54807064, 946035.230213883 1947365.54807064, 946035.230213883 1947265.54807064, 945935.230213883 1947265.54807064))",영등포구,서울특별시 영등포구 양평동1가 208-1번지,126.888938539,37.523703931,946005.0438026252,1947331.482218795,영일아트빌,1114.55,624.545,3698.866,30,1.0,24096.0,9606.0,22.55,6844000.0,2.5,4
23,10836,105553.42104396,2791487.937162,88097100894.79599,"POLYGON ((945935.230213883 1947365.54807064, 945935.230213883 1947465.54807064, 946035.230213883 1947465.54807064, 946035.230213883 1947365.54807064, 945935.230213883 1947365.54807064))",영등포구,서울특별시 영등포구 양평동1가 219-4번지,126.888470148,37.524715883,945964.3850662464,1947444.0219476093,NoData,450.79999999999995,271.04,1653.52,16,0.5,45443.0,9332.0,19.45,6826000.0,15.5,4
24,10837,104009.94457833556,2753700.414996744,92906163454.99274,"POLYGON ((945935.230213883 1947465.54807064, 945935.230213883 1947565.54807064, 946035.230213883 1947565.54807064, 946035.230213883 1947465.54807064, 945935.230213883 1947465.54807064))",영등포구,서울특별시 영등포구 양평동1가 222-6번지,126.888481389,37.525067371,945965.6318671808,1947483.011240951,NoData,134.4,70.07,399.8,6,0.0,5383.0,1634.0,15.2,6887000.0,28.0,4
25,10862,104503.75751115468,3074737.205424675,59507288318.38487,"POLYGON ((946035.230213883 1946565.54807064, 946035.230213883 1946665.54807064, 946135.230213883 1946665.54807064, 946135.230213883 1946565.54807064, 946035.230213883 1946565.54807064))",영등포구,서울특별시 영등포구 문래동3가 77-9번지,126.889471929,37.5172658,946047.5402756636,1946616.8998518183,메가벤처타워,2639.4,1273.23,16411.42,12,2.0,15634.0,143678.0,36.8,7765000.0,17.0,4
26,10863,100768.1807336386,3070703.0200275,62442325980.27768,"POLYGON ((946035.230213883 1946665.54807064, 946035.230213883 1946765.54807064, 946135.230213883 1946765.54807064, 946135.230213883 1946665.54807064, 946035.230213883 1946665.54807064))",영등포구,서울특별시 영등포구 문래동3가 77-45번지,126.889353864,37.518481794,946037.9824292568,1946751.875562545,NoData,379.0,207.36,1011.43,5,0.0,7420.0,10435.0,16.4,7510000.0,34.0,4
27,10864,99280.44192990442,3053258.9134679576,65179819191.949936,"POLYGON ((946035.230213883 1946765.54807064, 946035.230213883 1946865.54807064, 946135.230213883 1946865.54807064, 946135.230213883 1946765.54807064, 946035.230213883 1946765.54807064))",영등포구,서울특별시 영등포구 문래동3가 77-44번지,126.889465825,37.519083342,946048.3095021066,1946818.5498719737,NoData,273.8,123.31,441.29,4,0.0,0.0,9076.0,10.1,7510000.0,42.0,4
28,10865,99369.7343218859,2950189.0990693257,68292071719.26498,"POLYGON ((946035.230213883 1946865.54807064, 946035.230213883 1946965.54807064, 946135.230213883 1946965.54807064, 946135.230213883 1946865.54807064, 946035.230213883 1946865.54807064))",영등포구,서울특별시 영등포구 문래동3가 82-29번지,126.890119155,37.520159632,946106.8176763064,1946937.5840010103,우리벤처타운2,5753.9,2509.4900000000002,42152.78,25,3.0,181063.0,628922.0,40.025,7100500.0,15.0,4
29,10866,101527.39669250233,2933357.227507878,77101176665.11893,"POLYGON ((946035.230213883 1946965.54807064, 946035.230213883 1947065.54807064, 946135.230213883 1947065.54807064, 946135.230213883 1946965.54807064, 946035.230213883 1946965.54807064))",영등포구,서울특별시 영등포구 양평동1가 5-1번지,126.890251928,37.521266717,946119.3466379782,1947060.3331239568,"GS강서N타워, 동국메뜨리앙",4476.89,2647.27,32061.78,22,3.0,383694.0,281375.0,37.185,7470500.0,12.5,4
30,10867,101875.40487153328,2945477.828466269,87737949058.18878,"POLYGON ((946035.230213883 1947065.54807064, 946035.230213883 1947165.54807064, 946135.230213883 1947165.54807064, 946135.230213883 1947065.54807064, 946035.230213883 1947065.54807064))",영등포구,서울특별시 영등포구 양평동1가 13-1번지,126.889519537,37.52152414,946054.8132945424,1947089.312589252,한특빌딩,456.5,272.03,2170.01,9,1.0,52263.0,10354.0,30.4,8415000.0,26.0,2
31,10868,103133.8166998319,2939476.967127761,91858309559.60065,"POLYGON ((946035.230213883 1947165.54807064, 946035.230213883 1947265.54807064, 946135.230213883 1947265.54807064, 946135.230213883 1947165.54807064, 946035.230213883 1947165.54807064))",영등포구,서울특별시 영등포구 양평동1가 164-10번지,126.889439851,37.522859229,946048.7331640604,1947237.479341127,성은교회,1256.6499999999999,663.59,5986.56,45,1.25,27919.0,8962.0,28.7875,7005750.0,2.75,2
32,10869,105474.47031803185,2917929.547799801,96378312872.10458,"POLYGON ((946035.230213883 1947265.54807064, 946035.230213883 1947365.54807064, 946135.230213883 1947365.54807064, 946135.230213883 1947265.54807064, 946035.230213883 1947265.54807064))",영등포구,서울특별시 영등포구 양평동1가 147번지,126.889432563,37.523626769,946048.6418926156,1947322.6380329009,어반 HILL,332.56,192.12,1107.19,11,1.0,34889.0,5277.0,31.3,6796000.0,3.0,4
