platplc_short,jijigu,approvyear,platarea_py,bdarea_py,tyyyymm,tyyyymm,totalprc,etcprc
서울특별시 강남구 논현동,노선상업,85.05.24,984,3721,202004,202004,15200000,"토:15,447 만"
서울특별시 서초구 방배동,2종일반,86.04.16,1499,458,202306,202306,14743760,"토:9,835 만"
서울특별시 서초구 서초동,일반상업,94.04.30,517,994,202007,202007,14500000,"토:28,046 만"
서울특별시 용산구 한남동,일반상업,71.09.15,566.9,223.4,202201,202201,14500000,"토:25,618 만"
서울특별시 성동구 도선동,일반상업,10.05.17,510.1,6202,202303,202303,14300000,"토:27,450 만
건:75 만"
서울특별시 성동구 성수동2,준공업,62.09.05,901.9,1805,202203,202203,14065001,"토:15,610 만"
서울특별시 송파구 신천동,일반상업,94.04.27,599,6027,202106,202106,13500000,"토:22,537 만"
서울특별시 강남구 대치동,일반상업,09.10.28,277,3405,202108,202108,13050000,"토:45,882 만
건:100 만"
서울특별시 영등포구 당산동,준공업,11.12.29,981.5,8468,202002,202002,13030000,"토:10,830 만
건:284 만"
서울특별시 강남구 역삼동,3종일반,07.04.04,590.1,2810.9,202204,202204,13000000,"토:21,914 만
건:25 만"
서울특별시 마포구 동교동,근린상업,98.01.24,375,4198,202006,202006,12700000,"토:33,866 만"
서울특별시 서초구 서초동,일반상업,93.11.25,624,1590,202011,202011,12511200,"토:20,050 만"
서울특별시 서초구 방배동,2종일반,86.04.16,1555.1,458,202106,202106,12500000,"토:8,038 만"
서울특별시 강남구 역삼동,일반상업,03.04.01,200,2908,20211,202110,12500000,"토:62,500 만"
서울특별시 동작구 상도동,준주거,90.09.29,1928.5,1581.5,202106,202106,12405700,"토:6,434 만"
서울특별시 동작구 노량진동,일반상업,01.02.07,769,5966,202109,202109,12300000,"토:15,994 만"
서울특별시 종로구 인의동,일반상업,82.07.10,837,5172,202112,202112,12160100,"토:14,528 만"
서울특별시 강남구 신사동,일반상업,11.09.06,400.8,3470.8,202112,202112,12070000,"토:28,873 만
건:150 만"
서울특별시 성동구 성수동2,준공업,22.06.27,455,3468,202207,202207,12000000,"토:23,324 만
건:400 만"
서울특별시 구로구 구로동,준공업,00.10.04,2237,8317,202102,202102,11888900,"토:5,314 만"
서울특별시 금천구 시흥동,준공업,01.09.05,3500,18342.1,202012,202012,11879700,"토:3,394 만"
서울특별시 영등포구 여의도,일반상업,95.06.26,605,6262,202106,202106,11760000,"토:19,438 만"
서울특별시 강남구 역삼동,일반상업,19.03.28,319,3214,202103,202103,11600000,"토:32,247 만
건:408 만"
서울특별시 강남구 삼성동,3종일반,92.02.28,728,991,202105,202105,11500000,"토:15,796 만"
서울특별시 강남구 신사동,3종일반,85.05.21,718,2639,202106,202106,11500000,"토:16,016 만"
서울특별시 서초구 양재동,3종일반,83.02.11,740.1,2093,202202,202202,11470000,"토:15,500 만"
서울특별시 중구 회현동3가,일반상업,84.02.24,570.9,4800,202012,202012,11200000,"토:19,649 만"
서울특별시 성동구 도선동,일반상업,10.05.17,510.1,6202,202208,202208,11200000,"토:20,991 만
건:100 만"
서울특별시 강남구 논현동,3종일반,85.02.23,588,1928,202208,202208,11075000,"토:18,835 만"
서울특별시 서초구 서초동,일반상업,81.05.28,399,716,202107,202107,11010000,"토:27,593 만"
서울특별시 중구 남창동,일반상업,84.08.11,663.9,4616,202102,202102,11000000,"토:16,591 만"
서울특별시 강남구 논현동,일반상업,78.12.26,317,1529,202108,202108,11000000,"토:34,700 만"
서울특별시 금천구 가산동,준공업,96.06.14,2837,4414.9,202101,202101,10850000,"토:3,824 만"
서울특별시 서초구 서초동,일반상업,94.12.01,259,3453,202002,202002,10650000,"토:41,119 만"
서울특별시 중구 다동,일반상업,94.12.14,481,4567,202104,202104,10600000,"토:22,037 만"
서울특별시 중구 서소문동,3종일반,96.12.10,614,4766,202105,202105,10550000,"토:17,182 만"
서울특별시 강남구 논현동,일반상업,78.05.09,515.3,1056.9,202112,202112,10505600,"토:20,399 만"
서울특별시 서초구 서초동,일반상업,07.01.17,323,3877,202102,202102,10500000,"토:31,607 만
건:75 만"
서울특별시 서초구 서초동,일반상업,92.01.29,207.3,2088,202207,202207,10500000,"토:50,724 만"
서울특별시 강남구 청담동,일반상업,95.11.21,262.5,2746,202208,202208,10280000,"토:39,236 만"
서울특별시 강남구 논현동,일반상업,94.07.12,310,980,202203,202203,10050000,"토:32,419 만"
서울특별시 용산구 한강로3,일반상업,88.05.04,956,5696,202112,202112,10043271,"토:10,505 만"
