grid_idx,pp_pop,pp_od,bs_ebit,geometry_grids,sigungunm,platplc,x,y,x_5179,y_5179,bdnm,bd_platarea,bd_archarea,bd_totarea,bd_totflrcnt,bd_elvtent,bs_gas,bs_elct,bd_height,bd_ilp,bd_vintage,count,geometry
24726,-0.7049430842487893,0.4030246005517081,1.2466284980538542,"POLYGON ((953435.230213883 1952365.54807064, 953435.230213883 1952465.54807064, 953535.230213883 1952465.54807064, 953535.230213883 1952365.54807064, 953435.230213883 1952365.54807064))",종로구,서울특별시 종로구 신문로1가 115번지,126.97319295,37.569801951,953478.6960084311,1952400.78536854,콘코디언(concordian),0.7673079088076598,0.29538423197265457,1.9048834217825392,0.435731286699524,4.098260135145811,0.8011444720828595,-0.42415041038116086,4.435215911647051,1.8083237480830239,-0.8997597501650074,8,"POLYGON ((953435.230213883 1952365.54807064, 953435.230213883 1952465.54807064, 953535.230213883 1952465.54807064, 953535.230213883 1952365.54807064, 953435.230213883 1952365.54807064))"
24727,-0.7183017982900308,0.34513838792723656,1.1628002709776355,"POLYGON ((953435.230213883 1952465.54807064, 953435.230213883 1952565.54807064, 953535.230213883 1952565.54807064, 953535.230213883 1952465.54807064, 953435.230213883 1952465.54807064))",종로구,서울특별시 종로구 신문로1가 57번지,126.9729851,37.570602815,953460.8393787588,1952489.740293188,Crescendo(크레센도),0.5919955042982848,0.6667085371782131,1.6640318496867799,-0.07038860355724055,1.6604448778196117,1.1176683957225833,1.1500355418049018,2.3392074891499526,2.064308822977635,-0.24281411108045164,8,"POLYGON ((953435.230213883 1952465.54807064, 953435.230213883 1952565.54807064, 953535.230213883 1952565.54807064, 953535.230213883 1952465.54807064, 953435.230213883 1952465.54807064))"
24796,-0.7397764154073901,0.5124567247372562,1.3112091070557215,"POLYGON ((953535.230213883 1952465.54807064, 953535.230213883 1952565.54807064, 953635.230213883 1952565.54807064, 953635.230213883 1952465.54807064, 953535.230213883 1952465.54807064))",종로구,서울특별시 종로구 당주동 171번지,126.974721013,37.570698434,953614.1932494856,1952499.490404965,NoData,-0.7595280916036197,-0.7538491921841675,-0.4938141820846339,-0.8295684389423874,-0.0808517345562449,-0.3074987017042011,-0.38047087760570875,-0.1965884148532325,0.7889198928698006,2.138613830601063,8,"POLYGON ((953535.230213883 1952465.54807064, 953535.230213883 1952565.54807064, 953635.230213883 1952565.54807064, 953635.230213883 1952465.54807064, 953535.230213883 1952465.54807064))"
24864,-0.8068423807501051,0.7811785194692594,1.570012086434674,"POLYGON ((953635.230213883 1952365.54807064, 953635.230213883 1952465.54807064, 953735.230213883 1952465.54807064, 953735.230213883 1952365.54807064, 953635.230213883 1952365.54807064))",종로구,서울특별시 종로구 신문로1가 135-2번지,126.975434458,37.569945106,953676.7293105968,1952415.560345453,NoData,-0.7772499330957772,-0.758949037715685,-0.4930564200235275,-0.7873917814209903,-0.4291110570314162,-0.3197882539014527,-0.3920168006146727,-0.10909877757489377,1.9398806346744317,2.3849684452577713,7,"POLYGON ((953635.230213883 1952365.54807064, 953635.230213883 1952465.54807064, 953735.230213883 1952465.54807064, 953735.230213883 1952365.54807064, 953635.230213883 1952365.54807064))"
24865,-0.8278279605169052,0.7148759810779283,1.4848504849148427,"POLYGON ((953635.230213883 1952465.54807064, 953635.230213883 1952565.54807064, 953735.230213883 1952565.54807064, 953735.230213883 1952465.54807064, 953635.230213883 1952465.54807064))",종로구,서울특별시 종로구 당주동 30번지,126.975395146,37.570690211,953673.7192441102,1952498.245527988,NoData,0.8571337186592131,1.073554308082874,2.167576535587898,0.22484799909253878,-0.4291110570314162,-0.3203054302025702,-0.42339506962356505,3.564998129092452,2.7966205562204465,-1.4745871843639937,7,"POLYGON ((953635.230213883 1952465.54807064, 953635.230213883 1952565.54807064, 953735.230213883 1952565.54807064, 953735.230213883 1952465.54807064, 953635.230213883 1952465.54807064))"
24930,-0.87177792695501,0.9543153163675971,1.7580550328599966,"POLYGON ((953735.230213883 1952365.54807064, 953735.230213883 1952465.54807064, 953835.230213883 1952465.54807064, 953835.230213883 1952365.54807064, 953735.230213883 1952365.54807064))",종로구,서울특별시 종로구 세종로 211번지,126.97614035,37.569570228,953738.833720072,1952373.6216904093,광화문빌딩,0.8698269369362047,0.393955527752787,1.474550947091892,-0.07038860355724055,1.6604448778196117,-0.3203054302025702,1.3737354745470587,2.835605912424377,3.2470246753388126,0.41413152800410413,7,"POLYGON ((953735.230213883 1952365.54807064, 953735.230213883 1952465.54807064, 953835.230213883 1952465.54807064, 953835.230213883 1952365.54807064, 953735.230213883 1952365.54807064))"
24931,-0.8607553192505654,0.9236349323083134,1.663064637439989,"POLYGON ((953735.230213883 1952465.54807064, 953735.230213883 1952565.54807064, 953835.230213883 1952565.54807064, 953835.230213883 1952465.54807064, 953735.230213883 1952465.54807064))",종로구,서울특별시 종로구 신문로1가 1-1번지,126.976177139,37.570474629,953742.6418654332,1952473.9424948231,"현대해상빌딩, 현대빌딩",0.533071395172187,0.33494854042291433,0.4809257475110352,0.3513779716567299,-0.4291110570314162,0.48371128034163646,0.5504177696580982,0.3484673468005886,2.7804189692018,1.9470046858680667,7,"POLYGON ((953735.230213883 1952465.54807064, 953735.230213883 1952565.54807064, 953835.230213883 1952565.54807064, 953835.230213883 1952465.54807064, 953735.230213883 1952465.54807064))"
24995,-0.8919538628763626,1.0720394865072997,1.969278864370889,"POLYGON ((953835.230213883 1952365.54807064, 953835.230213883 1952465.54807064, 953935.230213883 1952465.54807064, 953935.230213883 1952365.54807064, 953835.230213883 1952365.54807064))",종로구,서울특별시 종로구 서린동 159-1번지,126.978008482,37.56954379,953903.7902118776,1952369.770453883,"동아일보사, 광화문우체국",0.7661724132429447,1.3737585284026108,1.3198039379808149,0.435731286699524,1.6604448778196117,0.2949828234436204,2.78695570666616,2.456874033403975,2.7771786517980708,0.0445996060190415,7,"POLYGON ((953835.230213883 1952365.54807064, 953835.230213883 1952465.54807064, 953935.230213883 1952465.54807064, 953935.230213883 1952365.54807064, 953835.230213883 1952365.54807064))"
24996,-0.9053432992892466,1.0067974023270088,1.8546286679710402,"POLYGON ((953835.230213883 1952465.54807064, 953835.230213883 1952565.54807064, 953935.230213883 1952565.54807064, 953935.230213883 1952465.54807064, 953835.230213883 1952465.54807064))",종로구,서울특별시 종로구 종로1가 1번지,126.977983328,37.570986533,953902.4581124363,1952529.848144302,교보생명빌딩,3.3352311284103964,1.9125676245282628,3.262005682515585,0.05614136900695059,6.536075392472011,-0.3203054302025702,3.5448489950979463,3.39189029062729,3.5256919720595286,1.0710771670886599,7,"POLYGON ((953835.230213883 1952465.54807064, 953835.230213883 1952565.54807064, 953935.230213883 1952565.54807064, 953935.230213883 1952465.54807064, 953835.230213883 1952465.54807064))"
25058,-0.9359900955261043,1.0856283923365453,2.0507141148654426,"POLYGON ((953935.230213883 1952465.54807064, 953935.230213883 1952565.54807064, 954035.230213883 1952565.54807064, 954035.230213883 1952465.54807064, 953935.230213883 1952465.54807064))",종로구,서울특별시 종로구 청진동 246번지,126.97889685,37.571068136,953983.178962097,1952538.453831198,D타워,2.04952572184893,2.369563162384306,3.6945210717664323,0.22484799909253878,8.277372004847868,-0.3203054302025702,-0.42303786414214045,3.7568203284727666,2.7350545255495904,-1.4745871843639937,3,"POLYGON ((953935.230213883 1952465.54807064, 953935.230213883 1952565.54807064, 954035.230213883 1952565.54807064, 954035.230213883 1952465.54807064, 953935.230213883 1952465.54807064))"
