grid_idx,bdnm,pp_pop,pp_od,bs_ebit,bd_platarea,bd_archarea,bd_totarea,bd_totflrcnt,bd_elvtent,bs_gas,bs_elct,bd_height,bd_ilp,bd_vintage,cbdness,sim,cbdi,geometry_grids
24864,NoData,-0.7072764657708155,0.9234104717055168,1.5849592826235883,-0.7772499330957772,-0.758949037715685,-0.4930564200235275,-0.7873917814209903,-0.4291110570314162,-0.3197882539014527,-0.3920168006146727,-0.1090987775748937,1.939880634674432,2.3849684452577717,0.32699674323344663,0.5888739177740564,0.19255985328723688,"POLYGON ((126.97496770381251 37.56949224733813, 126.97496137679191 37.570393565363595, 126.97609374192999 37.570398596104674, 126.97610005530645 37.56949727791648, 126.97496770381251 37.56949224733813))"
24865,NoData,-0.7558380391436514,0.8740071276425159,1.5068533031695208,0.8571337186592131,1.073554308082874,2.167576535587898,0.2248479990925387,-0.4291110570314162,-0.3203054302025702,-0.423395069623565,3.564998129092452,2.7966205562204465,-1.4745871843639935,0.8380213891054759,0.5688689984745163,0.476724388320655,"POLYGON ((126.97496137679191 37.570393565363595, 126.97495504948945 37.5712948832502, 126.97608742827227 37.571299914154, 126.97609374192999 37.570398596104674, 126.97496137679191 37.570393565363595))"
24930,광화문빌딩,-0.8222338566526993,1.1184974757331865,1.7643256107994834,0.8698269369362047,0.393955527752787,1.474550947091892,-0.0703886035572405,1.6604448778196117,-0.3203054302025702,1.373735474547059,2.835605912424377,3.247024675338813,0.4141315280041041,0.8749032578633875,0.675613734726803,0.5910966575697304,"POLYGON ((126.97610005530645 37.56949727791648, 126.97609374192999 37.570398596104674, 126.97722610734934 37.57040361598497, 126.97723240708164 37.569502297634415, 126.97610005530645 37.56949727791648))"
24931,"현대해상빌딩, 현대빌딩",-0.8892785494777727,1.0891556269573917,1.6770346199264965,0.533071395172187,0.3349485404229143,0.4809257475110352,0.3513779716567299,-0.4291110570314162,0.4837112803416364,0.5504177696580982,0.3484673468005886,2.7804189692018,1.9470046858680667,0.49175351881244384,0.8114752725570971,0.39904582070923944,"POLYGON ((126.97609374192999 37.570398596104674, 126.97608742827227 37.571299914154, 126.97721980733637 37.57130493419667, 126.97722610734934 37.57040361598497, 126.97609374192999 37.570398596104674))"
24995,"동아일보사, 광화문우체국",-0.9046260155872348,1.2213359695277408,1.9593032343440344,0.7661724132429447,1.3737585284026108,1.3198039379808149,0.435731286699524,1.6604448778196117,0.2949828234436204,2.78695570666616,2.456874033403975,2.7771786517980708,0.0445996060190415,0.7910395470900151,0.6605801664224532,0.5225450356634642,"POLYGON ((126.97723240708164 37.569502297634415, 126.97722610734934 37.57040361598497, 126.97835847304933 37.57040862500448, 126.97836475913748 37.56950730649189, 126.97723240708164 37.569502297634415))"
24996,교보생명빌딩,-0.8911789635966266,1.1567940780717885,1.854643142098881,3.3352311284103964,1.9125676245282628,3.262005682515585,0.0561413690069505,6.536075392472011,-0.3203054302025702,3.5448489950979463,3.39189029062729,3.525691972059529,1.07107716708866,0.8911874903920354,0.5013882872496777,0.4468309694260012,"POLYGON ((126.97722610734934 37.57040361598497, 126.97721980733637 37.57130493419667, 126.97835218668115 37.5713099433782, 126.97835847304933 37.57040862500448, 126.97722610734934 37.57040361598497))"
25058,D타워,-0.9123985288434748,1.2181480834784222,2.0491736717175635,2.04952572184893,2.369563162384306,3.694521071766432,0.2248479990925387,8.277372004847868,-0.3203054302025702,-0.4230378641421404,3.756820328472767,2.7350545255495904,-1.4745871843639935,0.9026273635752411,0.5011819355629736,0.4523805291687433,"POLYGON ((126.97835847304933 37.57040862500448, 126.97835218668115 37.5713099433782, 126.97948456630597 37.57131494169859, 126.9794908390294 37.57041362316319, 126.97835847304933 37.57040862500448))"
25116,SK서린동빌딩,-0.9810439633112776,1.428471318162735,2.402737378414902,1.5236290617338313,0.5811607501079167,2.829879371093474,0.6887912318279062,4.794778780096154,1.8361609843601383,2.090129671996255,6.339402134763833,3.175737692456769,-0.1606959061948822,0.9972230527985492,0.5029582074562261,0.5015615190695838,"POLYGON ((126.97949711147336 37.56951230448893, 126.9794908390294 37.57041362316319, 126.9806232052889 37.57041861046109, 126.98062946408866 37.569517291625516, 126.97949711147336 37.56951230448893))"
25117,"르메이에르종로타운1, Tower 8",-0.9712318669815864,1.3322956215898625,2.1988483574574085,3.255259797924047,3.676936725411797,5.210872134318144,1.321441094648862,3.401741490195469,3.6571194968253606,1.564635758135488,3.3217114371954675,2.837124523767062,-1.1461143648217158,0.8611675547840618,0.5005506337550227,0.43105796531642543,"POLYGON ((126.9794908390294 37.57041362316319, 126.97948456630597 37.57131494169859, 126.98061694621026 37.571319929157816, 126.9806232052889 37.57041861046109, 126.9794908390294 37.57041362316319))"
25118,진학회관,-0.920603840019964,1.2264272338769806,1.960382875527677,-0.6081827541923343,-0.5512904257931531,-0.3888527401999028,-0.7452151238995933,-0.4291110570314162,-0.3153092665866587,-0.2478695052981198,0.0139481454422349,1.0500894756103785,1.7280228061732157,0.2383688995888138,0.6411718657934335,0.15283543209648737,"POLYGON ((126.97948456630597 37.57131494169859, 126.9794782933031 37.57221626009514, 126.9806106868528 37.57222124771569, 126.98061694621026 37.571319929157816, 126.97948456630597 37.57131494169859))"
