grid_idx,pp_pop,pp_od,bs_ebit,sigungunm,platplc,x,y,x_5179,y_5179,bdnm,bd_platarea,bd_archarea,bd_totarea,bd_totflrcnt,bd_elvtent,bs_gas,bs_elct,bd_height,bd_ilp,bd_vintage,count,geometry_grids
25275,-0.9658927450355796,1.4055981234011845,2.125135933504455,종로구,서울특별시 종로구 종로2가 6번지,126.983608868,37.570742697,954399.0855210288,1952500.0507679232,종로타워,1.2110028007200049,0.7087726186272804,1.9010870138626743,0.1404946840497447,1.6604448778196117,1.627394952632781,-0.4231532117455172,5.090218543677393,3.661785303016157,-0.1606959061948822,7,"POLYGON ((126.98288793864377 37.57042855247443, 126.9828817068548 37.57132987149275, 126.9840140875938 37.57133482636844, 126.98402030573796 37.570433507189854, 126.98288793864377 37.57042855247443))"
25276,-0.9662763316454308,1.2537317353263042,1.9241015805606496,종로구,서울특별시 종로구 공평동 17번지,126.983530241,37.571680806,954392.7142285458,1952604.167573064,센트로폴리스,2.3839291656574666,3.190159941335395,5.135076334360016,0.3092013141353328,7.929112682372696,-0.3203054302025702,-0.4241504103811608,4.1685362686061245,1.4810516903063693,-1.720941799020702,7,"POLYGON ((126.9828817068548 37.57132987149275, 126.98287547478817 37.572231190372214, 126.98400786917263 37.5722361454082, 126.9840140875938 37.57133482636844, 126.9828817068548 37.57132987149275))"
25277,-1.0130985623966915,1.0903817879189217,1.7053663034947388,종로구,서울특별시 종로구 견지동 111번지,126.983448189,37.572330797,954385.8649474952,1952676.3207619465,"농협종로지점, 천마빌딩, 종로빌딩",0.3852542046941227,0.2809796758344653,-0.0344880114759714,0.1826713415711417,-0.0808517345562449,-0.1334195642192331,0.3121803180000462,0.4428189164144832,0.4823858664770131,1.3995499866309378,7,"POLYGON ((126.98287547478817 37.572231190372214, 126.9828692424439 37.57313250911287, 126.98400165047441 37.57313746430912, 126.98400786917263 37.5722361454082, 126.98287547478817 37.572231190372214))"
25278,-1.06540693717442,0.9244087992191862,1.484616490530875,종로구,서울특별시 종로구 견지동 81번지,126.983537075,37.573875544,954394.6561106764,1952847.6598586289,"다연, S&S빌딩, 견지센터",0.0458626910834456,0.3232675023976232,0.0953076324166809,0.5200846017423181,-0.2201554635463134,0.182192685847823,-0.1945454245242035,-0.0458442376816777,0.0195389285283265,0.1185059904160539,9,"POLYGON ((126.9828692424439 37.57313250911287, 126.98286300982197 37.57403382771466, 126.98399543149915 37.574038783071174, 126.98400165047441 37.57313746430912, 126.9828692424439 37.57313250911287))"
25316,-0.9489244678123296,1.541209382040703,2.2019857633016358,종로구,서울특별시 종로구 종로2가 84-10번지,126.984542059,37.56995859,954481.0161205108,1952412.6054457847,"백합빌딩, 대한기독교서회",-0.2006209532857378,0.0120766254411528,-0.1466987770576931,0.435731286699524,-0.2201554635463134,-0.1628312601902244,0.2418629306254408,-0.1858276573270197,1.9072182352448408,1.07107716708866,9,"POLYGON ((126.98402652360508 37.56953218787243, 126.98402030573796 37.570433507189854, 126.98515267310914 37.570438451044446, 126.98515887733204 37.56953713156712, 126.98402652360508 37.56953218787243))"
25317,-0.9515070185727688,1.4450228608427846,2.036134274270568,종로구,서울특별시 종로구 종로2가 8-4번지,126.984704214,37.570497715,954495.6637876512,1952472.3401986824,NoData,-0.01517019551998,0.3018574095837636,-0.3424165212710907,-0.7452151238995933,-0.4291110570314162,-0.2248779834973114,-0.3380824938099893,-0.5911495241477009,1.996262157499321,0.4141315280041041,9,"POLYGON ((126.98402030573796 37.570433507189854, 126.9840140875938 37.57133482636844, 126.98514646860986 37.57133977038295, 126.98515267310914 37.570438451044446, 126.98402030573796 37.570433507189854))"
25318,-0.97619871459368,1.2730364954310929,1.843859448361849,종로구,서울특별시 종로구 인사동 194-27번지,126.984841914,37.571987461,954508.7299263905,1952637.553610307,태화빌딩,0.6296290715859786,0.2755326396086688,0.4518812675393203,-0.492155178771211,0.963926232869269,0.539943979835696,0.2804485644001608,1.183595702639276,0.6904142437964312,1.235313576859799,9,"POLYGON ((126.9840140875938 37.57133482636844, 126.98400786917263 37.5722361454082, 126.98514026383411 37.572241089582626, 126.98514646860986 37.57133977038295, 126.9840140875938 37.57133482636844))"
25320,-1.0188385761289338,0.9722837072109994,1.4335524745817576,종로구,서울특별시 종로구 관훈동 196-10번지,126.985020896,37.573399134,954525.393515692,1952794.085275192,"인사동마루 신관, 아리수갤러리",0.0089428638650012,0.1382920158346398,-0.2950601912591094,-0.0703886035572405,-0.2201554635463134,-0.2751042214849044,-0.0858247270060218,-0.4610223345843395,-0.0763744666220593,-0.1935431881491098,6,"POLYGON ((126.98400165047441 37.57313746430912, 126.98399543149915 37.574038783071174, 126.98512785345339 37.57404372756546, 126.98513405878198 37.57314240864346, 126.98400165047441 37.57313746430912))"
25321,-1.037409224559313,0.8166271429618426,1.231273784169519,종로구,서울특별시 종로구 관훈동 186번지,126.984498754,37.574137611,954479.7355861688,1952876.26858668,"토포하우스, 쌈지길",0.2203234739192842,0.4403556352059584,-0.2472428060194469,-0.0703886035572405,-0.196938175381302,-0.307123448201995,0.1876942077235725,-0.4754323924890071,0.7551125812908918,-0.9134461176459356,6,"POLYGON ((126.98399543149915 37.574038783071174, 126.98398921224683 37.57494010169441, 126.98512164784833 37.57494504634862, 126.98512785345339 37.57404372756546, 126.98399543149915 37.574038783071174))"
25356,-0.9144666605310164,1.5916143299748968,2.2597777266801504,종로구,서울특별시 종로구 관철동 32-4번지,126.985475951,37.568763343,954562.7605998174,1952279.5466527825,"계원빌딩, 대성빌딩, 해덕빌딩, 평구빌딩, 포인트23",0.6686941743534736,0.8989636809532076,0.3443538313822304,2.502387505247979,-0.1758315497767461,0.2480184043598193,0.8234529886315967,-0.054827130920951,1.6504908330904662,1.07107716708866,4,"POLYGON ((126.98516508127855 37.568635811950934, 126.98515887733204 37.56953713156712, 126.98629123133539 37.56954206440128, 126.98629742163826 37.56864074462556, 126.98516508127855 37.568635811950934))"
