grid_idx,pp_pop,pp_od,bs_ebit,geometry_grids,sigungunm,platplc,x,y,x_5179,y_5179,bdnm,bd_platarea,bd_archarea,bd_totarea,bd_totflrcnt,bd_elvtent,bs_gas,bs_elct,bd_height,bd_ilp,bd_vintage,count,geometry
31101,1.22124274408471,1.6281100098668497,0.2513557223835082,"POLYGON ((957535.230213883 1944965.54807064, 957535.230213883 1945065.54807064, 957635.230213883 1945065.54807064, 957635.230213883 1944965.54807064, 957535.230213883 1944965.54807064))",서초구,서울특별시 서초구 반포동 745-5번지,127.020403621,37.50362988,957610.3633615912,1945037.0423654616,제일약품 사옥,-0.05207359462182761,-0.4529288715439579,-0.023056552877028923,-0.6255767462752205,0.4041196823643644,0.27281680137490083,-0.43374833620492587,2.234826108516477,0.5536699725465782,-0.3079862690322151,11,"POLYGON ((957535.230213883 1944965.54807064, 957535.230213883 1945065.54807064, 957635.230213883 1945065.54807064, 957635.230213883 1944965.54807064, 957535.230213883 1944965.54807064))"
31161,1.2554800510754063,1.7412173064001844,0.3344626816038876,"POLYGON ((957635.230213883 1944865.54807064, 957635.230213883 1944965.54807064, 957735.230213883 1944965.54807064, 957735.230213883 1944865.54807064, 957635.230213883 1944865.54807064))",서초구,서울특별시 서초구 서초동 1302-2번지,127.021778617,37.502677113,957731.3574498664,1944930.7203988736,대지스포츠프라자,-0.048831321732642215,-0.25112946620567034,-0.29120727125920065,-0.9944379831849044,0.4041196823643644,-0.2527309501449699,-0.2001215128708515,0.01984704927522566,0.37445120649348407,1.8182268673088489,4,"POLYGON ((957635.230213883 1944865.54807064, 957635.230213883 1944965.54807064, 957735.230213883 1944965.54807064, 957735.230213883 1944865.54807064, 957635.230213883 1944865.54807064))"
31162,1.141414841335365,1.6936933840301498,0.3490220406507874,"POLYGON ((957635.230213883 1944965.54807064, 957635.230213883 1945065.54807064, 957735.230213883 1945065.54807064, 957735.230213883 1944965.54807064, 957635.230213883 1944965.54807064))",서초구,서울특별시 서초구 서초동 1301-4번지,127.020802279,37.502994563,957645.240486655,1944966.3784398893,금강빌딩,0.08488922279785063,0.03274809977702906,0.9306348806705759,-0.6255767462752205,1.6115365625591485,0.7062860652652367,0.47836154926485935,1.999663338955713,0.5966824763993208,0.8176559796189364,4,"POLYGON ((957635.230213883 1944965.54807064, 957635.230213883 1945065.54807064, 957735.230213883 1945065.54807064, 957735.230213883 1944965.54807064, 957635.230213883 1944965.54807064))"
31220,1.012219335220774,1.7453708687342433,0.4154829358162064,"POLYGON ((957735.230213883 1945065.54807064, 957735.230213883 1945165.54807064, 957835.230213883 1945165.54807064, 957835.230213883 1945065.54807064, 957735.230213883 1945065.54807064))",서초구,서울특별시 서초구 반포동 746-15번지,127.022464501,37.504163347,957792.8178628692,1945095.30088064,"청원빌딩, 그라티아빌딩, 제이디 빌딩",-0.02372506201798781,-0.003284443766022313,-0.11296222425379329,0.2127442467013339,0.06872610453248001,-0.20320384241622425,-0.15703834918463683,-0.2148920035836271,0.07067539803348949,-1.1834857957608884,14,"POLYGON ((957735.230213883 1945065.54807064, 957735.230213883 1945165.54807064, 957835.230213883 1945165.54807064, 957835.230213883 1945065.54807064, 957735.230213883 1945065.54807064))"
31268,1.2137438786612016,2.0018313409148627,0.36611206630168786,"POLYGON ((957835.230213883 1944365.54807064, 957835.230213883 1944465.54807064, 957935.230213883 1944465.54807064, 957935.230213883 1944365.54807064, 957835.230213883 1944365.54807064))",서초구,서울특별시 서초구 서초동 1316-3번지,127.024016736,37.497902744,957926.5008388404,1944400.0316063224,NoData,-0.058067899825888586,-0.35643505325198704,-0.46511139927201506,-0.92737230374678,-0.19958875773302753,-0.30396839884597926,-0.3836817537771096,-0.5172138703973302,1.6805079641054077,0.8176559796189364,17,"POLYGON ((957835.230213883 1944365.54807064, 957835.230213883 1944465.54807064, 957935.230213883 1944465.54807064, 957935.230213883 1944365.54807064, 957835.230213883 1944365.54807064))"
31272,1.171233791470615,1.9215216129174282,0.47248923569995427,"POLYGON ((957835.230213883 1944765.54807064, 957835.230213883 1944865.54807064, 957935.230213883 1944865.54807064, 957935.230213883 1944765.54807064, 957835.230213883 1944765.54807064))",서초구,서울특별시 서초구 서초동 1309-5번지,127.024018287,37.501686889,957928.7611470775,1944819.8577301872,대원빌딩,-0.11227662272457138,-0.7802382265930208,-0.5744807942034764,-1.0279708229039666,0.0016473889661031095,-0.26669360279579124,-0.3548208072755758,-0.34878648138759366,1.6253981935440813,2.068369589231327,17,"POLYGON ((957835.230213883 1944765.54807064, 957835.230213883 1944865.54807064, 957935.230213883 1944865.54807064, 957935.230213883 1944765.54807064, 957835.230213883 1944765.54807064))"
31273,1.1982370099510895,1.8980955537393023,0.5006199221984655,"POLYGON ((957835.230213883 1944865.54807064, 957835.230213883 1944965.54807064, 957935.230213883 1944965.54807064, 957935.230213883 1944865.54807064, 957835.230213883 1944865.54807064))",서초구,서울특별시 서초구 서초동 1309-2번지,127.024017152,37.50226833,957928.9870780276,1944884.365441767,"강남역 2차 I'PARK, S&G TOWER 서초, 강남역 IPARK, 정경4041",0.007390358675706657,0.4472972657820384,1.2625758369529752,0.9504667205207018,0.5047377557139296,0.3114044450781031,0.8744281041460688,1.1726213014126203,1.471718101653553,-1.8401104408073934,17,"POLYGON ((957835.230213883 1944865.54807064, 957835.230213883 1944965.54807064, 957935.230213883 1944965.54807064, 957935.230213883 1944865.54807064, 957835.230213883 1944865.54807064))"
31274,1.1358965519591127,1.8760971657761807,0.5044055536105785,"POLYGON ((957835.230213883 1944965.54807064, 957835.230213883 1945065.54807064, 957935.230213883 1945065.54807064, 957935.230213883 1944965.54807064, 957835.230213883 1944965.54807064))",서초구,서울특별시 서초구 서초동 1303-14번지,127.02369492,37.503029173,957900.9327844246,1944968.9202726944,"오클라우드 호텔, 서초한일유앤아이주상복합, 아멜리아, 현대썬앤빌 강남 더 인피닛, 케이플라츠 신논현(구. 중앙화촌빌딩)",0.06921080927929835,1.1506480273508268,2.276322722720361,1.9899847518116291,0.32362522368471214,0.8554496321867123,1.270555463718106,1.2973529055377553,1.0961651773892942,-1.1834857957608884,17,"POLYGON ((957835.230213883 1944965.54807064, 957835.230213883 1945065.54807064, 957935.230213883 1945065.54807064, 957935.230213883 1944965.54807064, 957835.230213883 1944965.54807064))"
31275,1.008907122174007,1.8412298638532998,0.5011295811682368,"POLYGON ((957835.230213883 1945065.54807064, 957835.230213883 1945165.54807064, 957935.230213883 1945165.54807064, 957935.230213883 1945065.54807064, 957835.230213883 1945065.54807064))",서초구,서울특별시 서초구 반포동 748-16번지,127.023931398,37.504606031,957922.7194240454,1945143.756996492,현철빌딩,-0.058001048838482706,-0.3090495192538983,-0.18851814492716182,-0.6591095859942827,0.20288353566523373,-0.24310993226989505,-0.029068796867923224,0.4145391571055893,2.4121685765171645,0.7551202991383169,17,"POLYGON ((957835.230213883 1945065.54807064, 957835.230213883 1945165.54807064, 957935.230213883 1945165.54807064, 957935.230213883 1945065.54807064, 957835.230213883 1945065.54807064))"
31318,1.337148664499924,2.027381194533302,0.3739771403639829,"POLYGON ((957935.230213883 1944165.54807064, 957935.230213883 1944265.54807064, 958035.230213883 1944265.54807064, 958035.230213883 1944165.54807064, 957935.230213883 1944165.54807064))",서초구,서울특별시 서초구 서초동 1321-11번지,127.025104495,37.496636019,958021.9424204426,1944259.010898376,"BNK디지털타워, 재전빌딩, 강남빌딩",0.09519541668959117,0.9558320312575568,3.1698868149632347,0.9504667205207018,1.2090642691608868,1.6846374916335876,0.6867757075470828,2.7534553516558926,4.03141012780687,0.5675132576964583,17,"POLYGON ((957935.230213883 1944165.54807064, 957935.230213883 1944265.54807064, 958035.230213883 1944265.54807064, 958035.230213883 1944165.54807064, 957935.230213883 1944165.54807064))"
