grid_idx,bd_diff,bs_diff,pp_diff,sum_diff,phase,geom_dist,geom_feature_dist
31364,0.0,0.0,0.0,0.0,0,0.0,0.0
31365,0.0,0.0,0.0,0.0,0,0.0,0.0
31366,0.0,0.0,0.0,0.0,0,0.0,0.0
31367,0.0,0.0,0.0,0.0,0,0.0,0.0
31368,0.0,0.0,0.0,0.0,0,0.0,0.0
35983,0.0,0.0,0.0,0.0,0,0.0,0.0
36119,0.0,0.0,0.0,0.0,0,0.0,0.0
31268,0.0,0.0,0.0,0.0,0,0.0,0.0
31405,0.0,0.0,0.0,0.0,0,0.0,0.0
31408,0.0,0.0,0.0,0.0,0,0.0,0.0
31409,0.0,0.0,0.0,0.0,0,0.0,0.0
31410,0.0,0.0,0.0,0.0,0,0.0,0.0
36024,0.0,0.0,0.0,0.0,0,0.0,0.0
36025,0.0,0.0,0.0,0.0,0,0.0,0.0
36026,0.0,0.0,0.0,0.0,0,0.0,0.0
36027,0.0,0.0,0.0,0.0,0,0.0,0.0
31445,0.0,0.0,0.0,0.0,0,0.0,0.0
31318,0.0,0.0,0.0,0.0,0,0.0,0.0
31319,0.0,0.0,0.0,0.0,0,0.0,0.0
31320,0.0,0.0,0.0,0.0,0,0.0,0.0
31321,0.0,0.0,0.0,0.0,0,0.0,0.0
31446,0.0,0.0,0.0,0.0,0,0.0,0.0
36068,0.0,0.0,0.0,0.0,0,0.0,0.0
36069,0.0,0.0,0.0,0.0,0,0.0,0.0
36070,0.0,0.0,0.0,0.0,0,0.0,0.0
36071,0.0,0.0,0.0,0.0,0,0.0,0.0
36072,0.0,0.0,0.0,0.0,0,0.0,0.0
31476,0.7566130681554347,0.5420988037432433,0.7678110804814361,2.067127359941924,1,0.4472135954999579,0.9244474589959635
36073,0.5879774107965067,0.32166548857243543,0.44852146130578335,3.0710071855735728,1,0.4242640687119285,1.3029180035950125
36122,0.8956061352319351,0.4261243487648643,0.07151594907940301,3.265127566426561,1,0.5,1.6325637832132804
36123,0.843515053657987,0.4431358438286873,0.13753258302319993,2.285119082544842,2,0.565685424949238,1.2926585592689919
36174,0.9239339337329201,0.5424962760467662,0.10026579060491102,2.949510984561888,2,0.58309518948453,1.7198456664298167
31444,0.7407235714759404,0.7430735128479113,0.6488915503888907,3.5495469628716667,2,0.41231056256176607,1.463515705101025
36121,0.9741916813939667,0.7119362769970777,0.0933013267162669,3.5305729267814083,3,0.4472135954999579,1.5789202127607234
36173,1.0037629941311719,0.5358438651421735,0.11655180873629457,3.80240834371535,3,0.5385164807134504,2.04765955949305
36227,0.7689643006697959,0.713048073873912,0.5493776000910499,4.171339091155808,3,0.6324555320336759,2.6381864841898164
35984,1.2897277332467392,0.5384870060284613,0.5951911113003387,4.14017587702042,4,0.41231056256176607,1.7070382449589425
36117,0.8938703600161954,0.521636392910102,0.5356775084975853,4.2356397515027915,4,0.4472135954999579,1.8942356825121116
31369,1.1911927186387723,1.1780773920223924,0.31653392532426805,4.396557965814097,4,0.41231056256176607,1.812747288220224
31323,0.7940452497890893,0.4731781855913392,0.2296971517078103,3.3069710697415005,5,0.5385164807134504,1.780858422298387
36283,0.895104460191903,0.6556461568021174,0.17693794332066445,4.338731503292024,5,0.7280109889280518,3.1586442124049197
36028,1.378683646635842,0.9316562190877818,0.49775648692600144,4.444203978242502,5,0.4472135954999579,1.987508440245046
31324,0.8444095933771716,0.44848347990885506,0.1535824314322281,2.724583615348624,6,0.6324555320336759,1.7231779800155502
36074,1.256948464604961,0.9271102367564857,0.4759926255014302,4.333250954107383,6,0.5,2.1666254770536915
31272,1.7070568170383456,0.9665964436650071,0.11418400797728753,4.43004220961351,6,0.6708203932499369,2.9717626571667544
31273,0.7293909462825275,0.30623353693476474,0.962604027975797,3.6254442185818077,7,0.7615773105863908,2.761056057668512
36171,0.5482072625623805,0.35817254775355645,0.9666892849897893,4.4723493007729935,7,0.5,2.2361746503864968
36340,1.3764428068139445,0.5812292194155216,0.26262546556579447,4.608625103916211,7,0.8544003745317531,3.93761101486245
36285,0.6821476428034082,0.90850421296782,0.1390145408577126,1.991856280220874,8,0.8062257748298549,1.6058858728707868
36120,0.9520594287675168,0.9365403019104233,0.49047366893876315,4.70681982860957,8,0.41231056256176607,1.940671531410887
35985,0.9944480289149892,0.5825384913529329,0.932490465684321,4.779269884380213,8,0.5099019513592785,2.436959040118104
36342,0.8341320209206827,0.9622075935462592,0.6233098092778842,2.9629932924587057,9,0.9433981132056604,2.7952822815465703
35945,0.8857113345180784,0.17952646614452963,0.9125802390813783,3.031293310626322,9,0.6,1.818775986375793
36286,0.8819218943784412,0.7211487533704843,0.22266048964124738,3.289366036399084,9,0.8602325267042626,2.8296196567467695
35946,1.0197162067577639,0.4474263278947158,0.2834607957253503,3.570714383342082,10,0.7,2.499500068339457
36343,1.293427498412315,1.2448353424116465,0.3684716383687944,3.991147979763209,10,1.0,3.991147979763209
36284,1.7541929195738182,0.7032102056683379,0.1586455087279696,4.795833544045804,10,0.7615773105863908,3.6523980124944027
35909,0.7949734922697131,0.4561204599496581,0.6824465274098458,2.661554607252315,11,0.8062257748298549,2.1458139254839677
36344,0.9010587506226158,0.8023386391854104,0.5667808808526623,4.62928678829978,11,1.063014581273465,4.920999356859274
31274,0.6605311913089497,0.28679760459455245,2.0805561132865114,4.853212554167371,11,0.8544003745317531,4.146586623962808
35910,0.842256610073148,0.6489467847403053,0.7620000465908667,3.604769684464141,12,0.9055385138137417,3.264257782710489
35948,0.9934917457714352,0.7739205994686795,0.6343334619906567,4.30064772397739,12,0.9,3.870582951579651
31275,1.1405564518010494,0.8342540352059562,2.071465371591064,4.51982869269875,12,0.9486832980505139,4.287885990812793
35911,0.740343561698025,0.4986062334931815,0.7222013471818508,4.0092792064036775,13,1.004987562112089,4.029275735470322
35949,1.0954293214386472,0.7065838755506317,0.6250329930562037,4.529598439147902,13,1.0,4.529598439147902
36168,1.0761759958082302,0.6203316046060964,0.5300102976631608,4.766044413212812,13,0.58309518948453,2.7790575702140106
35876,0.9632446282922517,0.557481575014263,0.6600472201305269,4.06530148383586,14,1.118033988749895,4.545145233443873
36118,0.8377677054311448,0.42001696418330264,0.6040580352478391,4.816131837291968,14,0.41231056256176607,1.9857420272054833
35950,0.8666076291643258,0.6289035660613449,0.518989651844707,4.830378017798699,14,1.1,5.3134158195785695
