grid_idx,bd_diff,bs_diff,pp_diff,sum_diff,phase,geom_dist,geom_feature_dist
26120,0.0,0.0,0.0,0.0,0,0.0,0.0
26121,0.0,0.0,0.0,0.0,0,0.0,0.0
25226,0.0,0.0,0.0,0.0,0,0.0,0.0
25227,0.0,0.0,0.0,0.0,0,0.0,0.0
26122,0.0,0.0,0.0,0.0,0,0.0,0.0
26137,0.0,0.0,0.0,0.0,0,0.0,0.0
26138,0.0,0.0,0.0,0.0,0,0.0,0.0
25116,0.0,0.0,0.0,0.0,0,0.0,0.0
25117,0.0,0.0,0.0,0.0,0,0.0,0.0
25118,0.0,0.0,0.0,0.0,0,0.0,0.0
25119,0.0,0.0,0.0,0.0,0,0.0,0.0
24864,0.0,0.0,0.0,0.0,0,0.0,0.0
24995,0.0,0.0,0.0,0.0,0,0.0,0.0
24996,0.0,0.0,0.0,0.0,0,0.0,0.0
26153,0.0,0.0,0.0,0.0,0,0.0,0.0
26154,0.0,0.0,0.0,0.0,0,0.0,0.0
26170,0.0,0.0,0.0,0.0,0,0.0,0.0
25275,0.0,0.0,0.0,0.0,0,0.0,0.0
25276,0.0,0.0,0.0,0.0,0,0.0,0.0
25171,0.0,0.0,0.0,0.0,0,0.0,0.0
25172,0.0,0.0,0.0,0.0,0,0.0,0.0
25173,0.0,0.0,0.0,0.0,0,0.0,0.0
25174,0.0,0.0,0.0,0.0,0,0.0,0.0
26076,0.0,0.0,0.0,0.0,0,0.0,0.0
25058,0.0,0.0,0.0,0.0,0,0.0,0.0
24930,0.0,0.0,0.0,0.0,0,0.0,0.0
25316,0.0,0.0,0.0,0.0,0,0.0,0.0
26105,0.0,0.0,0.0,0.0,0,0.0,0.0
25356,1.3440022041160304,0.1937508848597064,0.13807427600615368,1.9305906113662477,1,0.5099019513592785,0.9844119200115522
26169,1.4268765702717843,0.29711319361158406,0.5079123606263445,2.40132346314697,1,0.4242640687119285,1.0187952627681522
26168,0.37117159868028904,0.5007259758350292,0.3675976527319046,2.479424664725016,1,0.5,1.239712332362508
26167,0.9547396827417404,0.32113941814460734,0.18955544351634523,1.6530441288639601,2,0.58309518948453,0.9638820795462206
25391,1.3148541062085564,0.427867031864979,0.22251864461102402,2.1787168333806433,2,0.6,1.307230100028386
25357,1.448730989218215,0.5648083623561863,0.2994562000110473,2.5912449220075358,2,0.5,1.2956224610037679
26182,1.1357732878613929,0.3978900393896021,0.1423122827243131,2.2164469177234354,3,0.7211102550927978,1.598302602239192
25390,1.1938395183935644,0.36431934502057434,0.24095689325513123,2.469100208053937,3,0.608276253029822,1.5018950229102026
25318,0.5916266945609752,0.27731037056246616,0.6664552271482163,2.6622323611405427,3,0.4472135954999579,1.1905865062820047
26198,0.859738011703415,1.109285321968017,0.29291558840989995,2.352459129712903,4,0.7071067811865476,1.663439803084198
25358,1.1514775209402173,0.3162342489820502,0.4888479412374707,2.7956931446430575,4,0.5099019513592785,1.4255293898552528
26136,0.5285450393484407,0.5795504817596809,0.1727939829496866,2.8283262204623965,4,0.41231056256176607,1.1661487750670443
25393,0.8227148929673467,0.7498031284135365,0.477118206214435,2.3506983227169678,5,0.6324555320336759,1.4867121583446294
25317,1.3367773517521568,0.6142084264809915,0.5944592174844862,2.8603276427011624,5,0.41231056256176607,1.1793432994730864
26214,1.5362097562719343,0.5952491319889129,0.1419762247065641,2.86034347497145,5,0.7810249675906655,2.2339996698377482
26232,0.46680441389306726,0.5600714534054781,0.16871586048726353,1.4379164774944753,6,0.8062257748298549,1.159285326208599
26230,0.3622100270858048,0.5283981077056534,0.7154013912691617,2.1703531341510534,6,0.9219544457292888,2.000966720833059
26166,1.8950483919145684,0.5993478411757647,0.14269410413372882,2.856803911947818,6,0.6708203932499369,1.9164023236507934
26248,1.0731415285104604,0.6020510831689461,0.1332614074417458,2.9491146398519152,7,0.9433981132056604,2.7821891868634876
25416,1.1089773246480072,0.40983645386188555,0.20300145860506666,3.210062737171965,7,0.7071067811865476,2.2698571294885466
26104,0.7748769813871099,0.26323397000253995,1.170295520709178,3.237572493682976,7,0.41231056256176607,1.3348853362049276
25442,0.8247463341658912,0.41649165014283107,0.5139379759309869,2.657777575149617,8,0.8,2.126222060119694
26249,1.2070260365323089,0.47587947653935064,0.17869978290688887,3.2026639187065484,8,0.8944271909999159,2.864549692525481
26196,1.1938761447938315,0.41392128590117055,0.7072104300345294,3.2633236539216908,8,0.8602325267042626,2.8072171522668428
25467,0.5161231472742746,0.6500075374498178,0.1708042251255215,2.67730250498452,9,0.9,2.409572254486068
25360,0.8299395541598387,0.2962121116400385,0.7927282459903724,3.231744608720018,9,0.58309518948453,1.8844147349872071
25394,0.8396451596390065,1.196948774036226,0.46609792075905826,3.437656594954097,9,0.6708203932499369,2.3060501488853467
26268,1.0941062626911369,0.49314076597324097,0.22181016438900822,3.4348191841360816,10,0.9486832980505139,3.2585555918133933
25361,1.2525293710226302,0.6474971123806975,0.6376395932058985,3.4409587191122277,10,0.6403124237432849,2.2032886174353394
26250,1.2184406447595322,0.47124762448729673,0.34861779880406546,3.5383010371904966,10,0.8544003745317531,3.0231257313816506
25321,1.0994894522906185,0.5922177591626465,0.6592816811201653,3.445696178363448,11,0.6403124237432849,2.2063220714508733
26267,1.4642744215518484,0.6704264071417193,0.12766371301478716,3.525475251935361,11,0.9848857801796105,3.472190444006267
26195,0.940346462584758,0.39141779211749517,1.1345676268181888,3.541147444452114,11,0.9433981132056604,3.3407118176791704
