grid_idx,pp_pop,pp_od,pp_drr,bs_ebit,geometry_grids,sigungunm,platplc,x,y,x_5179,y_5179,bdnm,bd_platarea,bd_archarea,bd_totarea,bd_totflrcnt,bd_elvtent,bs_gas,bs_elct,bd_height,bd_ilp,bd_vintage,count,geometry,gwr_const,gwr_bs_ebit,gwr_bs_elct,gwr_bd_totflrcnt,gwr_bd_height,gwr_pp_od,gwr_pp_drr,gwr_r2
23789,-1.233065060797709,-2.018481224325375,-1.055545609436937,-1.2435778468742,"POLYGON ((951835.230213883 1956865.54807064, 951835.230213883 1956965.54807064, 951935.230213883 1956965.54807064, 951935.230213883 1956865.54807064, 951835.230213883 1956865.54807064))",종로구,서울특별시 종로구 구기동 235-2번지,126.955273762,37.610617454,951922.5380847312,1956938.1097724235,NoData,-0.5197913332548557,-0.6492068063338586,-0.4832890911794925,-0.9784518427080782,-0.42639092938477835,-0.33332314416612097,-0.39120181327642667,-0.63404201414523,-0.6894698726437326,-1.2224213557127712,5.0,"POLYGON ((951835.230213883 1956865.54807064, 951835.230213883 1956965.54807064, 951935.230213883 1956965.54807064, 951935.230213883 1956865.54807064, 951835.230213883 1956865.54807064))",-2.542988559530275,-1.416450298051436,0.05350740409446822,0.12214507638240325,0.29616354543438933,-0.2264415333133269,0.04223750344005141,0.5533628125347387
23812,-0.6052908241569463,-1.9596234428157953,-0.3669424117114087,-1.2435778468742,"POLYGON ((951935.230213883 1955865.54807064, 951935.230213883 1955965.54807064, 952035.230213883 1955965.54807064, 952035.230213883 1955865.54807064, 951935.230213883 1955865.54807064))",종로구,서울특별시 종로구 홍지동 60-2번지,126.956019724,37.601439217,951982.4773036308,1955919.439982799,NoData,-0.782129050931616,-0.5078451768985607,-0.4600727394277946,-0.9335492751054741,-0.42639092938477835,-0.2581640083735645,-0.36091952937631894,-0.5924320490692233,-0.6522234853759703,-0.14899885414537292,5.0,"POLYGON ((951935.230213883 1955865.54807064, 951935.230213883 1955965.54807064, 952035.230213883 1955965.54807064, 952035.230213883 1955865.54807064, 951935.230213883 1955865.54807064))",-0.1197733193932588,0.3749484725051142,0.06409240695735045,0.06367576086926952,0.3181918716845404,-0.11170934593685128,0.040684258349031784,0.5330804805076451
23820,-1.1099298206268688,-2.018263533560467,-1.055545609436937,-1.2435778468742,"POLYGON ((951935.230213883 1956665.54807064, 951935.230213883 1956765.54807064, 952035.230213883 1956765.54807064, 952035.230213883 1956665.54807064, 951935.230213883 1956665.54807064))",종로구,서울특별시 종로구 구기동 253-1번지,126.955630659,37.608921686,951952.9470918854,1956749.788380358,"장모님해장국, 구기아트프라자",-0.6502862970386534,-0.6888451380911813,-0.482676518349835,-0.709036437092454,-0.42639092938477835,-0.18478718649908094,-0.36420660160494983,-0.5646920723518855,-0.692959561988857,-0.19028433497488825,5.0,"POLYGON ((951935.230213883 1956665.54807064, 951935.230213883 1956765.54807064, 952035.230213883 1956765.54807064, 952035.230213883 1956665.54807064, 951935.230213883 1956665.54807064))",-2.5558537136884896,-1.4404184971626803,0.05357566425324116,0.11872733237078638,0.29738180468687664,-0.21682057614990527,0.04136039654620787,0.548664071737428
23842,0.33249672684810366,-1.5622983459762672,-0.4145560159022296,-1.0735074888420715,"POLYGON ((952035.230213883 1953065.54807064, 952035.230213883 1953165.54807064, 952135.230213883 1953165.54807064, 952135.230213883 1953065.54807064, 952035.230213883 1953065.54807064))",종로구,서울특별시 종로구 무악동 66-3번지,126.957580116,37.575775896,952103.7726886498,1953071.4107363697,골든팰리스,-0.01015819822683721,-0.05260656974875589,-0.14788327801671658,-0.5743287342846418,0.5952930681804945,0.1594292032826143,0.05875331294030856,-0.03994417944891136,-0.46889386492815316,-0.9747084707356793,5.0,"POLYGON ((952035.230213883 1953065.54807064, 952035.230213883 1953165.54807064, 952135.230213883 1953165.54807064, 952135.230213883 1953065.54807064, 952035.230213883 1953065.54807064))",-0.2295445808337335,0.19513634221914267,0.03241029457907207,0.1993112612903746,0.24607088461175425,-0.05077405218908396,0.018242340075902422,0.6779613381954442
23846,-0.5544169384377768,-1.9588948799803638,-0.2705414037016568,-1.2435778468742,"POLYGON ((952035.230213883 1955665.54807064, 952035.230213883 1955765.54807064, 952135.230213883 1955765.54807064, 952135.230213883 1955665.54807064, 952035.230213883 1955665.54807064))",종로구,서울특별시 종로구 홍지동 72-2번지,126.957423167,37.600028485,952105.4567910538,1955762.208397532,NoData,-0.5310229174978974,-0.6483015763846881,-0.471927965212629,-0.9335492751054741,-0.42639092938477835,-0.33332314416612097,-0.3621421386005706,-0.647912002503899,-0.6129731180882356,0.098714030831719,5.0,"POLYGON ((952035.230213883 1955665.54807064, 952035.230213883 1955765.54807064, 952135.230213883 1955765.54807064, 952135.230213883 1955665.54807064, 952035.230213883 1955665.54807064))",-0.06084941920718804,0.3215023353230792,0.07345457322995862,0.04891229383967199,0.32144534388492146,-0.044984482082641164,0.03733343607075926,0.5267297253958556
23847,-0.5939148578987617,-1.962610740632217,-0.26270160850577506,-1.2435778468742,"POLYGON ((952035.230213883 1955765.54807064, 952035.230213883 1955865.54807064, 952135.230213883 1955865.54807064, 952135.230213883 1955765.54807064, 952035.230213883 1955765.54807064))",종로구,서울특별시 종로구 홍지동 44번지,126.95665624,37.600063505,952037.7802849466,1955766.485168022,NoData,-0.6814459207529205,-0.7320430181232084,-0.49303319921761574,-0.9335492751054741,-0.42639092938477835,-0.33332314416612097,-0.38580137367444645,-0.5878087196163336,-0.7122046804565226,0.5115688391268722,9.0,"POLYGON ((952035.230213883 1955765.54807064, 952035.230213883 1955865.54807064, 952135.230213883 1955865.54807064, 952135.230213883 1955765.54807064, 952035.230213883 1955765.54807064))",-0.08964413734117033,0.33484747342185256,0.06634299970494657,0.05632528131657607,0.3212238173898625,-0.06978525699832117,0.03914116784540924,0.532867329187
23849,-0.6784241779293039,-1.9701368403030326,-0.3922094217617453,-1.2435778468742,"POLYGON ((952035.230213883 1955965.54807064, 952035.230213883 1956065.54807064, 952135.230213883 1956065.54807064, 952135.230213883 1955965.54807064, 952035.230213883 1955965.54807064))",종로구,서울특별시 종로구 홍지동 63-1번지,126.956625648,37.602354064,952036.5504119616,1956020.628776761,NoData,-0.6523641401236161,-0.7155340787112172,-0.492671836720431,-0.9784518427080782,-0.42639092938477835,-0.32613777366282576,-0.3963786900488294,-0.5970553785221129,-0.7373580848451413,-0.9747084707356793,9.0,"POLYGON ((952035.230213883 1955965.54807064, 952035.230213883 1956065.54807064, 952135.230213883 1956065.54807064, 952135.230213883 1955965.54807064, 952035.230213883 1955965.54807064))",-0.23905566216212581,0.3134103681318548,0.05949377264814332,0.07049301970794762,0.3174108297039798,-0.13505727499731995,0.04189099142657273,0.5364049230017265
23855,-1.066569665191889,-2.0485767245345405,-1.055545609436937,-1.2435778468742,"POLYGON ((952035.230213883 1956565.54807064, 952035.230213883 1956665.54807064, 952135.230213883 1956665.54807064, 952135.230213883 1956565.54807064, 952035.230213883 1956565.54807064))",종로구,서울특별시 종로구 구기동 110-12번지,126.956970725,37.608052592,952070.6670190296,1956652.680931256,구기빌딩,-0.697089913091443,-0.7089366400986186,-0.4790351572214049,-0.8437441399002661,-0.42639092938477835,-0.3136882975844128,-0.380467304287497,-0.3173439466222897,-0.5763486556542579,0.2638559541497803,9.0,"POLYGON ((952035.230213883 1956565.54807064, 952035.230213883 1956665.54807064, 952135.230213883 1956665.54807064, 952135.230213883 1956565.54807064, 952035.230213883 1956565.54807064))",-2.6038531756712686,-1.4932626192834677,0.05309357126946602,0.11694214754125976,0.29842841949792404,-0.2073874339290378,0.04076287287069709,0.5470998050862949
23856,-1.1022277180713187,-2.0485767245345405,-1.055545609436937,-1.2435778468742,"POLYGON ((952035.230213883 1956665.54807064, 952035.230213883 1956765.54807064, 952135.230213883 1956765.54807064, 952135.230213883 1956665.54807064, 952035.230213883 1956665.54807064))",종로구,서울특별시 종로구 구기동 85-24번지,126.957323426,37.608505939,952102.0883976028,1956702.7979511544,NoData,-0.6423800639875693,-0.643276783022767,-0.46465554495678507,-0.8437441399002661,-0.08582959686302072,-0.286574145670342,-0.3844110923280117,-0.532328766181658,-0.6719868745384564,-0.9747084707356793,9.0,"POLYGON ((952035.230213883 1956665.54807064, 952035.230213883 1956765.54807064, 952135.230213883 1956765.54807064, 952135.230213883 1956665.54807064, 952035.230213883 1956665.54807064))",-2.6373376085980778,-1.515977634632386,0.05256195293677661,0.11928772673217201,0.29783408187884797,-0.21077191956145697,0.04121378567560388,0.5506233830752304
23857,-1.138113197868654,-2.0485767245345405,-1.055545609436937,-1.2435778468742,"POLYGON ((952035.230213883 1956765.54807064, 952035.230213883 1956865.54807064, 952135.230213883 1956865.54807064, 952135.230213883 1956765.54807064, 952035.230213883 1956765.54807064))",종로구,서울특별시 종로구 구기동 127-1번지,126.956731286,37.609542021,952050.4894943848,1956818.0493508363,NoData,-0.5755481264613842,-0.6714539830507612,-0.4584707782697704,-0.8886467075028701,-0.08582959686302072,-0.3044507275472646,-0.37277185251313577,-0.6525353319567886,-0.686014734678263,-0.9747084707356793,9.0,"POLYGON ((952035.230213883 1956765.54807064, 952035.230213883 1956865.54807064, 952135.230213883 1956865.54807064, 952135.230213883 1956765.54807064, 952035.230213883 1956765.54807064))",-2.6653377008292125,-1.5350929433288791,0.052181422817428956,0.12139172664348907,0.29732274147171406,-0.2135986350143364,0.04163658261354844,0.5539903442690062
