grid_idx,pp_pop,pp_od,pp_drr,bs_ebit,geometry_grids,sigungunm,platplc,x,y,x_5179,y_5179,bdnm,bd_platarea,bd_archarea,bd_totarea,bd_totflrcnt,bd_elvtent,bs_gas,bs_elct,bd_height,bd_ilp,bd_vintage,count,geometry,gwr_const,gwr_bs_ebit,gwr_bs_elct,gwr_bd_vintage,gwr_bd_height,gwr_pp_od,gwr_pp_pop,gwr_r2
10718,-0.9218436681339124,-0.36558381612242674,-1.10648888805146,-0.5599646503993971,"POLYGON ((945535.230213883 1946565.54807064, 945535.230213883 1946665.54807064, 945635.230213883 1946665.54807064, 945635.230213883 1946565.54807064, 945535.230213883 1946565.54807064))",영등포구,서울특별시 영등포구 문래동5가 23-5번지,126.883850752,37.517448099,945550.9234865848,1946640.363489287,"문래동 빅토리 테크노 타워, 명지 페르마타",0.10722860564573147,0.11112563343343125,0.1547432783719268,0.2384829250107385,0.052627228697847535,0.22677026565108693,-0.12559843066890475,1.3206634928435033,-0.6113220418770995,-0.22355115158279626,4.0,"POLYGON ((945535.230213883 1946565.54807064, 945535.230213883 1946665.54807064, 945635.230213883 1946665.54807064, 945635.230213883 1946565.54807064, 945535.230213883 1946565.54807064))",1.1711821754841374,2.6506499179171703,0.009280790227337075,0.0611222316660299,-0.005479781273664221,0.1268640891708969,0.056403671854927166,0.5209185959781828
10719,-1.1004441461369647,-0.3993212561300899,-1.10648888805146,-0.5587094057199937,"POLYGON ((945535.230213883 1946665.54807064, 945535.230213883 1946765.54807064, 945635.230213883 1946765.54807064, 945635.230213883 1946665.54807064, 945535.230213883 1946665.54807064))",영등포구,서울특별시 영등포구 문래동5가 23-2번지,126.883934822,37.517783729,945558.5966650792,1946677.551186887,정민빌딩,-0.2185558131999161,-0.18587990526803969,-0.3816957221228107,-0.8399508902951744,-0.09141757805000214,-0.2999600504658058,-0.32863102134166167,-0.5542269658197385,-0.5983794424760577,-1.3546514535977916,4.0,"POLYGON ((945535.230213883 1946665.54807064, 945535.230213883 1946765.54807064, 945635.230213883 1946765.54807064, 945635.230213883 1946665.54807064, 945535.230213883 1946665.54807064))",0.8024101310463756,1.908317909345322,0.010773183358080467,0.05939661707520956,0.005913408384928019,0.13271822374345643,0.10177482300435915,0.5190933343543311
10739,-1.2472025673887366,-0.32705702051171553,-1.10648888805146,-0.5630260825015282,"POLYGON ((945635.230213883 1946365.54807064, 945635.230213883 1946465.54807064, 945735.230213883 1946465.54807064, 945735.230213883 1946365.54807064, 945635.230213883 1946365.54807064))",영등포구,서울특별시 영등포구 문래동5가 20-20번지,126.885533866,37.515291154,945698.0987175386,1946400.0892461843,NoData,0.08046774266912468,0.2251658207321239,-0.1237815485111281,2.2926425732124773,-0.18744744921523526,0.1352008117482095,-0.24390215621138867,-0.27487365965788013,-0.6363444007191137,-0.8633654638337025,4.0,"POLYGON ((945635.230213883 1946365.54807064, 945635.230213883 1946465.54807064, 945735.230213883 1946465.54807064, 945735.230213883 1946365.54807064, 945635.230213883 1946365.54807064))",1.9868177816369403,4.221212302183343,0.008543115226526486,0.06722718763048617,-0.03634839679869748,0.07466464555510399,-0.003591444578615226,0.5084420504444419
10745,-0.41619380925150434,-0.4448272484981443,-0.46404868884571643,-0.5080318792481294,"POLYGON ((945635.230213883 1946965.54807064, 945635.230213883 1947065.54807064, 945735.230213883 1947065.54807064, 945735.230213883 1946965.54807064, 945635.230213883 1946965.54807064))",영등포구,서울특별시 영등포구 문래동6가 34-1번지,126.885622558,37.520633962,945709.8077879852,1946992.793989919,문래크라운팰리스,-0.15200686590638235,-0.39554764737426257,-0.3493395776531687,-0.2750569870396962,-0.09141757805000214,-0.037195659879131225,-0.2516853412440301,0.7436914720399729,-0.4343614100664914,-1.6631333541473359,4.0,"POLYGON ((945635.230213883 1946965.54807064, 945635.230213883 1947065.54807064, 945735.230213883 1947065.54807064, 945735.230213883 1946965.54807064, 945635.230213883 1946965.54807064))",-0.5164055313393048,-0.8366979126224923,0.017046472178525257,0.055680791325956894,0.04309280723763917,0.12722957341906105,0.3113730243338905,0.4830068705581803
10764,-1.1894393471134712,-0.09803200110312754,-1.10648888805146,-0.5635378113059972,"POLYGON ((945735.230213883 1946265.54807064, 945735.230213883 1946365.54807064, 945835.230213883 1946365.54807064, 945835.230213883 1946265.54807064, 945735.230213883 1946265.54807064))",영등포구,서울특별시 영등포구 문래동5가 5-4번지,126.88676621,37.51468377,945806.5658869086,1946331.992710332,NoData,-0.27774967858838867,-0.27300383832218467,-0.41395240880408035,-0.9426588727052614,-0.3795071915457015,-0.2999600504658058,-0.32863102134166167,-0.618693113395552,-0.5428439250461329,-0.01789655121643346,3.0,"POLYGON ((945735.230213883 1946265.54807064, 945735.230213883 1946365.54807064, 945835.230213883 1946365.54807064, 945835.230213883 1946265.54807064, 945735.230213883 1946265.54807064))",2.340375307778097,4.890501758645518,0.012817492574327431,0.06694956228467004,-0.04890610678198484,0.044253572649209615,-0.023420204645687063,0.48701828103611766
10765,-1.0166011129763752,-0.16338632141881768,-0.4168213207891295,-0.5621086029922301,"POLYGON ((945735.230213883 1946365.54807064, 945735.230213883 1946465.54807064, 945835.230213883 1946465.54807064, 945835.230213883 1946365.54807064, 945735.230213883 1946365.54807064))",영등포구,서울특별시 영등포구 문래동5가 9번지,126.886057714,37.515048068,945744.216942706,1946372.8179437064,"벽산디지털밸리, 유니온빌딩별관",0.44801406724689935,0.4944251109700042,0.6481687587643987,0.08442095139560808,-0.09141757805000214,-0.27766027569677226,0.4314557316341926,0.8070831838228558,-0.5776712834343908,-0.42920575194915905,3.0,"POLYGON ((945735.230213883 1946365.54807064, 945735.230213883 1946465.54807064, 945835.230213883 1946465.54807064, 945835.230213883 1946365.54807064, 945735.230213883 1946365.54807064))",2.0717686109858833,4.386155461261288,0.012613532801856384,0.0660906255791834,-0.03757823461081863,0.07236616528137008,-0.01348360683861136,0.5033317479035477
10766,-1.0296483113778692,-0.2268690330528232,-0.3751218897439883,-0.5600920201236316,"POLYGON ((945735.230213883 1946465.54807064, 945735.230213883 1946565.54807064, 945835.230213883 1946565.54807064, 945835.230213883 1946465.54807064, 945735.230213883 1946465.54807064))",영등포구,서울특별시 영등포구 문래동5가 10번지,126.886900373,37.516108641,945819.4525821004,1946489.9971661423,하우스디 비즈,-0.42963004222114914,1.0243178619546063,1.0869702062834123,-0.17234900462960928,0.48476164894139656,-0.27151281844849373,0.521113489316028,1.150687750401942,-0.5795538433472696,-1.457478753780973,3.0,"POLYGON ((945735.230213883 1946465.54807064, 945735.230213883 1946565.54807064, 945835.230213883 1946565.54807064, 945835.230213883 1946465.54807064, 945735.230213883 1946465.54807064))",1.7081770157208773,3.688033472503332,0.011097784737287774,0.0634084497240525,-0.024282485692122876,0.10059536909683377,0.010788729972318922,0.508326796180632
10768,-1.03266673914187,-0.35258767774659655,-0.3825880363934571,-0.55458697025071,"POLYGON ((945735.230213883 1946665.54807064, 945735.230213883 1946765.54807064, 945835.230213883 1946765.54807064, 945835.230213883 1946665.54807064, 945735.230213883 1946665.54807064))",영등포구,서울특별시 영등포구 문래동6가 19번지,126.886983241,37.517942848,945828.1018041872,1946693.4448426685,문래 SK V1 center,1.1372725054347508,1.33316736724193,1.952550154467512,0.08442095139560808,1.3490304894284948,-0.2999600504658058,-0.32863102134166167,2.002930221354196,-0.5254302458520038,-1.7659606543305173,9.0,"POLYGON ((945735.230213883 1946665.54807064, 945735.230213883 1946765.54807064, 945835.230213883 1946765.54807064, 945835.230213883 1946665.54807064, 945735.230213883 1946665.54807064))",0.9333365184581074,2.156648218340212,0.00898767599716356,0.061335056769593936,0.003210485599089465,0.13206143858958475,0.08625089068104781,0.510179803501966
10769,-1.0021818353082974,-0.41818069969800636,0.2679630652758702,-0.5404568471383813,"POLYGON ((945735.230213883 1946765.54807064, 945735.230213883 1946865.54807064, 945835.230213883 1946865.54807064, 945835.230213883 1946765.54807064, 945735.230213883 1946765.54807064))",영등포구,서울특별시 영등포구 문래동6가 24-1번지,126.886286204,37.519045586,945767.3025974692,1946816.189329742,에이스하이테크시티2,1.2412617284145,1.2503156130207733,2.0615108977146863,-0.06964102221952234,1.3490304894284948,-0.18104972840452271,1.0712465934369662,1.4184371500001536,-0.5722589236848642,-1.2518241534146102,9.0,"POLYGON ((945735.230213883 1946765.54807064, 945735.230213883 1946865.54807064, 945835.230213883 1946865.54807064, 945835.230213883 1946765.54807064, 945735.230213883 1946765.54807064))",0.4608964341719743,1.1965045974351611,0.009693634473432888,0.05979126496113952,0.0191007029513827,0.1374832201194094,0.1491262353837033,0.5030682398967702
10771,-0.5125833289477637,-0.43232347208109645,0.21908814770703566,-0.5029037857321984,"POLYGON ((945735.230213883 1946965.54807064, 945735.230213883 1947065.54807064, 945835.230213883 1947065.54807064, 945835.230213883 1946965.54807064, 945735.230213883 1946965.54807064))",영등포구,서울특별시 영등포구 문래동6가 29-1번지,126.886413259,37.521231739,945780.1123009388,1947058.6581363152,문래동 대우 이안,0.6621404474880573,0.29215602898813386,0.42617818576957467,0.9060848106763036,0.19667203544569722,0.8402936368606321,-0.13192527393021344,0.41749276530635687,-0.3724722529306006,-1.0461695530482475,9.0,"POLYGON ((945735.230213883 1946965.54807064, 945735.230213883 1947065.54807064, 945835.230213883 1947065.54807064, 945835.230213883 1946965.54807064, 945735.230213883 1946965.54807064))",-0.5886028313536223,-0.987279677858117,0.015494933324857818,0.05501599573829467,0.05163020754217376,0.1314197335431061,0.3192149812085527,0.47001920149829896
