grid_idx,pp_pop,pp_od,pp_drr,bs_ebit,geometry_grids,sigungunm,platplc,x,y,x_5179,y_5179,bdnm,bd_platarea,bd_archarea,bd_totarea,bd_totflrcnt,bd_elvtent,bs_gas,bs_elct,bd_height,bd_ilp,bd_vintage,count,geometry,gwr_const,gwr_bs_ebit,gwr_bs_elct,gwr_bd_height,gwr_bd_totflrcnt,gwr_pp_od,gwr_pp_drr,gwr_r2
23789,-1.2290706957719937,-2.118026159344167,-0.9614189040794214,-1.1907296027387828,"POLYGON ((951835.230213883 1956865.54807064, 951835.230213883 1956965.54807064, 951935.230213883 1956965.54807064, 951935.230213883 1956865.54807064, 951835.230213883 1956865.54807064))",종로구,서울특별시 종로구 구기동 235-2번지,126.955273762,37.610617454,951922.5380847312,1956938.1097724235,NoData,-0.5546522489986321,-0.6900972653658178,-0.5010930964900793,-0.9982750690279756,-0.4291110570314162,-0.3203054302025702,-0.4142044702577446,-0.6410544865881082,-0.7559338325321585,-1.1461143648217158,9,"POLYGON ((951835.230213883 1956865.54807064, 951835.230213883 1956965.54807064, 951935.230213883 1956965.54807064, 951935.230213883 1956865.54807064, 951835.230213883 1956865.54807064))",-2.3815582296162736,-1.4349370428607457,0.08347885236865209,0.2973713307487318,0.13159801919827005,-0.14717687335582194,0.03652305395309068,0.5400300311855307
23812,-0.6007824907031727,-2.0449307237205616,-0.7783533615493169,-1.1907296027387828,"POLYGON ((951935.230213883 1955865.54807064, 951935.230213883 1955965.54807064, 952035.230213883 1955965.54807064, 952035.230213883 1955865.54807064, 951935.230213883 1955865.54807064))",종로구,서울특별시 종로구 홍지동 60-2번지,126.956019724,37.601439217,951982.4773036308,1955919.439982799,NoData,-0.8198715701856113,-0.5479265337330297,-0.477663253510446,-0.9560984115065786,-0.4291110570314162,-0.2622590054478476,-0.38063087589426353,-0.5989471745290146,-0.7149114142009462,-0.07857770130931271,9,"POLYGON ((951935.230213883 1955865.54807064, 951935.230213883 1955965.54807064, 952035.230213883 1955965.54807064, 952035.230213883 1955865.54807064, 951935.230213883 1955865.54807064))",0.13491856933626628,0.4840797899573397,0.11015585352746797,0.3140453632194723,0.03993462943804271,-0.020780331370026564,0.06571838652248757,0.5571010116427384
23820,-1.1065988533584932,-2.1177109224630986,-0.5485818531453666,-1.1907296027387828,"POLYGON ((951935.230213883 1956665.54807064, 951935.230213883 1956765.54807064, 952035.230213883 1956765.54807064, 952035.230213883 1956665.54807064, 951935.230213883 1956665.54807064))",종로구,서울특별시 종로구 구기동 253-1번지,126.955630659,37.608921686,951952.9470918854,1956749.788380358,"장모님해장국, 구기아트프라자",-0.6865806122532927,-0.7299624724177859,-0.5004748906080368,-0.7452151238995933,-0.4291110570314162,-0.18096370185451932,-0.37986437246537325,-0.5708756331562856,-0.7474117977603505,-0.11963680375209745,9,"POLYGON ((951935.230213883 1956665.54807064, 951935.230213883 1956765.54807064, 952035.230213883 1956765.54807064, 952035.230213883 1956665.54807064, 951935.230213883 1956665.54807064))",-2.994211960011449,-2.0001035845087127,0.08654299005097839,0.3003874620854238,0.12083105004851813,-0.11856645077805855,0.042837079746543064,0.5412737252772302
23842,0.31678506780573046,-1.6037097013091193,-0.07660162267443932,-0.9921347411157313,"POLYGON ((952035.230213883 1953065.54807064, 952035.230213883 1953165.54807064, 952135.230213883 1953165.54807064, 952135.230213883 1953065.54807064, 952035.230213883 1953065.54807064))",종로구,서울특별시 종로구 무악동 66-3번지,126.957580116,37.575775896,952103.7726886498,1953071.4107363697,골든팰리스,-0.03942113650924816,-0.09008230751319381,-0.1626029831032781,-0.6186851513354021,0.6156669103940978,0.19439323561185903,0.09491380481396369,-0.039855642188828914,-0.49683805292996736,-0.8997597501650074,9,"POLYGON ((952035.230213883 1953065.54807064, 952035.230213883 1953165.54807064, 952135.230213883 1953165.54807064, 952135.230213883 1953065.54807064, 952035.230213883 1953065.54807064))",-0.12017557068785323,0.14286434500333361,0.1516180933010735,0.20228577463598862,0.2403160674122853,0.050953778794836924,0.0073362093226206695,0.7007499805239108
23846,-0.5513900244727595,-2.044897017131622,-0.7093550924968207,-1.1907296027387828,"POLYGON ((952035.230213883 1955665.54807064, 952035.230213883 1955765.54807064, 952135.230213883 1955765.54807064, 952135.230213883 1955665.54807064, 952035.230213883 1955665.54807064))",종로구,서울특별시 종로구 홍지동 72-2번지,126.957423167,37.600028485,952105.4567910538,1955762.208397532,NoData,-0.566007204645781,-0.6891868542119312,-0.4896274967127164,-0.9560984115065786,-0.4291110570314162,-0.3203054302025702,-0.3888093930627143,-0.6550902572744727,-0.6714911609909742,0.1677769133473957,6,"POLYGON ((952035.230213883 1955665.54807064, 952035.230213883 1955765.54807064, 952135.230213883 1955765.54807064, 952135.230213883 1955665.54807064, 952035.230213883 1955665.54807064))",0.19888688598687224,0.45925368249724563,0.123670619244612,0.31188036435864147,0.028369045669888904,0.024345279650877034,0.06943254790525001,0.5599252233949903
23847,-0.5906245517988032,-2.049373661126075,-0.7037438202766465,-1.1907296027387828,"POLYGON ((952035.230213883 1955765.54807064, 952035.230213883 1955865.54807064, 952135.230213883 1955865.54807064, 952135.230213883 1955765.54807064, 952035.230213883 1955765.54807064))",종로구,서울특별시 종로구 홍지동 44번지,126.95665624,37.600063505,952037.7802849466,1955766.485168022,NoData,-0.718082503491526,-0.7734076012952066,-0.5109268086836032,-0.9560984115065786,-0.4291110570314162,-0.3203054302025702,-0.4092370815316837,-0.5942685843002264,-0.7780976035736665,0.5783679377752431,6,"POLYGON ((952035.230213883 1955765.54807064, 952035.230213883 1955865.54807064, 952135.230213883 1955865.54807064, 952135.230213883 1955765.54807064, 952035.230213883 1955765.54807064))",0.22297443250418936,0.5333014097983264,0.11571384773752331,0.3139875138383065,0.03338488139357168,-0.006623266202627242,0.0692042342950667,0.5589008997938502
23849,-0.6749786167884931,-2.058562725831375,-0.7964380267784283,-1.1907296027387828,"POLYGON ((952035.230213883 1955965.54807064, 952035.230213883 1956065.54807064, 952135.230213883 1956065.54807064, 952135.230213883 1955965.54807064, 952035.230213883 1955965.54807064))",종로구,서울특별시 종로구 홍지동 63-1번지,126.956625648,37.602354064,952036.5504119616,1956020.628776761,NoData,-0.6886812790480152,-0.7568041707599182,-0.5105621231956196,-0.9982750690279756,-0.4291110570314162,-0.31367595166359474,-0.42255786927647615,-0.6036257647578028,-0.8014278888805172,-0.8997597501650074,6,"POLYGON ((952035.230213883 1955965.54807064, 952035.230213883 1956065.54807064, 952135.230213883 1956065.54807064, 952135.230213883 1955965.54807064, 952035.230213883 1955965.54807064))",-0.8508439837733617,-0.3211546781440724,0.1044343520483638,0.3110138976889152,0.05389261558820588,-0.03692815758008098,0.06302825288520095,0.5565950985894588
23855,-1.063000300586328,-2.1616072989673656,-0.5194212449726869,-1.1907296027387828,"POLYGON ((952035.230213883 1956565.54807064, 952035.230213883 1956665.54807064, 952135.230213883 1956665.54807064, 952135.230213883 1956565.54807064, 952035.230213883 1956565.54807064))",종로구,서울특별시 종로구 구기동 110-12번지,126.956970725,37.608052592,952070.6670190296,1956652.680931256,구기빌딩,-0.7338983345714835,-0.7501689708248122,-0.4968000445175,-0.8717450964637844,-0.4291110570314162,-0.29850945594942935,-0.40319063458048604,-0.3205710559161188,-0.6345515425884606,0.33201332311853465,6,"POLYGON ((952035.230213883 1956565.54807064, 952035.230213883 1956665.54807064, 952135.230213883 1956665.54807064, 952135.230213883 1956565.54807064, 952035.230213883 1956565.54807064))",-3.2811660805652574,-2.2687876882031857,0.08653863765572883,0.30300052032101515,0.11406199913418766,-0.10285189843922729,0.04709098093684641,0.5454617657285897
23856,-1.0991772281331162,-2.1616072989673656,-0.5198391444686581,-1.1907296027387828,"POLYGON ((952035.230213883 1956665.54807064, 952035.230213883 1956765.54807064, 952135.230213883 1956765.54807064, 952135.230213883 1956665.54807064, 952035.230213883 1956665.54807064))",종로구,서울특별시 종로구 구기동 85-24번지,126.957323426,37.608505939,952102.0883976028,1956702.7979511544,NoData,-0.6785875345459604,-0.6841333007729842,-0.4822882012670456,-0.8717450964637844,-0.0808517345562449,-0.26554006812098346,-0.40082786915647955,-0.5381255015547686,-0.7448519470114044,-0.8997597501650074,6,"POLYGON ((952035.230213883 1956665.54807064, 952035.230213883 1956765.54807064, 952135.230213883 1956765.54807064, 952135.230213883 1956665.54807064, 952035.230213883 1956665.54807064))",-3.1726943470690134,-2.1412669667259716,0.08392404833117896,0.30149496367353773,0.1259776849936673,-0.1256861220948028,0.04370635794367149,0.5426396773996207
23857,-1.135584022623078,-2.1616072989673656,-0.53447953197139,-1.1907296027387828,"POLYGON ((952035.230213883 1956765.54807064, 952035.230213883 1956865.54807064, 952135.230213883 1956865.54807064, 952135.230213883 1956765.54807064, 952035.230213883 1956765.54807064))",종로구,서울특별시 종로구 구기동 127-1번지,126.956731286,37.609542021,952050.4894943848,1956818.0493508363,NoData,-0.6110214931041216,-0.7124717767748961,-0.4760465611552729,-0.9139217539851815,-0.0808517345562449,-0.27113759952889194,-0.3950939770015284,-0.6597688475032608,-0.7445279152710315,-0.8997597501650074,6,"POLYGON ((952035.230213883 1956765.54807064, 952035.230213883 1956865.54807064, 952135.230213883 1956865.54807064, 952135.230213883 1956765.54807064, 952035.230213883 1956765.54807064))",-3.030672239534817,-1.9929150087587053,0.0810483014438718,0.300694923990066,0.13380518377341152,-0.14325367080630752,0.04117179321488834,0.5433288130426246
