grid_idx,pp_pop,pp_od,pp_drr,bs_ebit,geometry_grids,sigungunm,platplc,x,y,x_5179,y_5179,bdnm,bd_platarea,bd_archarea,bd_totarea,bd_totflrcnt,bd_elvtent,bs_gas,bs_elct,bd_height,bd_ilp,bd_vintage,count,geometry,gwr_const,gwr_bs_elct,gwr_bs_ebit,gwr_bd_height,gwr_bd_vintage,gwr_pp_od,gwr_pp_pop,gwr_r2
29104,-1.3768356058748679,-1.6063803114026791,-1.1938135133407946,-1.3018249993976803,"POLYGON ((954135.230213883 1945265.54807064, 954135.230213883 1945365.54807064, 954235.230213883 1945365.54807064, 954235.230213883 1945265.54807064, 954135.230213883 1945265.54807064))",서초구,서울특별시 서초구 반포동 1333-1번지,126.98108757,37.505767634,954136.6562297802,1945292.6484653205,한강반포지구내유선장,2.386129710474984,-0.7600770131660755,-0.6103809047196815,-1.0953615547573246,0.0037277877240428415,-0.31577357771807,-0.31525390452640994,0.5092396151236402,-1.4658042796457078,-1.166127156365196,10.0,"POLYGON ((954135.230213883 1945265.54807064, 954135.230213883 1945365.54807064, 954235.230213883 1945365.54807064, 954235.230213883 1945265.54807064, 954135.230213883 1945265.54807064))",-5.872772080802314,0.9906176503480426,-4.888885305548971,0.3298918578356647,0.31279938389761464,0.8321285816322939,-0.028897407170016716,0.7763792926731709
29110,1.5061311148594336,0.40095587126937743,-0.3600516275703676,-1.124059654774569,"POLYGON ((954235.230213883 1942265.54807064, 954235.230213883 1942365.54807064, 954335.230213883 1942365.54807064, 954335.230213883 1942265.54807064, 954235.230213883 1942265.54807064))",서초구,서울특별시 서초구 방배동 451-5번지,126.983325531,37.47859472,954317.9098297476,1942276.8971434685,NoData,-0.1132215787860151,-0.8062160069666228,-0.5830513967630085,-0.9933796169006082,0.0037277877240428415,-0.2954171079364036,-0.40515708188625754,-0.35859094167680206,-0.7771125119933817,-0.3863077993712938,5.0,"POLYGON ((954235.230213883 1942265.54807064, 954235.230213883 1942365.54807064, 954335.230213883 1942365.54807064, 954335.230213883 1942265.54807064, 954235.230213883 1942265.54807064))",-6.493832629362933,0.28303795151004774,-5.862237927016691,0.29346246080045807,0.07034909288360289,0.9619738768663664,-0.5758909277692996,0.7123321513163383
29111,1.6794624246581886,0.3461903042383666,-0.42896855415401225,-1.1420688511825503,"POLYGON ((954235.230213883 1942365.54807064, 954235.230213883 1942465.54807064, 954335.230213883 1942465.54807064, 954335.230213883 1942365.54807064, 954235.230213883 1942365.54807064))",서초구,서울특별시 서초구 방배동 454-27번지,126.983411611,37.479915586,954326.3246633935,1942423.3967948484,동룡빌딩,-0.07712613504895634,-0.447912336101728,-0.466307386414289,-0.21151809333244886,-0.32784726734424713,-0.2153871325513727,-0.3394666968048329,-0.5649134024847503,-0.713361692716333,-0.1696913113174319,5.0,"POLYGON ((954235.230213883 1942365.54807064, 954235.230213883 1942465.54807064, 954335.230213883 1942465.54807064, 954335.230213883 1942365.54807064, 954235.230213883 1942365.54807064))",-6.30462619087677,0.32403247097731197,-5.712570175696006,0.26637713370085253,0.05255665820402491,0.9238310967836203,-0.5771890607751559,0.7479691324854103
29112,1.8073949951127923,0.30193533150997265,-1.1938135133407946,-1.153422773214676,"POLYGON ((954235.230213883 1942465.54807064, 954235.230213883 1942565.54807064, 954335.230213883 1942565.54807064, 954335.230213883 1942465.54807064, 954235.230213883 1942465.54807064))",서초구,서울특별시 서초구 방배동 455-20번지,126.98323464,37.480622978,954311.108549647,1942501.963164744,"일신빌딩, 대왕빌딩, 경인빌딩",-0.08569474306580134,-0.5349110971394372,-0.47633828161953556,-0.4494759483314539,-0.2946897618374181,-0.15158660719013145,-0.34089898539879093,-0.5213091710768849,-0.6450802294019276,1.0108685485761144,5.0,"POLYGON ((954235.230213883 1942465.54807064, 954235.230213883 1942565.54807064, 954335.230213883 1942565.54807064, 954335.230213883 1942465.54807064, 954235.230213883 1942465.54807064))",-5.833521347483827,0.38184819384397123,-5.2895548464852,0.24143412046020987,0.036831021455786775,0.8632808698875776,-0.5496617423457429,0.7890904562922619
29113,1.8950547775329307,0.26510451138956326,-0.4421710414782582,-1.1644068608651137,"POLYGON ((954235.230213883 1942565.54807064, 954235.230213883 1942665.54807064, 954335.230213883 1942665.54807064, 954335.230213883 1942565.54807064, 954235.230213883 1942565.54807064))",서초구,서울특별시 서초구 방배동 455-5번지,126.983239813,37.48192375,954312.3579475397,1942646.2728166904,NoData,-0.10852490139347698,-0.7512213242733228,-0.5783315826292449,-1.0613675754717524,-0.39416227835790507,-0.268158363131871,-0.4043620534442549,-0.754219577865239,-0.6880917080294688,0.3935115576226084,5.0,"POLYGON ((954235.230213883 1942565.54807064, 954235.230213883 1942665.54807064, 954335.230213883 1942665.54807064, 954335.230213883 1942565.54807064, 954235.230213883 1942565.54807064))",-5.122286039017095,0.5102061765473943,-4.630527956532095,0.2068982869673349,0.02477595272976676,0.7634319909771369,-0.48457527714004855,0.833903592965236
29114,1.9494606960195295,0.24432121234335613,-0.36697495576151345,-1.18098493008477,"POLYGON ((954235.230213883 1942665.54807064, 954235.230213883 1942765.54807064, 954335.230213883 1942765.54807064, 954335.230213883 1942665.54807064, 954235.230213883 1942665.54807064))",서초구,서울특별시 서초구 방배동 437-30번지,126.983270101,37.482219239,954315.2156942702,1942679.0407000608,"연안회관, 인성빌딩",-0.09779954408448742,-0.6796197595138812,-0.5202276872757711,-0.5514578861881703,-0.2615322563305891,-0.20925453567853838,-0.38016472864524836,-0.317113745947369,-0.7028946347160099,0.5668047480656973,5.0,"POLYGON ((954235.230213883 1942665.54807064, 954235.230213883 1942765.54807064, 954335.230213883 1942765.54807064, 954335.230213883 1942665.54807064, 954235.230213883 1942665.54807064))",-3.7304278458685625,0.7037283430991907,-3.2955135188045164,0.16560509564065154,0.017007805582090092,0.5127243965720486,-0.32769929686706634,0.8697626306117846
29117,2.052697563611935,0.2679699437135106,2.084782732662416,-1.2084408466376293,"POLYGON ((954235.230213883 1942965.54807064, 954235.230213883 1943065.54807064, 954335.230213883 1943065.54807064, 954335.230213883 1942965.54807064, 954235.230213883 1942965.54807064))",서초구,서울특별시 서초구 방배동 3250번지,126.982614708,37.484820906,954258.8572455858,1942967.9969958945,"구산타워, 이수파이브",0.023850604229621767,0.5349047715117554,1.2744925728230028,1.3522049538038696,0.0037277877240428415,0.6153687029346044,0.42580231480066905,3.1135289239043793,0.48579392780288266,-2.010931459775257,10.0,"POLYGON ((954235.230213883 1942965.54807064, 954235.230213883 1943065.54807064, 954335.230213883 1943065.54807064, 954335.230213883 1942965.54807064, 954235.230213883 1942965.54807064))",-0.6253360756126721,1.025050593686921,-0.3276289879965477,0.1113603263982315,0.015507246525069102,-0.13797466870347694,0.009477643733824589,0.9041468240104787
29119,1.918005227437639,0.0520869435349323,1.9307064745822122,-1.2704749531915354,"POLYGON ((954235.230213883 1943165.54807064, 954235.230213883 1943265.54807064, 954335.230213883 1943265.54807064, 954335.230213883 1943165.54807064, 954235.230213883 1943165.54807064))",서초구,서울특별시 서초구 방배동 3160번지,126.982681161,37.486764513,954265.91713676,1943183.595390163,"(재)원불교 유문빌딩, 성산빌딩, 방배동예다인프라자빌딩",0.01958089750913256,0.32865334467921453,0.3372671418992392,0.23040363737998898,0.08330580094043241,0.012738298490142554,0.407358892344561,0.20230836672583688,0.2358344854398272,-0.8022114564347083,10.0,"POLYGON ((954235.230213883 1943165.54807064, 954235.230213883 1943265.54807064, 954335.230213883 1943265.54807064, 954335.230213883 1943165.54807064, 954235.230213883 1943165.54807064))",0.0814365722251019,1.0517582658236855,0.40132364062510617,0.10503774459870144,0.02391571745071531,-0.20668064182781343,0.12047256975157744,0.8954330902845563
29120,1.8503448130970135,-0.0776027938437798,1.8252353806632182,-1.273254442819083,"POLYGON ((954235.230213883 1943265.54807064, 954235.230213883 1943365.54807064, 954335.230213883 1943365.54807064, 954335.230213883 1943265.54807064, 954235.230213883 1943265.54807064))",서초구,서울특별시 서초구 방배동 1847번지,126.983133857,37.488256654,954306.847331037,1943348.919049053,"대신교회, 안석빌딩",-0.07931645810334748,-0.4768198818043508,-0.32015190073717686,-0.6874338033304589,0.0037277877240428415,-0.03916394063064238,-0.23021988968684315,-0.01560643852956845,-0.2918678328521898,1.0433610217841935,10.0,"POLYGON ((954235.230213883 1943265.54807064, 954235.230213883 1943365.54807064, 954335.230213883 1943365.54807064, 954335.230213883 1943265.54807064, 954235.230213883 1943265.54807064))",0.6874518176360266,1.0709612853320365,0.9335498373035507,0.09691415423179316,0.02839418303565247,-0.2378699353549,0.1557154723016879,0.8926252249946236
29125,-0.7931193162529991,-0.31263496836489696,0.04128485603932387,-1.0209999395158624,"POLYGON ((954335.230213883 1941465.54807064, 954335.230213883 1941565.54807064, 954435.230213883 1941565.54807064, 954435.230213883 1941465.54807064, 954335.230213883 1941465.54807064))",서초구,서울특별시 서초구 방배동 3032번지,126.9837567,37.471651009,954351.8090089706,1941506.3294563803,NoData,-0.09398600261191373,-0.7974852312802267,-0.5738889709500727,-1.0953615547573246,-0.39416227835790507,-0.31577357771807,-0.4132620411004479,-0.42240201202977573,-1.1653082553063352,-1.4260669420298302,10.0,"POLYGON ((954335.230213883 1941465.54807064, 954335.230213883 1941565.54807064, 954435.230213883 1941565.54807064, 954435.230213883 1941465.54807064, 954335.230213883 1941465.54807064))",-3.4279821109691593,0.11549633161294397,-2.8140899689340784,0.3732845176900619,0.11941041655617315,0.6456639761509105,-0.27428429462388026,0.6771025777535915
