grid_idx,pp_pop,pp_od,pp_drr,bs_ebit,geometry_grids,sigungunm,platplc,x,y,x_5179,y_5179,bdnm,bd_platarea,bd_archarea,bd_totarea,bd_totflrcnt,bd_elvtent,bs_gas,bs_elct,bd_height,bd_ilp,bd_vintage,count,geometry,gwr_const,gwr_bs_ebit,gwr_bs_elct,gwr_bd_height,gwr_bd_vintage,gwr_pp_od,gwr_pp_pop,gwr_r2
10718,-0.969278456393155,-0.5987614716790629,-0.8181705834616382,-0.5067001173977064,"POLYGON ((945535.230213883 1946565.54807064, 945535.230213883 1946665.54807064, 945635.230213883 1946665.54807064, 945635.230213883 1946565.54807064, 945535.230213883 1946565.54807064))",영등포구,서울특별시 영등포구 문래동5가 23-5번지,126.883850752,37.517448099,945550.9234865848,1946640.363489287,"문래동 빅토리 테크노 타워, 명지 페르마타",0.09794089694856169,0.09509064548473069,0.11459195709257576,0.14002220373244464,0.008230214281033583,0.1897456918526127,-0.11429301971273681,1.1368801434802138,-0.6094392685062591,-0.15061173330953345,4,"POLYGON ((945535.230213883 1946565.54807064, 945535.230213883 1946665.54807064, 945635.230213883 1946665.54807064, 945635.230213883 1946565.54807064, 945535.230213883 1946565.54807064))",6.3717189688334726,13.276122171083815,0.0008098004410041148,0.002819476991120484,0.05267793623623457,0.11116319149713857,0.044769632489316,0.49604940134150355
10719,-1.1429091145936319,-0.6226791029466135,-0.3526971717081119,-0.506922790522901,"POLYGON ((945535.230213883 1946665.54807064, 945535.230213883 1946765.54807064, 945635.230213883 1946765.54807064, 945635.230213883 1946665.54807064, 945535.230213883 1946665.54807064))",영등포구,서울특별시 영등포구 문래동5가 23-2번지,126.883934822,37.517783729,945558.5966650792,1946677.551186887,정민빌딩,-0.2342000101382349,-0.20650833789521536,-0.39422439256220343,-0.836116191959721,-0.09652358556703504,-0.28325991247523946,-0.34985707452776327,-0.5344770365062425,-0.5971896397379863,-1.2493131464107554,4,"POLYGON ((945535.230213883 1946665.54807064, 945535.230213883 1946765.54807064, 945635.230213883 1946765.54807064, 945635.230213883 1946665.54807064, 945535.230213883 1946665.54807064))",4.0601420357644065,8.610125559037199,-0.0032443633372478313,0.010537518594655291,0.05101491320084604,0.11288697919492194,0.08911356001233772,0.4912036956303274
10739,-1.3149105171972306,-0.5855532488781667,-0.9156653558480354,-0.5063788493248467,"POLYGON ((945635.230213883 1946365.54807064, 945635.230213883 1946465.54807064, 945735.230213883 1946465.54807064, 945735.230213883 1946365.54807064, 945635.230213883 1946365.54807064))",영등포구,서울특별시 영등포구 문래동5가 20-20번지,126.885533866,37.515291154,945698.0987175386,1946400.0892461843,NoData,0.07065789386643193,0.21089456181611996,-0.14959089607836099,1.9993334336222839,-0.16635945213241413,0.12465079883586122,-0.250409939775204,-0.28544960567731487,-0.634091886027384,-0.7720994013263861,4,"POLYGON ((945635.230213883 1946365.54807064, 945635.230213883 1946465.54807064, 945735.230213883 1946465.54807064, 945735.230213883 1946365.54807064, 945635.230213883 1946365.54807064))",12.016845144839698,24.63336443825326,0.014648110753018084,-0.02121420330870823,0.060145735110527995,0.08364876999135501,-0.0423586093904446,0.49227290305124505
10745,-0.4408328219863938,-0.632688524836101,-0.4136504272069495,-0.4992503913956587,"POLYGON ((945635.230213883 1946965.54807064, 945635.230213883 1947065.54807064, 945735.230213883 1947065.54807064, 945735.230213883 1946965.54807064, 945635.230213883 1946965.54807064))",영등포구,서울특별시 영등포구 문래동6가 34-1번지,126.885622558,37.520633962,945709.8077879852,1946992.793989919,문래크라운팰리스,-0.16635260418166542,-0.41941877095742663,-0.36353435081885066,-0.32480560374001516,-0.09652358556703504,-0.0647712900272958,-0.2587380249515267,0.6225427190373904,-0.45088421444932,-1.5489589863474524,4,"POLYGON ((945635.230213883 1946965.54807064, 945635.230213883 1947065.54807064, 945735.230213883 1947065.54807064, 945735.230213883 1946965.54807064, 945635.230213883 1946965.54807064))",-3.1190398448921783,-5.912302183205622,-0.01812823021474282,0.03893564764354029,0.04739280074545549,0.10886696351343059,0.2415206852544723,0.4431334394057205
10764,-1.257765736351073,-0.3628511949596113,-0.8709646173934491,-0.5052028832128959,"POLYGON ((945735.230213883 1946265.54807064, 945735.230213883 1946365.54807064, 945835.230213883 1946365.54807064, 945835.230213883 1946265.54807064, 945735.230213883 1946265.54807064))",영등포구,서울특별시 영등포구 문래동5가 5-4번지,126.88676621,37.51468377,945806.5658869086,1946331.992710332,NoData,-0.29454882673838056,-0.294979717089271,-0.4248200978595153,-0.929081753454213,-0.30603118526317225,-0.28325991247523946,-0.34985707452776327,-0.5919449051590719,-0.5478460646995917,0.049152159981597845,3,"POLYGON ((945735.230213883 1946265.54807064, 945735.230213883 1946365.54807064, 945835.230213883 1946365.54807064, 945835.230213883 1946265.54807064, 945735.230213883 1946265.54807064))",14.706187771975339,30.040642377086357,0.024730067541186798,-0.031503461823315836,0.06255844571659672,0.06896305413035993,-0.08306752684836471,0.47958980348068225
10765,-1.0646937146616915,-0.41046535575475673,-0.3626100862289236,-0.505302160333455,"POLYGON ((945735.230213883 1946365.54807064, 945735.230213883 1946465.54807064, 945835.230213883 1946465.54807064, 945835.230213883 1946365.54807064, 945735.230213883 1946365.54807064))",영등포구,서울특별시 영등포구 문래동5가 9번지,126.886057714,37.515048068,945744.216942706,1946372.8179437064,"벽산디지털밸리, 유니온빌딩별관",0.44537553712953354,0.48431817726921567,0.5826096655895484,0.0005738614907067018,-0.09652358556703504,-0.27165044111789527,0.24998971988822585,0.6790527898793391,-0.5806267614034203,-0.35037562660066474,3,"POLYGON ((945735.230213883 1946365.54807064, 945735.230213883 1946465.54807064, 945835.230213883 1946465.54807064, 945835.230213883 1946365.54807064, 945735.230213883 1946365.54807064))",12.619538437273661,25.83350061778459,0.01850358149923747,-0.024300076714921823,0.060644562833382355,0.07869485983964883,-0.04632220814244495,0.48535120736427595
10766,-1.0737580854000677,-0.45792936719103444,-0.3271439615909348,-0.5055858685704,"POLYGON ((945735.230213883 1946465.54807064, 945735.230213883 1946565.54807064, 945835.230213883 1946565.54807064, 945835.230213883 1946465.54807064, 945735.230213883 1946465.54807064))",영등포구,서울특별시 영등포구 문래동5가 10번지,126.886900373,37.516108641,945819.4525821004,1946489.9971661423,하우스디 비즈,-0.4493925787029522,1.0224061728536813,0.9988160759063686,-0.2318400422455232,0.32249161382523944,-0.24891361930675107,0.541569430411512,0.9853565297989203,-0.5825245912125894,-1.3491950930563212,3,"POLYGON ((945735.230213883 1946465.54807064, 945735.230213883 1946565.54807064, 945835.230213883 1946565.54807064, 945835.230213883 1946465.54807064, 945735.230213883 1946465.54807064))",9.775970438257504,20.126424421105924,0.010058497861646032,-0.008262004672072455,0.05692254649484841,0.1032758889553736,-0.013665967851273582,0.48782560562604604
10768,-1.066889224778282,-0.5576683481196363,-0.29415770325019225,-0.5052354470668886,"POLYGON ((945735.230213883 1946665.54807064, 945735.230213883 1946765.54807064, 945835.230213883 1946765.54807064, 945835.230213883 1946665.54807064, 945735.230213883 1946665.54807064))",영등포구,서울특별시 영등포구 문래동6가 19번지,126.886983241,37.517942848,945828.1018041872,1946693.4448426685,문래 SK V1 center,1.1480823261408468,1.3360322998926206,1.8198250427473743,0.0005738614907067018,0.9510144129136512,-0.14632257655168912,1.173758151711197,1.7450817533893255,-0.5488812445955021,-1.648840932993018,9,"POLYGON ((945735.230213883 1946665.54807064, 945735.230213883 1946765.54807064, 945835.230213883 1946765.54807064, 945835.230213883 1946665.54807064, 945735.230213883 1946665.54807064))",4.396362038840852,9.290089273930155,-0.001935248715717506,0.014538115790423238,0.05167796422237586,0.11839195295058509,0.07556861552752221,0.47687640575136186
10769,-1.0323181109394373,-0.6136187498839879,0.1954289444814777,-0.5037634710687734,"POLYGON ((945735.230213883 1946765.54807064, 945735.230213883 1946865.54807064, 945835.230213883 1946865.54807064, 945835.230213883 1946765.54807064, 945735.230213883 1946765.54807064))",영등포구,서울특별시 영등포구 문래동6가 24-1번지,126.886286204,37.519045586,945767.3025974692,1946816.189329742,에이스하이테크시티2,1.254100517465427,1.251899172431108,1.9231751115968947,-0.13887448075103126,0.9510144129136512,-0.20377853169672924,1.134769982255164,1.2240397442703383,-0.5920137402584345,-1.1494311997651898,9,"POLYGON ((945735.230213883 1946765.54807064, 945735.230213883 1946865.54807064, 945835.230213883 1946865.54807064, 945835.230213883 1946765.54807064, 945735.230213883 1946765.54807064))",1.869718556644333,4.175114740390701,-0.009027331966448374,0.02142564585670546,0.051321641987470114,0.115387476929873,0.13132093842141265,0.47021631008261416
10771,-0.5300723828369476,-0.60901042949033,-0.3191323625659367,-0.49810817039948485,"POLYGON ((945735.230213883 1946965.54807064, 945735.230213883 1947065.54807064, 945835.230213883 1947065.54807064, 945835.230213883 1946965.54807064, 945735.230213883 1946965.54807064))",영등포구,서울특별시 영등포구 문래동6가 29-1번지,126.886413259,37.521231739,945780.1123009388,1947058.6581363152,문래동 대우 이안,0.6636798084526084,0.27892083093809517,0.3720499693243114,0.7442983534466424,0.1129840141291022,0.6751707306557634,-0.17160048031533803,0.3317553036540736,-0.4182760477281432,-0.9496673064740586,9,"POLYGON ((945735.230213883 1946965.54807064, 945735.230213883 1947065.54807064, 945835.230213883 1947065.54807064, 945835.230213883 1946965.54807064, 945735.230213883 1946965.54807064))",-3.489600723985367,-6.659214822867068,-0.020908413901189953,0.04751222892751869,0.046903933505911065,0.1121013051430042,0.24481906699291803,0.42612474395312566
