grid_idx,pp_pop,pp_od,pp_drr,bs_ebit,geometry_grids,sigungunm,platplc,x,y,x_5179,y_5179,bdnm,bd_platarea,bd_archarea,bd_totarea,bd_totflrcnt,bd_elvtent,bs_gas,bs_elct,bd_height,bd_ilp,bd_vintage,count,geometry,gwr_const,gwr_bs_ebit,gwr_bs_elct,gwr_bd_height,gwr_bd_totarea,gwr_pp_od,gwr_pp_pop,gwr_r2
23789,-1.2282971591042273,-2.115023548278653,-0.9157937665488024,-1.275819400808409,"POLYGON ((951835.230213883 1956865.54807064, 951835.230213883 1956965.54807064, 951935.230213883 1956965.54807064, 951935.230213883 1956865.54807064, 951835.230213883 1956865.54807064))",종로구,서울특별시 종로구 구기동 235-2번지,126.955273762,37.610617454,951922.5380847312,1956938.1097724235,NoData,-0.5396520116655303,-0.6694951688950992,-0.49408793693477954,-0.9972408553858056,-0.42859275888834386,-0.32956360847832517,-0.39902115512441,-0.6365925354822579,-0.701885282222512,-1.1844025548207113,9.0,"POLYGON ((951835.230213883 1956865.54807064, 951835.230213883 1956965.54807064, 951935.230213883 1956965.54807064, 951935.230213883 1956865.54807064, 951835.230213883 1956865.54807064))",-1.1199993093821345,-0.33464443061854343,0.02266993503742984,0.2811294762341035,0.39324625979059485,-0.20459637609440878,0.047845048841219866,0.5391982141116687
23812,-0.5985636050076091,-2.038196426161063,-0.7295930632162165,-1.275819400808409,"POLYGON ((951935.230213883 1955865.54807064, 951935.230213883 1955965.54807064, 952035.230213883 1955965.54807064, 952035.230213883 1955865.54807064, 951935.230213883 1955865.54807064))",종로구,서울특별시 종로구 홍지동 60-2번지,126.956019724,37.601439217,951982.4773036308,1955919.439982799,NoData,-0.8022271075839331,-0.5280582230925998,-0.47067220830646395,-0.9531042282362636,-0.42859275888834386,-0.23452346193586449,-0.3738169805485091,-0.5948587425628102,-0.673404016065598,-0.11997576034965757,9.0,"POLYGON ((951935.230213883 1955865.54807064, 951935.230213883 1955965.54807064, 952035.230213883 1955965.54807064, 952035.230213883 1955865.54807064, 951935.230213883 1955865.54807064))",-0.15044435761077404,0.08335212397357103,0.0024433152383351807,0.29820199975392686,0.37187678938082486,0.02540458262566734,-0.00177233019257133,0.5156359007755998
23820,-1.1049900782218525,-2.1147025942383815,-0.4958865126589532,-1.275819400808409,"POLYGON ((951935.230213883 1956665.54807064, 951935.230213883 1956765.54807064, 952035.230213883 1956765.54807064, 952035.230213883 1956665.54807064, 951935.230213883 1956665.54807064))",종로구,서울특별시 종로구 구기동 253-1번지,126.955630659,37.608921686,951952.9470918854,1956749.788380358,"장모님해장국, 구기아트프라자",-0.6702650547911799,-0.7091546196446251,-0.4934701034656045,-0.7324210924885536,-0.42859275888834386,-0.19360548321165347,-0.36843028689007873,-0.5670362139498453,-0.7003675730282093,-0.1609152524446981,9.0,"POLYGON ((951935.230213883 1956665.54807064, 951935.230213883 1956765.54807064, 952035.230213883 1956765.54807064, 952035.230213883 1956665.54807064, 951935.230213883 1956665.54807064))",-1.0531500760829489,-0.31294143657640683,0.021041226330870674,0.28326587004944986,0.38935036343616325,-0.18401110425247638,0.044181034981796166,0.5347252922568938
23842,0.34436629725485995,-1.5835962955095773,-0.015823199497162783,-0.9716055546150478,"POLYGON ((952035.230213883 1953065.54807064, 952035.230213883 1953165.54807064, 952135.230213883 1953165.54807064, 952135.230213883 1953065.54807064, 952035.230213883 1953065.54807064))",종로구,서울특별시 종로구 무악동 66-3번지,126.957580116,37.575775896,952103.7726886498,1953071.4107363697,골든팰리스,-0.029557731291936014,-0.07257706838418686,-0.15580173308258646,-0.6000112110399276,0.5960805707140922,0.1548655255600301,0.12269287970462711,-0.04072671435458942,-0.47371223611734814,-0.9387656022504681,9.0,"POLYGON ((952035.230213883 1953065.54807064, 952035.230213883 1953165.54807064, 952135.230213883 1953165.54807064, 952135.230213883 1953065.54807064, 952035.230213883 1953065.54807064))",-0.22042619129656787,0.03280162817742043,0.10593699512232507,0.2870331551269094,0.09317670569409298,0.09701251586739242,-0.22000860259140365,0.586549794908391
23846,-0.5486152974191973,-2.0379596298065277,-0.6594131372249937,-1.275819400808409,"POLYGON ((952035.230213883 1955665.54807064, 952035.230213883 1955765.54807064, 952135.230213883 1955765.54807064, 952135.230213883 1955665.54807064, 952035.230213883 1955665.54807064))",종로구,서울특별시 종로구 홍지동 72-2번지,126.957423167,37.600028485,952105.4567910538,1955762.208397532,NoData,-0.5508937588913947,-0.668589456646513,-0.48262924413939967,-0.9531042282362636,-0.42859275888834386,-0.32956360847832517,-0.39672543331454974,-0.6505037997887404,-0.6204456526899301,0.1256611922205856,9.0,"POLYGON ((952035.230213883 1955665.54807064, 952035.230213883 1955765.54807064, 952135.230213883 1955765.54807064, 952135.230213883 1955665.54807064, 952035.230213883 1955665.54807064))",0.1333932191681781,0.13938502667618952,-0.001173888998516405,0.30134714503766136,0.36129244809489436,0.13571888052165743,-0.022239370442316615,0.5243071098272707
23847,-0.5879074375920209,-2.042696736319459,-0.6537057669599684,-1.275819400808409,"POLYGON ((952035.230213883 1955765.54807064, 952035.230213883 1955865.54807064, 952135.230213883 1955865.54807064, 952135.230213883 1955765.54807064, 952035.230213883 1955765.54807064))",종로구,서울특별시 종로구 홍지동 44번지,126.95665624,37.600063505,952037.7802849466,1955766.485168022,NoData,-0.7014528735235064,-0.7523755151682521,-0.5039157252102995,-0.9531042282362636,-0.42859275888834386,-0.32956360847832517,-0.40076920473780037,-0.5902216544606494,-0.7232623776826901,0.5350561131709909,9.0,"POLYGON ((952035.230213883 1955765.54807064, 952035.230213883 1955865.54807064, 952135.230213883 1955865.54807064, 952135.230213883 1955765.54807064, 952035.230213883 1955765.54807064))",0.04241055452816306,0.13130411077327517,0.0012836225332045381,0.30074486583021526,0.363880773787498,0.09366816572094244,-0.013991979665803504,0.5203793737839164
23849,-0.6722750971395233,-2.0523913538444467,-0.7479874444780051,-1.275819400808409,"POLYGON ((952035.230213883 1955965.54807064, 952035.230213883 1956065.54807064, 952135.230213883 1956065.54807064, 952135.230213883 1955965.54807064, 952035.230213883 1955965.54807064))",종로구,서울특별시 종로구 홍지동 63-1번지,126.956625648,37.602354064,952036.5504119616,1956020.628776761,NoData,-0.6723447780279648,-0.7358577799228525,-0.5035512594121833,-0.9972408553858056,-0.42859275888834386,-0.31956339454782284,-0.4146635733386542,-0.5994958306649711,-0.74896655893088,-0.9387656022504681,9.0,"POLYGON ((952035.230213883 1955965.54807064, 952035.230213883 1956065.54807064, 952135.230213883 1956065.54807064, 952135.230213883 1955965.54807064, 952035.230213883 1955965.54807064))",-0.35215178765485483,-0.011391381859761657,0.006607351526390286,0.29609683242945234,0.37294043687918127,-0.017257919078670275,0.008324890670342292,0.5166641860674389
23855,-1.0615332308655365,-2.1593950786474623,-0.466226503045369,-1.275819400808409,"POLYGON ((952035.230213883 1956565.54807064, 952035.230213883 1956665.54807064, 952135.230213883 1956665.54807064, 952135.230213883 1956565.54807064, 952035.230213883 1956565.54807064))",종로구,서울특별시 종로구 구기동 110-12번지,126.956970725,37.608052592,952070.6670190296,1956652.680931256,구기빌딩,-0.717111021445246,-0.729256826246717,-0.48979747113590266,-0.8648309739371797,-0.42859275888834386,-0.3096179697836859,-0.39012710870091527,-0.31895200048424005,-0.5787893790590695,0.28941916060074774,6.0,"POLYGON ((952035.230213883 1956565.54807064, 952035.230213883 1956665.54807064, 952135.230213883 1956665.54807064, 952135.230213883 1956565.54807064, 952035.230213883 1956565.54807064))",-1.0090726699326233,-0.30084018835405973,0.020546408291804916,0.284463419337113,0.3861643554547486,-0.16901543358023646,0.04175300665024586,0.5330523328935937
23856,-1.0974569604651492,-2.1593950786474623,-0.46665155944318554,-1.275819400808409,"POLYGON ((952035.230213883 1956665.54807064, 952035.230213883 1956765.54807064, 952135.230213883 1956765.54807064, 952135.230213883 1956665.54807064, 952035.230213883 1956665.54807064))",종로구,서울특별시 종로구 구기동 85-24번지,126.957323426,37.608505939,952102.0883976028,1956702.7979511544,NoData,-0.6623516677261162,-0.6635619861141075,-0.4752943699523107,-0.8648309739371797,-0.0870349823541985,-0.26983627072713795,-0.39374324566938806,-0.5345765972347194,-0.682897771451236,-0.9387656022504681,6.0,"POLYGON ((952035.230213883 1956665.54807064, 952035.230213883 1956765.54807064, 952135.230213883 1956765.54807064, 952135.230213883 1956665.54807064, 952035.230213883 1956665.54807064))",-1.045779486451186,-0.3134129805294082,0.021975907201015575,0.28317581941833514,0.38755190515186433,-0.17989076161184792,0.04396348538446229,0.5363952946717854
23857,-1.1336170245344472,-2.1593950786474623,-0.48154267664850003,-1.275819400808409,"POLYGON ((952035.230213883 1956765.54807064, 952035.230213883 1956865.54807064, 952135.230213883 1956865.54807064, 952135.230213883 1956765.54807064, 952035.230213883 1956765.54807064))",종로구,서울특별시 종로구 구기동 127-1번지,126.956731286,37.609542021,952050.4894943848,1956818.0493508363,NoData,-0.5954592568224998,-0.6917541987332306,-0.4690564898615255,-0.9089676010867216,-0.0870349823541985,-0.28589664288517663,-0.39033717474887636,-0.6551408878909013,-0.6945873614158651,-0.9387656022504681,6.0,"POLYGON ((952035.230213883 1956765.54807064, 952035.230213883 1956865.54807064, 952135.230213883 1956865.54807064, 952135.230213883 1956765.54807064, 952035.230213883 1956765.54807064))",-1.078501880960193,-0.3249369276661489,0.023234857967753667,0.28195916824948164,0.3889635464408716,-0.18938333539920654,0.04584657970489538,0.5395200211654556
