,grid_idx,bd_diff,bs_diff,pp_diff,sum_diff,phase,geom_dist,geom_feature_dist,pw_dist,final_cal
0,31364,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
1,31365,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2,31366,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
3,31367,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
4,31368,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
5,35983,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
6,36119,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
7,31268,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
8,31405,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
9,31408,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,31409,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
11,31410,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
12,36024,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
13,36025,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
14,36026,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
15,36027,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
16,31445,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
17,31318,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
18,31319,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
19,31320,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
20,31321,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
21,31446,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
22,36068,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
23,36069,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
24,36070,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
25,36071,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
26,36072,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
15,31476,0.7389228226111705,0.4931326746212885,0.49433480060728663,1.8336560876988708,1,0.4472135954999579,0.8200359318901982,13.366276607822915,15.065679758184459
5,36073,0.5945004511974282,0.3250318799521854,0.1720264534142948,2.9151063707777936,1,0.4242640687119285,1.2367748895942503,13.366276607822915,15.065679758184459
11,31444,0.753994893448682,0.6726537281817458,0.46829921818808073,3.212657175600232,1,0.41231056256176607,1.324612487389826,13.366276607822915,15.065679758184459
14,36123,0.8457975137993583,0.4656983458543607,0.1852166258349859,2.415301629270187,2,0.565685424949238,1.3663009285342926,12.8803327927817,20.30409144179208
13,36122,0.8688804743966791,0.42963370614090896,0.09881165983625705,3.3534953134670196,2,0.5,1.6767476567335098,12.8803327927817,20.30409144179208
12,36121,1.025517680776316,0.742477008964112,0.07487986828957414,3.7701069171582984,2,0.4472135954999579,1.6860430698416247,12.8803327927817,20.30409144179208
13,36174,0.8660094292879528,0.5242448188479569,0.0899719754134276,2.9808507124339996,3,0.58309518948453,1.7381197109917992,12.39768685883767,23.51566759307347
3,36116,0.7175892140308738,0.4794237120800885,0.4569504180344928,3.766866344904757,3,0.5,1.8834331724523785,12.39768685883767,23.51566759307347
12,36173,1.009037247491921,0.47008037444792244,0.06169218861465693,3.8416336441185854,3,0.5385164807134504,2.068783030221128,12.39768685883767,23.51566759307347
2,36227,0.7071217431383701,0.5790524679108321,0.09166818336859951,3.659211035267012,4,0.6324555320336759,2.314288262133296,12.169864939499167,22.598461693905794
5,35984,1.286531558850163,0.4244528240658142,0.27566116428653925,3.8294098616554137,4,0.41231056256176607,1.5789061343387185,12.169864939499167,22.598461693905794
4,31369,1.1773062506967098,1.0439598704889406,0.19109924241218346,4.068691884486069,4,0.41231056256176607,1.6775646397829431,12.169864939499167,22.598461693905794
21,31323,0.8408243056588924,0.4137893042796726,0.1319289148403617,2.90128049149027,5,0.5385164807134504,1.5623873598399298,11.747078084833229,21.501912250118796
5,36117,0.8475806014609224,0.47563725131598933,0.3683622941736252,4.130558891203011,5,0.4472135954999579,1.847242093159218,11.747078084833229,21.501912250118796
17,36171,0.6638509777237518,0.3716985604546221,0.3939056628319885,4.163172007377582,5,0.5,2.081586003688791,11.747078084833229,21.501912250118796
22,31324,0.8198155818322391,0.47510841018002364,0.12951306788433967,2.3940779493223516,6,0.6324555320336759,1.5141478431687596,11.767853405271504,24.204493020006847
14,36028,1.3554272903574849,0.8564338307460715,0.28516809532682924,4.145098477636646,6,0.4472135954999579,1.8537443938852862,11.767853405271504,24.204493020006847
10,31272,1.7324784935878084,0.9766682120649872,0.15280947932218308,4.177873333096171,6,0.6708203932499369,2.802602632255998,11.767853405271504,24.204493020006847
10,31273,0.7064141209110848,0.29859864406538134,0.13434029564293384,2.60895030063112,7,0.7615773105863908,1.986917353408204,11.51872254983724,25.075149997705093
5,35985,1.0404809852973675,0.5425372764458836,0.26212603744984436,4.224084756817783,7,0.5099019513592785,2.153869060208371,11.51872254983724,25.075149997705093
