,ADM_SECT_C,geometry,idx
12614,11560,"POLYGON ((945535.230213883 1946965.54807064, 945535.230213883 1947065.54807064, 945635.230213883 1947065.54807064, 945635.230213883 1946965.54807064, 945535.230213883 1946965.54807064))",10722
12615,11560,"POLYGON ((945535.230213883 1947065.54807064, 945535.230213883 1947165.54807064, 945635.230213883 1947165.54807064, 945635.230213883 1947065.54807064, 945535.230213883 1947065.54807064))",10723
12616,11560,"POLYGON ((945535.230213883 1947165.54807064, 945535.230213883 1947265.54807064, 945635.230213883 1947265.54807064, 945635.230213883 1947165.54807064, 945535.230213883 1947165.54807064))",10724
12617,11560,"POLYGON ((945535.230213883 1947265.54807064, 945535.230213883 1947365.54807064, 945635.230213883 1947365.54807064, 945635.230213883 1947265.54807064, 945535.230213883 1947265.54807064))",10725
12618,11560,"POLYGON ((945535.230213883 1947365.54807064, 945535.230213883 1947465.54807064, 945635.230213883 1947465.54807064, 945635.230213883 1947365.54807064, 945535.230213883 1947365.54807064))",10726
12619,11560,"POLYGON ((945535.230213883 1947465.54807064, 945535.230213883 1947565.54807064, 945635.230213883 1947565.54807064, 945635.230213883 1947465.54807064, 945535.230213883 1947465.54807064))",10727
12620,11560,"POLYGON ((945535.230213883 1947565.54807064, 945535.230213883 1947665.54807064, 945635.230213883 1947665.54807064, 945635.230213883 1947565.54807064, 945535.230213883 1947565.54807064))",10728
12627,11560,"POLYGON ((945535.230213883 1949765.54807064, 945535.230213883 1949865.54807064, 945635.230213883 1949865.54807064, 945635.230213883 1949765.54807064, 945535.230213883 1949765.54807064))",10729
12628,11560,"POLYGON ((945535.230213883 1949865.54807064, 945535.230213883 1949965.54807064, 945635.230213883 1949965.54807064, 945635.230213883 1949865.54807064, 945535.230213883 1949865.54807064))",10730
12629,11560,"POLYGON ((945535.230213883 1949965.54807064, 945535.230213883 1950065.54807064, 945635.230213883 1950065.54807064, 945635.230213883 1949965.54807064, 945535.230213883 1949965.54807064))",10731
12630,11560,"POLYGON ((945535.230213883 1950065.54807064, 945535.230213883 1950165.54807064, 945635.230213883 1950165.54807064, 945635.230213883 1950065.54807064, 945535.230213883 1950065.54807064))",10732
12631,11560,"POLYGON ((945535.230213883 1950165.54807064, 945535.230213883 1950265.54807064, 945635.230213883 1950265.54807064, 945635.230213883 1950165.54807064, 945535.230213883 1950165.54807064))",10733
12632,11560,"POLYGON ((945535.230213883 1950265.54807064, 945535.230213883 1950365.54807064, 945635.230213883 1950365.54807064, 945635.230213883 1950265.54807064, 945535.230213883 1950265.54807064))",10734
12633,11560,"POLYGON ((945535.230213883 1950365.54807064, 945535.230213883 1950465.54807064, 945635.230213883 1950465.54807064, 945635.230213883 1950365.54807064, 945535.230213883 1950365.54807064))",10735
12634,11560,"POLYGON ((945535.230213883 1950465.54807064, 945535.230213883 1950565.54807064, 945635.230213883 1950565.54807064, 945635.230213883 1950465.54807064, 945535.230213883 1950465.54807064))",10736
12635,11560,"POLYGON ((945535.230213883 1950565.54807064, 945535.230213883 1950665.54807064, 945635.230213883 1950665.54807064, 945635.230213883 1950565.54807064, 945535.230213883 1950565.54807064))",10737
12639,11560,"POLYGON ((945635.230213883 1946265.54807064, 945635.230213883 1946365.54807064, 945735.230213883 1946365.54807064, 945735.230213883 1946265.54807064, 945635.230213883 1946265.54807064))",10738
12640,11560,"POLYGON ((945635.230213883 1946365.54807064, 945635.230213883 1946465.54807064, 945735.230213883 1946465.54807064, 945735.230213883 1946365.54807064, 945635.230213883 1946365.54807064))",10739
12641,11560,"POLYGON ((945635.230213883 1946465.54807064, 945635.230213883 1946565.54807064, 945735.230213883 1946565.54807064, 945735.230213883 1946465.54807064, 945635.230213883 1946465.54807064))",10740
12642,11560,"POLYGON ((945635.230213883 1946565.54807064, 945635.230213883 1946665.54807064, 945735.230213883 1946665.54807064, 945735.230213883 1946565.54807064, 945635.230213883 1946565.54807064))",10741
12643,11560,"POLYGON ((945635.230213883 1946665.54807064, 945635.230213883 1946765.54807064, 945735.230213883 1946765.54807064, 945735.230213883 1946665.54807064, 945635.230213883 1946665.54807064))",10742
12644,11560,"POLYGON ((945635.230213883 1946765.54807064, 945635.230213883 1946865.54807064, 945735.230213883 1946865.54807064, 945735.230213883 1946765.54807064, 945635.230213883 1946765.54807064))",10743
12645,11560,"POLYGON ((945635.230213883 1946865.54807064, 945635.230213883 1946965.54807064, 945735.230213883 1946965.54807064, 945735.230213883 1946865.54807064, 945635.230213883 1946865.54807064))",10744
12646,11560,"POLYGON ((945635.230213883 1946965.54807064, 945635.230213883 1947065.54807064, 945735.230213883 1947065.54807064, 945735.230213883 1946965.54807064, 945635.230213883 1946965.54807064))",10745
12647,11560,"POLYGON ((945635.230213883 1947065.54807064, 945635.230213883 1947165.54807064, 945735.230213883 1947165.54807064, 945735.230213883 1947065.54807064, 945635.230213883 1947065.54807064))",10746
12648,11560,"POLYGON ((945635.230213883 1947165.54807064, 945635.230213883 1947265.54807064, 945735.230213883 1947265.54807064, 945735.230213883 1947165.54807064, 945635.230213883 1947165.54807064))",10747
12649,11560,"POLYGON ((945635.230213883 1947265.54807064, 945635.230213883 1947365.54807064, 945735.230213883 1947365.54807064, 945735.230213883 1947265.54807064, 945635.230213883 1947265.54807064))",10748
12650,11560,"POLYGON ((945635.230213883 1947365.54807064, 945635.230213883 1947465.54807064, 945735.230213883 1947465.54807064, 945735.230213883 1947365.54807064, 945635.230213883 1947365.54807064))",10749
12651,11560,"POLYGON ((945635.230213883 1947465.54807064, 945635.230213883 1947565.54807064, 945735.230213883 1947565.54807064, 945735.230213883 1947465.54807064, 945635.230213883 1947465.54807064))",10750
12652,11560,"POLYGON ((945635.230213883 1947565.54807064, 945635.230213883 1947665.54807064, 945735.230213883 1947665.54807064, 945735.230213883 1947565.54807064, 945635.230213883 1947565.54807064))",10751
12653,11560,"POLYGON ((945635.230213883 1947665.54807064, 945635.230213883 1947765.54807064, 945735.230213883 1947765.54807064, 945735.230213883 1947665.54807064, 945635.230213883 1947665.54807064))",10752
12654,11560,"POLYGON ((945635.230213883 1947765.54807064, 945635.230213883 1947865.54807064, 945735.230213883 1947865.54807064, 945735.230213883 1947765.54807064, 945635.230213883 1947765.54807064))",10753
12660,11560,"POLYGON ((945635.230213883 1949565.54807064, 945635.230213883 1949665.54807064, 945735.230213883 1949665.54807064, 945735.230213883 1949565.54807064, 945635.230213883 1949565.54807064))",10754
12661,11560,"POLYGON ((945635.230213883 1949665.54807064, 945635.230213883 1949765.54807064, 945735.230213883 1949765.54807064, 945735.230213883 1949665.54807064, 945635.230213883 1949665.54807064))",10755
12662,11560,"POLYGON ((945635.230213883 1949765.54807064, 945635.230213883 1949865.54807064, 945735.230213883 1949865.54807064, 945735.230213883 1949765.54807064, 945635.230213883 1949765.54807064))",10756
12663,11560,"POLYGON ((945635.230213883 1949865.54807064, 945635.230213883 1949965.54807064, 945735.230213883 1949965.54807064, 945735.230213883 1949865.54807064, 945635.230213883 1949865.54807064))",10757
12664,11560,"POLYGON ((945635.230213883 1949965.54807064, 945635.230213883 1950065.54807064, 945735.230213883 1950065.54807064, 945735.230213883 1949965.54807064, 945635.230213883 1949965.54807064))",10758
12665,11560,"POLYGON ((945635.230213883 1950065.54807064, 945635.230213883 1950165.54807064, 945735.230213883 1950165.54807064, 945735.230213883 1950065.54807064, 945635.230213883 1950065.54807064))",10759
12666,11560,"POLYGON ((945635.230213883 1950165.54807064, 945635.230213883 1950265.54807064, 945735.230213883 1950265.54807064, 945735.230213883 1950165.54807064, 945635.230213883 1950165.54807064))",10760
12667,11560,"POLYGON ((945635.230213883 1950265.54807064, 945635.230213883 1950365.54807064, 945735.230213883 1950365.54807064, 945735.230213883 1950265.54807064, 945635.230213883 1950265.54807064))",10761
12668,11560,"POLYGON ((945635.230213883 1950365.54807064, 945635.230213883 1950465.54807064, 945735.230213883 1950465.54807064, 945735.230213883 1950365.54807064, 945635.230213883 1950365.54807064))",10762
12669,11560,"POLYGON ((945635.230213883 1950465.54807064, 945635.230213883 1950565.54807064, 945735.230213883 1950565.54807064, 945735.230213883 1950465.54807064, 945635.230213883 1950465.54807064))",10763
12673,11560,"POLYGON ((945735.230213883 1946265.54807064, 945735.230213883 1946365.54807064, 945835.230213883 1946365.54807064, 945835.230213883 1946265.54807064, 945735.230213883 1946265.54807064))",10764
12674,11560,"POLYGON ((945735.230213883 1946365.54807064, 945735.230213883 1946465.54807064, 945835.230213883 1946465.54807064, 945835.230213883 1946365.54807064, 945735.230213883 1946365.54807064))",10765
12675,11560,"POLYGON ((945735.230213883 1946465.54807064, 945735.230213883 1946565.54807064, 945835.230213883 1946565.54807064, 945835.230213883 1946465.54807064, 945735.230213883 1946465.54807064))",10766
12676,11560,"POLYGON ((945735.230213883 1946565.54807064, 945735.230213883 1946665.54807064, 945835.230213883 1946665.54807064, 945835.230213883 1946565.54807064, 945735.230213883 1946565.54807064))",10767
12677,11560,"POLYGON ((945735.230213883 1946665.54807064, 945735.230213883 1946765.54807064, 945835.230213883 1946765.54807064, 945835.230213883 1946665.54807064, 945735.230213883 1946665.54807064))",10768
12678,11560,"POLYGON ((945735.230213883 1946765.54807064, 945735.230213883 1946865.54807064, 945835.230213883 1946865.54807064, 945835.230213883 1946765.54807064, 945735.230213883 1946765.54807064))",10769
12679,11560,"POLYGON ((945735.230213883 1946865.54807064, 945735.230213883 1946965.54807064, 945835.230213883 1946965.54807064, 945835.230213883 1946865.54807064, 945735.230213883 1946865.54807064))",10770
12680,11560,"POLYGON ((945735.230213883 1946965.54807064, 945735.230213883 1947065.54807064, 945835.230213883 1947065.54807064, 945835.230213883 1946965.54807064, 945735.230213883 1946965.54807064))",10771
12681,11560,"POLYGON ((945735.230213883 1947065.54807064, 945735.230213883 1947165.54807064, 945835.230213883 1947165.54807064, 945835.230213883 1947065.54807064, 945735.230213883 1947065.54807064))",10772
12682,11560,"POLYGON ((945735.230213883 1947165.54807064, 945735.230213883 1947265.54807064, 945835.230213883 1947265.54807064, 945835.230213883 1947165.54807064, 945735.230213883 1947165.54807064))",10773
12683,11560,"POLYGON ((945735.230213883 1947265.54807064, 945735.230213883 1947365.54807064, 945835.230213883 1947365.54807064, 945835.230213883 1947265.54807064, 945735.230213883 1947265.54807064))",10774
12684,11560,"POLYGON ((945735.230213883 1947365.54807064, 945735.230213883 1947465.54807064, 945835.230213883 1947465.54807064, 945835.230213883 1947365.54807064, 945735.230213883 1947365.54807064))",10775
12685,11560,"POLYGON ((945735.230213883 1947465.54807064, 945735.230213883 1947565.54807064, 945835.230213883 1947565.54807064, 945835.230213883 1947465.54807064, 945735.230213883 1947465.54807064))",10776
12686,11560,"POLYGON ((945735.230213883 1947565.54807064, 945735.230213883 1947665.54807064, 945835.230213883 1947665.54807064, 945835.230213883 1947565.54807064, 945735.230213883 1947565.54807064))",10777
12687,11560,"POLYGON ((945735.230213883 1947665.54807064, 945735.230213883 1947765.54807064, 945835.230213883 1947765.54807064, 945835.230213883 1947665.54807064, 945735.230213883 1947665.54807064))",10778
12688,11560,"POLYGON ((945735.230213883 1947765.54807064, 945735.230213883 1947865.54807064, 945835.230213883 1947865.54807064, 945835.230213883 1947765.54807064, 945735.230213883 1947765.54807064))",10779
12694,11560,"POLYGON ((945735.230213883 1949265.54807064, 945735.230213883 1949365.54807064, 945835.230213883 1949365.54807064, 945835.230213883 1949265.54807064, 945735.230213883 1949265.54807064))",10780
12695,11560,"POLYGON ((945735.230213883 1949365.54807064, 945735.230213883 1949465.54807064, 945835.230213883 1949465.54807064, 945835.230213883 1949365.54807064, 945735.230213883 1949365.54807064))",10781
12696,11560,"POLYGON ((945735.230213883 1949465.54807064, 945735.230213883 1949565.54807064, 945835.230213883 1949565.54807064, 945835.230213883 1949465.54807064, 945735.230213883 1949465.54807064))",10782
12697,11560,"POLYGON ((945735.230213883 1949565.54807064, 945735.230213883 1949665.54807064, 945835.230213883 1949665.54807064, 945835.230213883 1949565.54807064, 945735.230213883 1949565.54807064))",10783
12698,11560,"POLYGON ((945735.230213883 1949665.54807064, 945735.230213883 1949765.54807064, 945835.230213883 1949765.54807064, 945835.230213883 1949665.54807064, 945735.230213883 1949665.54807064))",10784
12699,11560,"POLYGON ((945735.230213883 1949765.54807064, 945735.230213883 1949865.54807064, 945835.230213883 1949865.54807064, 945835.230213883 1949765.54807064, 945735.230213883 1949765.54807064))",10785
12700,11560,"POLYGON ((945735.230213883 1949865.54807064, 945735.230213883 1949965.54807064, 945835.230213883 1949965.54807064, 945835.230213883 1949865.54807064, 945735.230213883 1949865.54807064))",10786
12701,11560,"POLYGON ((945735.230213883 1949965.54807064, 945735.230213883 1950065.54807064, 945835.230213883 1950065.54807064, 945835.230213883 1949965.54807064, 945735.230213883 1949965.54807064))",10787
12702,11560,"POLYGON ((945735.230213883 1950065.54807064, 945735.230213883 1950165.54807064, 945835.230213883 1950165.54807064, 945835.230213883 1950065.54807064, 945735.230213883 1950065.54807064))",10788
12703,11560,"POLYGON ((945735.230213883 1950165.54807064, 945735.230213883 1950265.54807064, 945835.230213883 1950265.54807064, 945835.230213883 1950165.54807064, 945735.230213883 1950165.54807064))",10789
12704,11560,"POLYGON ((945735.230213883 1950265.54807064, 945735.230213883 1950365.54807064, 945835.230213883 1950365.54807064, 945835.230213883 1950265.54807064, 945735.230213883 1950265.54807064))",10790
12705,11560,"POLYGON ((945735.230213883 1950365.54807064, 945735.230213883 1950465.54807064, 945835.230213883 1950465.54807064, 945835.230213883 1950365.54807064, 945735.230213883 1950365.54807064))",10791
12706,11560,"POLYGON ((945735.230213883 1950465.54807064, 945735.230213883 1950565.54807064, 945835.230213883 1950565.54807064, 945835.230213883 1950465.54807064, 945735.230213883 1950465.54807064))",10792
12710,11560,"POLYGON ((945835.230213883 1946265.54807064, 945835.230213883 1946365.54807064, 945935.230213883 1946365.54807064, 945935.230213883 1946265.54807064, 945835.230213883 1946265.54807064))",10793
12711,11560,"POLYGON ((945835.230213883 1946365.54807064, 945835.230213883 1946465.54807064, 945935.230213883 1946465.54807064, 945935.230213883 1946365.54807064, 945835.230213883 1946365.54807064))",10794
12712,11560,"POLYGON ((945835.230213883 1946465.54807064, 945835.230213883 1946565.54807064, 945935.230213883 1946565.54807064, 945935.230213883 1946465.54807064, 945835.230213883 1946465.54807064))",10795
12713,11560,"POLYGON ((945835.230213883 1946565.54807064, 945835.230213883 1946665.54807064, 945935.230213883 1946665.54807064, 945935.230213883 1946565.54807064, 945835.230213883 1946565.54807064))",10796
12714,11560,"POLYGON ((945835.230213883 1946665.54807064, 945835.230213883 1946765.54807064, 945935.230213883 1946765.54807064, 945935.230213883 1946665.54807064, 945835.230213883 1946665.54807064))",10797
12715,11560,"POLYGON ((945835.230213883 1946765.54807064, 945835.230213883 1946865.54807064, 945935.230213883 1946865.54807064, 945935.230213883 1946765.54807064, 945835.230213883 1946765.54807064))",10798
12716,11560,"POLYGON ((945835.230213883 1946865.54807064, 945835.230213883 1946965.54807064, 945935.230213883 1946965.54807064, 945935.230213883 1946865.54807064, 945835.230213883 1946865.54807064))",10799
12717,11560,"POLYGON ((945835.230213883 1946965.54807064, 945835.230213883 1947065.54807064, 945935.230213883 1947065.54807064, 945935.230213883 1946965.54807064, 945835.230213883 1946965.54807064))",10800
