,사용월,호선명,지하철역,0405O,0405D,0506O,0506D,0607O,0607D,0708O,0708D,0809O,0809D,0910O,0910D,1011O,1011D,1112O,1112D,1213O,1213D,1314O,1314D,1415O,1415D,1516O,1516D,1617O,1617D,1718O,1718D,1819O,1819D,1920O,1920D,2021O,2021D,2122O,2122D,2223O,2223D,2324O,2324D,0001O,0001D,0102O,0102D,0203O,0203D,0304O,0304D,code,y,x,year,x_5179,y_5179
16,202101,1호선,신설동,279,3,6413,2235,6769,7410,13739,18243,19137,48070,12766,28106,11310,16316,12868,15035,14144,15547,16963,16126,17564,15538,18799,15573,22733,15417,33392,16980,48075,21175,17757,15251,13613,10184,10978,11633,3813,5699,1156,2747,9,194,0,0,1,0,0,0,156.0,37.575297,127.025087,2021,958064.4684845041,1952986.0070523212
17,202001,1호선,신설동,255,9,9111,1920,9472,7410,17886,20807,28259,67545,20115,36395,18640,23009,22647,21604,24543,21225,26027,21919,25892,21978,27786,22166,30180,23308,41123,25874,63229,29961,26655,23637,16531,15702,15461,15596,11209,14636,4827,10009,484,2823,7,37,0,0,0,0,156.0,37.575297,127.025087,2020,958064.4684845041,1952986.0070523212
18,201901,1호선,신설동,287,18,8847,2242,9805,8507,20077,23708,30505,77052,21746,42215,19219,26352,23432,24639,25947,24205,28510,25266,28537,24194,30381,24152,32723,23766,43942,28965,74303,31156,31339,25953,19997,16735,17833,15825,13174,15675,5830,10702,593,2638,0,16,0,0,0,0,156.0,37.575297,127.025087,2019,958064.4684845041,1952986.0070523212
19,201801,1호선,신설동,270,74,8148,2386,9682,7133,20066,25087,29900,71107,20927,42184,19210,25104,21897,23612,25074,22382,28281,25189,26835,22818,28886,22717,30950,22292,41149,27546,69540,29848,31528,25699,20256,16749,17171,15733,13113,15157,5721,10927,583,2760,0,4,0,0,0,0,156.0,37.575297,127.025087,2018,958064.4684845041,1952986.0070523212
20,202201,1호선,제기동,184,5,4108,1725,6850,7294,17532,16151,27622,34899,19917,27266,22377,37345,32284,45994,40005,48997,44175,51789,48053,50484,52069,40483,47879,29547,40752,22738,34039,23410,14399,16033,9957,10799,8627,14202,3849,7112,1188,3256,9,333,0,0,0,0,0,0,157.0,37.578103,127.034893,2022,958931.8991252333,1953292.987231073
21,202101,1호선,제기동,271,3,3964,1561,6349,5866,15914,15109,24375,32855,16498,27133,18389,30132,25596,35839,32622,36962,37045,40011,40870,41860,42216,34951,35715,25003,33310,18808,30408,21250,12792,15650,9330,10291,8422,11266,4617,5465,1601,2380,5,189,0,0,0,0,0,0,157.0,37.578103,127.034893,2021,958931.8991252333,1953292.987231073
22,202001,1호선,제기동,287,6,4758,2046,7810,8367,19985,17277,31530,41858,23620,40581,25522,43243,35782,56749,44588,64105,50778,66882,57711,63233,66162,49114,63323,40936,52662,29025,47031,28638,24537,20578,16736,12466,11481,11658,8182,10868,3571,7038,369,1793,1,26,0,0,0,0,157.0,37.578103,127.034893,2020,958931.8991252333,1953292.987231073
23,201901,1호선,제기동,316,8,4874,2284,8388,8242,22615,18537,34862,50424,24786,43146,27130,46347,38424,63325,49342,71837,58332,79114,66681,70456,75677,58388,72189,40292,58939,32726,54182,29402,27310,24217,18230,14579,12731,12853,9087,12449,3758,8308,258,1890,0,0,0,0,0,0,157.0,37.578103,127.034893,2019,958931.8991252333,1953292.987231073
24,201801,1호선,제기동,391,9,4400,1909,8183,7251,22467,17185,33256,47673,22865,35171,23283,36509,31212,51159,40186,60493,48449,67876,56533,60823,66166,49569,64432,35769,53412,27584,49753,27340,25544,24841,15326,14554,11984,12992,8368,12413,3640,8687,290,2003,0,2,0,0,0,0,157.0,37.578103,127.034893,2018,958931.8991252333,1953292.987231073
25,202201,1호선,종각,87,2,1954,3686,2712,19130,4579,84536,8362,201196,9704,115947,13646,48750,21588,43603,26831,40419,33109,40951,41670,35919,52702,31185,59125,31984,106293,33183,169808,33595,72906,14096,79392,5874,97044,5648,22175,2401,4526,1133,6,124,0,0,0,0,0,0,152.0,37.570161,126.982923,2022,954338.1630656676,1952435.847386431
26,202101,1호선,종각,113,1,1852,3464,2578,18288,4413,77560,6631,165202,7997,100421,10911,42055,16566,33259,20303,30355,24807,32406,31147,27866,41132,24197,47952,23353,94486,22887,153681,23132,69054,10706,65480,4650,66880,3814,13805,1626,3108,785,10,100,1,1,0,0,0,0,152.0,37.570161,126.982923,2021,954338.1630656676,1952435.847386431
27,202001,1호선,종각,126,5,4380,4683,4456,25858,6286,94635,10348,262168,13222,158477,18174,73909,30217,70696,39954,68125,54878,68560,63398,61180,81096,51339,93834,48984,138198,56395,232418,70076,115374,42203,98897,17205,112004,11260,92025,8019,42602,5038,2896,1577,9,22,0,0,0,0,152.0,37.570161,126.982923,2020,954338.1630656676,1952435.847386431
28,201901,1호선,종각,100,8,4409,5105,4593,26969,6733,104259,11028,300081,14563,167611,20165,80474,34617,76633,42088,71920,59893,75678,68149,62408,84211,57607,96197,55889,144446,63459,257735,83206,134259,51603,113555,19039,135586,12188,111743,8286,54264,5560,4886,1722,0,0,0,0,0,0,152.0,37.570161,126.982923,2019,954338.1630656676,1952435.847386431
29,201801,1호선,종각,143,2,4696,5256,4952,27617,7068,109484,12638,288507,14746,168721,21405,83832,35242,75590,43624,73072,63240,78305,70938,65350,84302,57876,95895,56725,134323,62756,259970,84899,143124,54830,115455,20137,135851,12337,113748,8331,55442,5475,4770,1355,1,3,0,0,0,0,152.0,37.570161,126.982923,2018,954338.1630656676,1952435.847386431
30,202201,1호선,종로3가,124,15,2110,2375,2416,10706,3664,20452,6359,64067,11039,63900,16447,54362,29901,54901,35384,56013,44806,58647,50507,51138,58999,41480,62960,34651,70171,29590,85369,27030,48596,10953,46301,5191,58233,6258,14178,2577,2951,1402,33,345,1,1,0,0,0,0,153.0,37.571607,126.991806,2022,955123.4726345117,1952591.9944645574
31,202101,1호선,종로3가,109,4,2187,2427,2374,8473,3297,18316,5367,52803,7144,54311,13136,42285,21589,40904,27183,40138,33818,41532,38643,39874,42923,32894,45809,25998,56011,20659,79064,17711,43768,7957,35106,3901,33741,4108,8128,1572,2142,1104,7,194,0,3,0,0,0,0,153.0,37.571607,126.991806,2021,955123.4726345117,1952591.9944645574
32,202001,1호선,종로3가,160,25,4750,2452,4234,13222,5495,26329,9178,73643,12981,94163,24003,79163,38647,86114,55279,91200,70630,91727,75308,79838,85537,66499,97145,54821,98108,50410,117513,54431,81093,32006,60055,13622,65589,9673,52438,7607,22638,5357,2565,2284,30,89,0,0,0,0,153.0,37.571607,126.991806,2020,955123.4726345117,1952591.9944645574
33,201901,1호선,종로3가,122,4,5061,2520,3876,12832,6066,29381,9735,84155,14261,100477,24063,87040,42723,96552,58902,101213,76615,103649,81392,88983,94128,72249,105094,61092,107194,56484,129847,62455,95225,37346,68613,14242,76067,10422,62004,7761,25970,5503,3214,2471,0,52,0,0,0,0,153.0,37.571607,126.991806,2019,955123.4726345117,1952591.9944645574
34,201801,1호선,종로3가,212,59,5034,2396,3989,11408,5875,29506,9974,87082,13230,103829,22244,84029,40437,87528,54569,88729,73272,94502,76178,81409,87110,65797,93714,55806,99747,52081,128923,59216,95774,38287,65235,14493,73666,10249,61132,8170,26458,5268,3020,2359,1,32,1,2,0,0,153.0,37.571607,126.991806,2018,955123.4726345117,1952591.9944645574
35,202201,1호선,종로5가,18,0,1349,3121,2210,12580,4221,34488,6770,89299,9461,56276,14723,42681,23784,46190,30972,45943,37636,42810,46196,41508,51583,35926,54246,29496,70314,24524,85715,19748,42641,9212,34127,4700,30608,5396,8869,2557,1973,1144,4,271,0,0,0,0,0,0,154.0,37.570926,127.001849,2022,956009.9340638701,1952511.6917298925
36,202101,1호선,종로5가,157,4,1170,2806,1933,11097,3473,30990,5745,86177,7670,51639,12690,38927,19495,35761,24775,34242,29465,34614,36459,34545,41052,28364,46796,22094,61473,17184,82698,13074,38369,6821,26177,3731,20639,4041,5426,2073,1449,1181,3,159,0,0,0,0,0,0,154.0,37.570926,127.001849,2021,956009.9340638701,1952511.6917298925
37,202001,1호선,종로5가,38,0,1820,3357,2763,13143,4956,35867,8277,111863,11992,70951,19974,57604,31219,62802,42797,65657,54442,60902,64381,56783,68361,51404,71609,43571,86590,40295,114755,34688,61282,23238,42924,9920,35088,7374,29005,5158,9617,3170,592,1011,2,13,0,0,0,0,154.0,37.570926,127.001849,2020,956009.9340638701,1952511.6917298925
38,201901,1호선,종로5가,43,2,1934,3590,2935,14991,5143,40376,8509,132808,12652,78635,20434,62671,31918,69919,45533,72651,60255,69005,69651,63201,74447,54752,77646,48878,93779,42973,133826,40675,72550,24744,49690,10816,40800,7410,32727,5112,12013,3450,785,980,1,3,0,0,0,0,154.0,37.570926,127.001849,2019,956009.9340638701,1952511.6917298925
39,201801,1호선,종로5가,30,8,1987,3326,2854,14469,5052,40579,8973,125681,12056,80046,19067,57203,29151,59427,38800,59172,51587,57435,60297,52467,65890,46442,67901,40704,84968,36464,126661,35191,73685,21997,45084,10856,37561,7679,28442,5729,11280,3663,755,1048,1,1,0,0,0,0,154.0,37.570926,127.001849,2018,956009.9340638701,1952511.6917298925
40,202201,1호선,청량리,840,12,8703,3571,12557,17264,30347,13831,40408,29947,26400,26385,25430,34680,33202,40901,38275,40680,40692,45533,44118,48172,48551,44349,51255,37389,45596,35298,36152,41847,18887,26636,15682,16421,13004,21916,4837,11332,1150,4526,26,586,0,0,0,0,0,0,158.0,37.580178,127.046835,2022,959987.4721818436,1953518.0449714784
41,202101,1호선,청량리,860,16,8101,3523,11290,14457,28669,12303,36183,28638,24516,23842,22908,27766,26819,32216,31821,34555,35026,36799,39781,41860,43135,38632,43645,33122,39305,31091,33065,38281,17157,26198,14256,15871,10439,18652,3632,8591,1009,3651,11,438,0,0,0,0,0,0,158.0,37.580178,127.046835,2021,959987.4721818436,1953518.0449714784
42,202001,1호선,청량리,1217,11,10056,3544,15049,12557,39773,16027,54988,36115,36843,32831,33458,37994,39773,51433,48223,57376,51214,63345,55836,64940,62981,57999,66423,53393,59705,47715,50657,57588,30949,42785,24025,25408,17944,24957,12557,21526,5338,16153,413,5346,4,91,0,0,0,0,158.0,37.580178,127.046835,2020,959987.4721818436,1953518.0449714784
43,201901,1호선,청량리,1321,11,10844,2912,16911,12013,46015,20676,65427,42910,42110,41090,35796,41999,43937,55752,53733,64244,55751,73268,63486,72150,70997,65918,75642,56026,68623,57290,57624,65469,35155,53706,27840,31541,21510,28397,15223,29237,7191,19427,441,6495,0,0,0,0,0,0,158.0,37.580178,127.046835,2019,959987.4721818436,1953518.0449714784
44,201801,1호선,청량리,1174,42,11130,3468,17996,11905,44542,19901,65753,42073,42508,37840,35564,38367,40880,50767,47435,58384,51550,70103,58325,68561,66651,62176,70492,55420,66049,54108,57338,68138,37165,56017,30945,33567,22809,30518,15981,30964,7738,20980,491,6612,0,0,0,0,0,0,158.0,37.580178,127.046835,2018,959987.4721818436,1953518.0449714784
45,202201,2호선,강남,111,2,5074,9934,13881,45185,31286,131188,56880,286820,46119,318853,47885,150378,66246,110718,86395,110061,105355,132425,112777,115171,140051,111243,159625,119131,230921,137775,308771,162197,196833,79027,198569,39273,281441,50528,96207,21859,16332,8908,4,6,0,0,0,0,0,0,222.0,37.497175,127.027926,2022,958271.6487805264,1944317.5527461714
46,202101,2호선,강남,110,3,5034,10478,13743,40055,29652,120313,46525,260062,37172,253781,37419,121344,51439,85029,65397,81066,74938,96581,86107,91218,111104,84557,125759,83160,190350,93494,278385,107650,177478,60270,159575,31438,189419,34814,43747,13090,11496,6586,10,90,0,0,0,0,0,0,222.0,37.497175,127.027926,2021,958271.6487805264,1944317.5527461714
47,202001,2호선,강남,310,6,17056,12736,25137,54183,44628,156082,70230,340216,60770,394071,63771,181481,86622,153252,115480,158549,149166,188718,152468,162738,183604,154123,208926,158864,267291,193937,374029,263058,255352,194223,207610,87101,251784,64384,271204,57073,127885,35444,23456,10153,171,283,7,17,0,0,222.0,37.497175,127.027926,2020,958271.6487805264,1944317.5527461714
48,201901,2호선,강남,330,8,17230,12987,26867,58425,48487,184588,80456,378961,68596,420878,70921,200209,97368,173073,126159,177366,170216,216039,169097,180809,203483,174765,227268,174630,291623,210420,431115,301515,292521,226472,235489,97022,295326,72936,314609,63765,145504,39894,27203,12993,36,348,0,0,0,0,222.0,37.497175,127.027926,2019,958271.6487805264,1944317.5527461714
49,201801,2호선,강남,322,34,16324,12892,24305,59093,48481,187033,78739,375590,67460,407396,67784,200250,94697,170464,126460,177644,169894,221890,169207,185736,201144,176650,228969,173091,282054,200741,430736,289203,309645,227170,241017,96519,295431,69492,317470,58472,146063,36607,25687,10284,9,151,0,0,0,0,222.0,37.497175,127.027926,2018,958271.6487805264,1944317.5527461714
