,사용월,호선명,지하철역,0405O,0405D,0506O,0506D,0607O,0607D,0708O,0708D,0809O,0809D,0910O,0910D,1011O,1011D,1112O,1112D,1213O,1213D,1314O,1314D,1415O,1415D,1516O,1516D,1617O,1617D,1718O,1718D,1819O,1819D,1920O,1920D,2021O,2021D,2122O,2122D,2223O,2223D,2324O,2324D,0001O,0001D,0102O,0102D,0203O,0203D,0304O,0304D,code,y,x,year,x_5179,y_5179
453,201901,3호선,충무로,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,1,0,2,0,6,0,4,0,5,0,4,0,5,0,9,0,5,0,0,0,3,0,7,0,1,0,0,0,0,0,0,0,321.0,37.561243,126.99428,2019,955335.7550944622,1951440.9816403808
454,201801,3호선,충무로,0,0,0,0,0,0,1,0,4,0,1,0,2,0,2,0,4,0,2,0,1,0,1,0,9,0,6,0,5,0,7,0,2,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,321.0,37.561243,126.99428,2018,955335.7550944622,1951440.9816403808
455,202201,3호선,학여울,3,0,493,257,1380,1261,2929,2769,3529,7164,2360,3728,2024,2809,2153,2020,2486,2149,2589,2457,2751,2499,3791,2563,3866,2401,4791,2949,5463,3637,2410,2933,1511,1845,1697,2578,785,1252,130,492,0,0,0,0,0,0,0,0,336.0,37.496663,127.070594,2022,962042.9899415127,1944242.6880765336
456,202101,3호선,학여울,2,0,371,222,1443,1500,2642,2680,3130,5939,2035,2938,1588,1733,1496,1501,1709,1592,1692,1567,1823,1654,2449,1704,2847,1874,3369,2462,5082,3424,2463,2725,1524,1660,1758,1964,615,995,105,453,0,0,0,0,0,0,0,0,336.0,37.496663,127.070594,2021,962042.9899415127,1944242.6880765336
457,202001,3호선,학여울,1,0,444,167,1460,1505,3347,2995,4696,7725,3194,5809,2366,3665,2683,2842,3159,3236,3689,3733,3498,3586,4312,3471,5030,3019,6231,3342,7653,4423,3293,3719,2183,2372,1653,2203,1314,2108,337,1383,38,429,0,12,0,0,0,0,336.0,37.496663,127.070594,2020,962042.9899415127,1944242.6880765336
458,201901,3호선,학여울,14,0,495,266,1432,1689,3695,3145,4781,8243,3456,6528,2774,5179,3696,5097,4751,5537,5688,5901,5765,5616,7086,4899,7190,3913,7866,3598,8807,4390,3424,3803,2168,2538,1975,2323,1371,2365,438,1558,79,564,0,0,0,0,0,0,336.0,37.496663,127.070594,2019,962042.9899415127,1944242.6880765336
459,201801,3호선,학여울,26,21,578,203,1539,1576,3767,3249,5447,8334,3677,6632,2481,5450,3440,5465,4626,5621,5624,6327,6059,5938,7389,4981,7686,3355,8020,3585,9119,4522,3144,4138,1974,2649,1772,2539,1382,2524,544,1646,60,554,0,0,0,0,0,0,336.0,37.496663,127.070594,2018,962042.9899415127,1944242.6880765336
460,202201,3호선,홍제,43,6,8342,1076,19586,5963,50651,8994,59779,22042,36692,15145,26926,14662,24411,15305,27352,16828,25008,18518,23867,21660,23639,24939,24373,28519,24458,35119,22050,55773,11270,44697,10084,25362,9306,34028,4239,18438,929,7002,0,0,0,0,0,0,0,0,314.0,37.589066,126.943736,2022,950890.044477731,1954553.0362320542
461,202101,3호선,홍제,60,3,7284,1181,17516,7572,46507,8675,57019,18705,32619,12984,22007,12138,20224,12316,21021,14021,20545,15380,19541,17763,19580,21580,19951,24776,20731,31880,19899,51405,10647,44556,8788,24818,7623,27583,3003,12482,697,5275,0,0,0,0,0,0,0,0,314.0,37.589066,126.943736,2021,950890.044477731,1954553.0362320542
462,202001,3호선,홍제,58,2,7893,1389,19472,7774,57109,10384,73255,23589,46043,18136,32965,17047,31338,17246,32589,20490,31783,23982,29058,24760,28510,30170,29114,34592,31022,41539,30073,61303,16550,54740,12046,33664,10224,31108,7738,28289,3523,18292,547,5208,4,33,0,0,0,0,314.0,37.589066,126.943736,2020,950890.044477731,1954553.0362320542
463,201901,3호선,홍제,55,0,8777,1440,21723,7206,62354,11798,82466,27168,49786,20522,35672,18748,33376,19451,35156,22653,33385,24930,30377,26969,30062,32119,31032,36401,32773,43308,33274,62817,18004,61790,13612,37022,11586,33059,8325,32214,3705,20989,563,5939,0,1,0,0,0,0,314.0,37.589066,126.943736,2019,950890.044477731,1954553.0362320542
464,201801,3호선,홍제,60,31,8807,1232,22628,8324,63265,11938,81986,28309,48650,19749,34161,18279,32030,18199,33030,20976,31919,23852,29793,26530,29137,30514,28961,34818,31105,41566,34140,62519,17881,63108,13960,37713,11464,34125,8482,33096,3888,21166,492,5733,1,0,0,1,0,0,314.0,37.589066,126.943736,2018,950890.044477731,1954553.0362320542
465,202201,4호선,길음,27,2,8200,1667,24710,5762,69101,9502,76039,24024,41585,20195,29121,14843,25363,15951,27651,19486,27552,21630,24102,23818,24021,25729,27497,30407,27943,43746,25586,69781,13500,56510,11887,34277,11232,44946,7990,24540,1620,9009,0,11,0,1,0,0,0,0,417.0,37.603407,127.025053,2022,958077.236178877,1956104.694895202
466,202101,4호선,길음,6,0,7291,1738,22346,7435,64325,8452,71487,21280,36562,17059,23165,12218,20166,13024,21806,15589,22142,16734,19889,17605,19608,21426,21061,26060,22714,37156,21933,66383,12660,54486,11029,31788,9392,36648,4790,17138,1309,6382,1,0,0,0,0,0,0,0,417.0,37.603407,127.025053,2021,958077.236178877,1956104.694895202
467,202001,4호선,길음,14,0,8875,1766,26891,8003,80938,11615,92256,27086,50389,23400,35229,20080,31295,20998,33964,23921,33075,28857,30249,28406,30569,31676,33260,36019,36458,46042,35188,71244,23237,65767,16238,40082,12235,38279,10881,38517,4809,26464,763,6220,11,74,0,0,0,0,417.0,37.603407,127.025053,2020,958077.236178877,1956104.694895202
468,201901,4호선,길음,10,0,8807,2019,28889,7770,88501,13658,102277,29713,55610,26329,37144,20382,33426,22081,35101,25370,34886,29991,32202,30351,31455,32615,34102,37788,38453,48307,38652,76373,24919,72576,17329,44827,13399,41928,11653,42955,4983,29694,804,6836,0,0,0,0,0,0,417.0,37.603407,127.025053,2019,958077.236178877,1956104.694895202
469,201801,4호선,길음,26,1,9296,1861,30487,9169,90868,14637,99893,32337,53766,27333,36141,20298,32301,21809,34691,25516,35958,28329,31264,28745,31209,31855,34294,36524,38708,46960,39749,72900,25761,76631,17443,47456,13284,41922,11708,43833,5530,30126,730,7020,0,1,0,0,0,0,417.0,37.603407,127.025053,2018,958077.236178877,1956104.694895202
470,202201,4호선,남태령,65,0,418,83,782,953,1892,2541,2643,3659,2312,1656,1814,1051,1834,1149,1893,1286,1773,1070,1581,1289,1549,1275,2164,1404,3038,1584,3059,1740,1142,1478,850,984,593,1068,316,593,95,238,1,11,0,0,0,0,0,0,434.0,37.463873,126.989134,2022,954822.6130841522,1940640.8194425383
471,202101,4호선,남태령,49,0,400,100,653,1186,1737,2357,2078,4105,1885,1146,1310,931,1355,775,1209,1056,1257,1018,1266,997,1243,1026,1905,1207,2755,1301,2465,1398,1507,1295,1567,802,850,877,344,398,126,185,0,22,0,0,0,0,0,0,434.0,37.463873,126.989134,2021,954822.6130841522,1940640.8194425383
472,202001,4호선,남태령,63,0,426,135,961,901,2592,3344,4297,5484,3083,1995,2316,1387,2252,1095,2181,1458,2264,1460,2137,1545,2238,1513,2569,1537,3701,1711,3991,2018,1612,2150,989,1298,722,1308,379,1017,166,623,25,265,0,5,0,0,0,0,434.0,37.463873,126.989134,2020,954822.6130841522,1940640.8194425383
473,201901,4호선,남태령,13,0,447,80,1109,854,3340,3217,5765,6220,4005,2243,2990,1419,2842,1290,2860,1339,2662,1420,2388,1604,2315,1471,2900,1748,4125,1975,4866,2460,2026,2568,1139,1382,824,1287,505,1147,209,674,37,315,0,7,0,0,0,0,434.0,37.463873,126.989134,2019,954822.6130841522,1940640.8194425383
474,201801,4호선,남태령,22,8,528,76,1153,875,7727,2973,15958,4761,7301,2411,4035,1177,3242,1138,3620,1435,3358,1408,2803,1355,2408,1485,2932,1579,5543,1774,8281,2279,3337,2632,1201,1276,781,1216,489,1057,195,742,43,329,0,10,0,0,0,0,434.0,37.463873,126.989134,2018,954822.6130841522,1940640.8194425383
475,202201,4호선,노원,129,0,9297,409,19758,5920,45632,9197,49303,26248,29941,26521,22814,21098,21986,21632,25970,25234,26666,29939,26718,30404,26985,33608,28772,39929,29593,50180,29641,73141,21270,53599,29537,29867,35430,37645,11158,21591,1837,8875,4,1558,0,0,0,0,0,0,411.0,37.655128,127.061368,2022,961309.5379340928,1961827.3342881983
476,202101,4호선,노원,62,1,8768,410,18883,5650,44227,8821,45968,22204,25880,25269,19686,19206,19057,17955,20822,20704,21211,24067,22077,25336,22541,28345,23572,32977,23296,40957,26008,61998,18636,50364,26262,27723,25281,30333,5565,15199,1352,6678,1,1392,0,0,0,0,0,0,411.0,37.655128,127.061368,2021,961309.5379340928,1961827.3342881983
477,202001,4호선,노원,83,1,12249,599,24011,8236,54008,11369,59001,30570,35607,36667,29781,26847,29600,26586,32487,32345,33847,36101,33342,37898,34260,40626,37040,46829,39066,59084,40770,88839,30504,81439,31495,47285,29577,40626,30763,36084,16252,27678,3103,9414,21,410,0,0,0,0,411.0,37.655128,127.061368,2020,961309.5379340928,1961827.3342881983
478,201901,4호선,노원,100,3,12599,599,26377,9016,59128,11677,65929,34558,37587,38698,32002,28057,31125,26798,34304,32415,36477,36477,35363,39147,35671,41844,38510,46085,40386,61414,42245,92325,30500,88132,32967,51046,30670,43827,31682,39432,16307,29745,3051,10231,2,635,0,0,0,0,411.0,37.655128,127.061368,2019,961309.5379340928,1961827.3342881983
479,201801,4호선,노원,135,23,12608,602,27743,9297,60126,13572,69195,34161,39159,40097,31642,27792,30466,26817,34192,31646,35912,36613,33491,38958,34694,41238,38601,44603,39688,58934,42635,90018,31161,90830,33849,53396,30780,45860,33697,40236,17288,31079,3061,10506,4,538,0,0,0,0,411.0,37.655128,127.061368,2018,961309.5379340928,1961827.3342881983
480,202201,4호선,당고개,40,0,7137,16,16909,5225,46811,6832,48636,11503,28666,10772,20007,11068,18224,10260,18688,12079,18629,12524,17345,13904,16226,16284,16546,20210,15402,24248,14047,36937,8371,34177,5754,22797,5418,27453,2966,18028,579,6686,0,147,0,0,0,0,0,0,409.0,37.670272,127.079066,2022,962878.1770398103,1963500.3538392014
481,202101,4호선,당고개,47,0,6790,25,15507,5463,40628,5730,40855,9933,24221,8911,15834,9626,14891,9036,14638,10445,15274,10700,14625,11411,13642,14581,13403,17064,13252,21028,12066,33006,7655,30473,5568,20651,4627,22975,2453,11365,564,5097,0,81,0,0,0,0,0,0,409.0,37.670272,127.079066,2021,962878.1770398103,1963500.3538392014
482,202001,4호선,당고개,81,0,7890,19,16134,6934,48450,7299,51316,12725,32265,12419,24477,12124,21653,11741,22615,13520,22337,15101,20117,15754,19043,19078,19186,23026,20048,27525,18416,37944,12183,37786,8264,26056,6662,23790,4936,22650,2256,16980,433,5920,8,586,0,4,0,0,409.0,37.670272,127.079066,2020,962878.1770398103,1963500.3538392014
483,201901,4호선,당고개,37,1,8264,16,16626,6621,49477,7932,53766,13360,34310,13516,25270,12989,22346,11247,22192,13520,22091,15020,20142,16350,18726,19838,18415,23720,19455,27435,18534,37499,12472,38804,7805,27645,6254,24695,4864,23858,2279,17722,417,6304,0,626,0,0,0,0,409.0,37.670272,127.079066,2019,962878.1770398103,1963500.3538392014
484,201801,4호선,당고개,31,9,8985,21,17493,6805,50000,7968,54082,14295,32609,12871,23761,12589,21714,10855,22250,12652,21760,14381,19052,15620,17314,19032,17785,22408,18436,26211,17969,37998,12712,38959,7707,28829,6440,24818,4909,24215,2625,18513,353,6324,1,617,0,0,0,0,409.0,37.670272,127.079066,2018,962878.1770398103,1963500.3538392014
485,202201,4호선,동대문,141,15,4566,2280,2689,11940,4522,29357,5528,67373,9305,59084,13664,47583,19834,41141,23657,36731,27434,34256,35726,32608,42520,26744,52277,19792,76081,13639,56124,10297,25314,11609,19406,7792,22697,5480,7208,3196,2061,3561,2,70,0,1,0,0,0,0,421.0,37.57142,127.009745,2022,956707.4940849433,1952562.831297785
486,202101,4호선,동대문,197,9,5086,2386,2709,11221,4008,29531,5366,62971,8711,57299,12890,43261,16711,37812,20496,29834,23235,30898,30141,29042,36764,23430,46627,17230,73719,11360,58798,8008,24607,10243,21494,7175,16864,5665,4628,3117,1337,4359,3,53,0,0,0,0,0,0,421.0,37.57142,127.009745,2021,956707.4940849433,1952562.831297785
487,202001,4호선,동대문,380,3,7950,2547,3530,12171,5388,33133,7618,74922,11880,70648,17108,58927,24648,53206,32710,47371,39370,49334,50060,45796,59470,39642,67371,31625,88089,25586,82966,22000,41207,25598,28793,17457,25242,11811,23842,8547,11814,7257,1604,1985,4,21,0,1,0,0,421.0,37.57142,127.009745,2020,956707.4940849433,1952562.831297785
488,201901,4호선,동대문,567,9,10729,2924,4584,13229,5662,38886,8718,89729,13927,81702,20446,67730,28534,62474,37684,55183,45694,58672,57999,52780,68742,45875,76542,36191,104826,28624,98485,24241,50060,30757,33414,21952,29652,14737,27948,9711,15419,8636,1812,2286,2,9,0,1,0,0,421.0,37.57142,127.009745,2019,956707.4940849433,1952562.831297785
489,201801,4호선,동대문,575,9,10345,2455,4680,14286,5775,40605,9228,95562,13453,84252,20214,66528,27545,57919,37482,51703,44919,55402,53813,50256,64785,43100,73312,34418,103866,27547,101753,23303,49294,30191,31980,22441,28726,13785,25561,8930,17664,8755,1703,2232,0,36,0,0,0,0,421.0,37.57142,127.009745,2018,956707.4940849433,1952562.831297785
490,202201,4호선,동대문역사문화공원,316,0,5477,1350,3326,10932,5793,22183,7107,61773,6739,32977,7420,22948,11024,21318,14231,20759,16246,21372,20892,21185,27044,17758,31222,14779,49307,14986,65263,15387,32258,18391,27214,9162,29474,8369,12358,4287,3961,2971,1,211,0,0,0,0,0,0,422.0,37.565138,127.007896,2022,956540.5652524179,1951866.7283941314
491,202101,4호선,동대문역사문화공원,364,4,6875,1143,3392,9538,4856,21407,6345,57068,5660,29805,6036,19336,8330,17243,10724,15583,12258,17356,16222,16759,21103,13775,24858,11669,40603,11589,59480,12009,31771,19620,26702,8539,21603,6146,9236,3263,3004,2794,4,233,0,0,1,0,0,0,422.0,37.565138,127.007896,2021,956540.5652524179,1951866.7283941314
492,202001,4호선,동대문역사문화공원,299,6,9985,1625,5060,12413,7473,28053,10948,80233,13916,44905,16196,32610,19180,30117,23130,29750,26223,32455,32077,31104,40674,28239,46086,27062,62215,28381,94985,31889,56409,40309,43536,24429,41347,16946,36751,13663,21294,9526,3908,2893,27,48,2,2,0,0,422.0,37.565138,127.007896,2020,956540.5652524179,1951866.7283941314
493,201901,4호선,동대문역사문화공원,402,5,11764,1630,6224,12721,7510,28902,12269,90901,14605,46909,16368,35950,19404,33667,24007,32793,28369,37554,35277,35561,44136,31831,49608,29603,66730,30211,104218,34506,63922,46677,46999,26744,45603,18480,41986,15050,24846,9998,3927,3121,0,8,0,0,0,0,422.0,37.565138,127.007896,2019,956540.5652524179,1951866.7283941314
494,201801,4호선,동대문역사문화공원,335,6,11902,1560,6705,16309,8383,32499,13490,93438,14478,46912,15206,35623,18637,32614,23410,33153,26924,38316,34235,35660,41702,30661,49074,28726,65914,30944,103974,36470,67322,47717,50707,27186,46949,19344,42475,15150,26129,10670,4174,2866,4,18,0,0,0,0,422.0,37.565138,127.007896,2018,956540.5652524179,1951866.7283941314
495,202201,4호선,동작,7,0,238,128,480,1574,1168,2996,2084,4479,1657,2640,1417,2486,1832,2137,1890,1924,1918,2474,2108,2565,2879,2337,3205,2243,4058,2537,3969,2971,1544,1854,1375,1110,1603,1286,624,533,120,318,0,109,0,0,0,0,0,0,431.0,37.502971,126.979306,2022,953977.4768178882,1944983.2487039426
496,202101,4호선,동작,19,0,336,167,933,2237,3213,3064,5029,5348,3294,3126,2744,2469,2702,2470,2830,2523,3096,3074,3647,3519,4086,3614,4375,3572,5039,3958,5047,5235,2314,3699,1819,2435,1738,2946,689,1110,188,750,0,35,0,0,0,0,0,0,431.0,37.502971,126.979306,2021,953977.4768178882,1944983.2487039426
497,202001,4호선,동작,33,0,381,126,1270,1987,4560,2874,6399,6103,4772,4344,3334,3531,3879,3179,3990,3484,3994,4050,3932,4024,4334,4272,4669,4359,5720,4661,6528,6192,2832,4632,2149,4138,1787,2896,1251,2647,604,1821,143,780,1,99,0,0,0,0,431.0,37.502971,126.979306,2020,953977.4768178882,1944983.2487039426
498,201901,4호선,동작,12,0,431,146,1373,2054,4651,2736,7257,6516,4684,4868,3470,3615,3870,2912,3879,3268,3910,3924,3578,4031,4119,4242,4640,4255,5307,4872,6940,6645,3155,5250,2085,3377,2037,3102,1536,2907,570,1871,144,938,0,112,0,0,0,0,431.0,37.502971,126.979306,2019,953977.4768178882,1944983.2487039426
499,201801,4호선,동작,11,3,432,253,1288,1638,4817,2787,7051,6263,4400,3847,3305,3265,3550,2487,3550,2873,3225,3357,3561,3467,3455,3675,4092,3873,4248,4274,5954,5679,2727,5079,1918,3308,1826,2869,1344,2495,525,1819,97,760,0,66,0,0,0,0,431.0,37.502971,126.979306,2018,953977.4768178882,1944983.2487039426
500,202201,4호선,명동,8,0,599,787,2297,12542,3401,31132,5513,91016,6480,56350,8705,32258,13799,31743,18507,31669,21517,32551,25538,30136,32354,28686,39028,25650,56220,25659,96031,22793,44778,12310,42657,6453,35969,6946,10999,3071,2127,1190,0,83,0,0,0,0,0,0,424.0,37.560989,126.986325,2022,954633.0255050751,1951416.6118067675
501,202101,4호선,명동,23,0,518,783,1532,9292,2337,29962,4039,80203,4724,48556,5645,26317,8539,22674,11416,20465,14930,22005,18795,20678,24119,18821,30551,16136,45391,14777,80072,12702,35733,7350,31659,3675,23063,3382,6124,1426,1234,584,1,97,0,0,1,0,0,0,424.0,37.560989,126.986325,2021,954633.0255050751,1951416.6118067675
502,202001,4호선,명동,44,0,1252,1284,3325,16368,5630,43947,10919,121440,22014,92164,32023,63827,37079,71159,38843,74974,46261,80602,55780,74903,64866,75939,76535,75947,96835,76088,144235,72182,95153,53234,81957,35902,84004,26808,77508,17188,34421,9927,2326,3071,8,116,0,0,0,0,424.0,37.560989,126.986325,2020,954633.0255050751,1951416.6118067675
503,201901,4호선,명동,57,1,1542,1467,3473,17814,5612,49730,11679,131578,23117,99905,32029,69566,37920,78496,41278,80986,50469,87836,59051,78617,69599,79907,81800,79085,100200,80930,155163,77878,104821,57585,89755,36448,93355,25997,86466,17495,37509,11461,2651,3561,0,122,1,0,0,0,424.0,37.560989,126.986325,2019,954633.0255050751,1951416.6118067675
504,201801,4호선,명동,26,1,1392,1504,3363,17668,5846,50325,10699,138458,22397,95989,30437,67945,35992,75573,39563,78032,48070,87339,58810,79344,69220,77597,80999,77944,98615,77535,157211,74586,104614,55669,90586,35106,92625,25022,86727,17301,36776,10742,2782,3340,2,115,0,0,0,0,424.0,37.560989,126.986325,2018,954633.0255050751,1951416.6118067675
505,202201,4호선,미아,44,7,8777,1156,17152,4400,40215,8364,48140,27297,30077,16353,21095,13429,19643,13690,21937,14680,20767,16808,19808,17993,18958,22676,20258,24034,21540,30191,23525,42046,12804,34681,9359,22049,8927,27235,4178,15724,1061,6292,2,15,0,0,0,0,0,0,415.0,37.62667,127.025983,2022,958172.3590174246,1958685.2119148374
506,202101,4호선,미아,40,1,8330,1312,16488,4030,38820,7624,45097,23586,26738,14895,18837,11854,17272,11883,18075,12943,17624,14842,17551,15854,16454,20240,16757,21814,18593,26722,21535,41813,11958,34790,8394,21437,8004,24158,3594,11331,1095,5438,0,0,1,0,0,0,0,0,415.0,37.62667,127.025983,2021,958172.3590174246,1958685.2119148374
507,202001,4호선,미아,35,5,9272,1651,19124,4926,48799,11184,58771,29815,36871,19411,26828,16676,25110,16927,27463,18414,27506,20920,24772,21708,23732,25444,24046,29592,27240,34495,29483,46559,18832,44782,13081,27104,12434,24997,7997,23226,3303,15643,609,4102,3,44,0,0,0,0,415.0,37.62667,127.025983,2020,958172.3590174246,1958685.2119148374
508,201901,4호선,미아,33,1,9609,1807,20762,5826,54631,11814,66179,32645,40603,20883,28464,17809,25935,17605,29672,20623,29907,22124,26822,22542,25618,26767,26625,30505,28985,34935,32014,49925,19337,49564,13966,30344,12196,27277,9722,26436,3975,17179,575,4309,1,0,2,1,0,0,415.0,37.62667,127.025983,2019,958172.3590174246,1958685.2119148374
509,201801,4호선,미아,41,17,10622,1591,22333,5738,57464,12396,70548,33777,40555,21437,28702,17054,26032,17378,28258,19565,28851,21917,27222,22376,25362,25770,25364,29134,27849,35441,33703,50874,20058,51112,13617,32405,12140,28376,9919,27029,3923,18632,562,4711,1,0,1,2,0,0,415.0,37.62667,127.025983,2018,958172.3590174246,1958685.2119148374
510,202201,4호선,미아사거리,39,3,12269,1688,31394,6409,79514,12116,92817,29443,55122,30487,38201,25524,36419,26136,37441,30087,39169,32012,38146,36398,38887,42580,40153,48457,38993,61727,38859,94783,26306,72251,28914,41704,20169,52961,8132,30506,2272,10315,5,14,0,2,0,0,0,0,416.0,37.613292,127.030053,2022,958524.069810951,1957199.171925048
511,202101,4호선,미아사거리,47,1,11328,1714,29354,6225,75130,11606,85753,26926,48283,28926,32463,22958,30067,22787,30826,25212,32504,27458,31616,31743,32694,37888,33534,41663,32691,56121,34672,90016,24403,69862,28298,39872,17507,45035,6222,19722,1910,8232,0,0,0,0,0,0,0,0,416.0,37.613292,127.030053,2021,958524.069810951,1957199.171925048
512,202001,4호선,미아사거리,33,8,13514,2212,34069,7867,92891,14112,110239,32489,67039,35857,46887,30397,44159,32412,47617,37095,48450,39336,45242,44003,47488,51301,48683,58713,49460,71447,52055,105804,39187,97170,36836,56726,23845,50989,18948,48628,10443,29659,1617,7485,22,54,0,0,0,0,416.0,37.613292,127.030053,2020,958524.069810951,1957199.171925048
513,201901,4호선,미아사거리,30,2,12998,2478,33107,11883,92454,15592,112945,35617,66736,37651,47119,31499,44085,32558,46835,38208,48597,39655,45603,43415,47534,51490,51730,57009,52644,71001,53733,106035,39634,101197,40257,57233,25343,51293,19557,49573,10566,30311,1767,7132,3,2,0,1,0,0,416.0,37.613292,127.030053,2019,958524.069810951,1957199.171925048
514,201801,4호선,미아사거리,43,18,13641,3137,35976,12294,97618,14973,117112,34919,67106,38412,46562,29208,41969,32259,45790,37314,47863,38414,44550,43173,45202,50964,49523,55898,51773,69129,53982,104345,41474,105344,41213,61668,25379,52510,19866,52004,10322,31392,1629,7127,1,1,0,0,0,0,416.0,37.613292,127.030053,2018,958524.069810951,1957199.171925048
515,202201,4호선,사당,175,49,8867,1020,19868,13972,57065,17226,77505,29874,59476,24079,35755,19614,31103,23067,33092,25138,33719,24619,31915,24470,30952,28526,32236,37366,37003,50920,41543,73431,26965,46521,30486,29056,39085,37978,12409,19497,2784,9226,9,650,0,5,0,0,0,0,433.0,37.47653,126.981685,2022,954171.5993666354,1942048.627229427
516,202101,4호선,사당,80,1,7796,744,18006,12679,50562,15827,68847,27093,47760,21012,28458,16851,23208,17229,24332,18601,25327,19492,23779,19770,22936,23470,24232,30632,29838,40381,34592,59255,23636,42494,25881,25654,27471,28056,8676,13463,2165,6843,6,735,0,0,0,0,0,0,433.0,37.47653,126.981685,2021,954171.5993666354,1942048.627229427
517,202001,4호선,사당,106,1,9795,958,23552,16653,68806,22667,91027,35828,65540,29071,45703,24783,39939,30762,42223,32728,43846,30431,42436,30278,39450,35170,39700,45982,47878,61943,54327,97383,38479,73946,33571,39485,37180,35542,36061,34085,19695,22950,2678,8005,8,915,0,5,0,0,433.0,37.47653,126.981685,2020,954171.5993666354,1942048.627229427
518,201901,4호선,사당,128,1,10910,1095,25794,17314,78726,25375,99739,40942,75099,32729,47580,25646,42877,33403,44713,36417,47153,32306,45072,32012,42403,36172,42503,46540,48918,65859,58789,107076,41715,82768,36427,43634,41844,38552,39762,35945,21321,24668,2850,8522,2,960,0,0,0,0,433.0,37.47653,126.981685,2019,954171.5993666354,1942048.627229427
519,201801,4호선,사당,131,27,11426,1196,27255,17316,77575,23674,99798,41543,69966,32512,45953,24829,41014,31555,42669,33826,45350,31288,43808,29762,41102,33603,40038,42126,44277,60551,55108,100771,42103,83860,35621,42498,40593,36812,38032,35241,20167,24054,2674,8801,4,1010,0,0,0,0,433.0,37.47653,126.981685,2018,954171.5993666354,1942048.627229427
520,202201,4호선,삼각지,5,0,564,304,1756,3183,5735,7846,9376,16555,5766,9375,3853,6612,4211,7065,5146,7536,5823,7556,6129,6580,6376,7284,8026,8346,12345,10921,16211,14871,7399,8428,9021,4867,12535,7695,2263,3048,748,1258,1,97,0,0,0,0,0,0,428.0,37.534777,126.97311,2022,953449.5908213292,1948514.9886808333
521,202101,4호선,삼각지,4,2,504,257,1412,3244,3863,9039,5675,21678,3936,9030,2744,4968,2975,4513,3575,4607,4101,4626,4340,4532,4892,4575,5949,5153,11127,6472,18868,8721,7790,5642,6354,3364,6714,4301,1756,1580,490,789,0,99,0,0,0,0,0,0,428.0,37.534777,126.97311,2021,953449.5908213292,1948514.9886808333
522,202001,4호선,삼각지,4,1,565,591,1805,4690,4970,9388,8400,27442,5730,11549,4328,7731,4901,7709,5628,7995,7190,7662,7106,7068,7235,7318,8292,7927,12142,10052,25321,13567,10109,9551,7667,5670,7757,5042,5947,4708,3001,3473,376,1316,2,34,1,2,0,0,428.0,37.534777,126.97311,2020,953449.5908213292,1948514.9886808333
523,201901,4호선,삼각지,27,25,510,626,1743,4747,5669,10740,8516,30635,6170,13972,4549,9592,5171,8863,6260,8771,7570,8655,7913,7561,8172,7693,8981,8107,12938,10639,28189,14575,12285,10208,8749,5942,8552,5383,6356,5172,3163,3923,382,1439,0,18,0,0,0,0,428.0,37.534777,126.97311,2019,953449.5908213292,1948514.9886808333
524,201801,4호선,삼각지,35,27,705,555,1887,4813,5393,12180,8427,30698,5972,14500,4264,9450,4830,9567,6565,9546,8154,9434,8082,8461,8155,8016,8748,8292,12876,10013,27041,13819,13566,10092,9271,6271,8940,5574,6513,5247,3007,3818,307,1237,0,9,0,0,0,0,428.0,37.534777,126.97311,2018,953449.5908213292,1948514.9886808333
525,202201,4호선,상계,28,0,11287,152,29630,6666,73953,8416,67691,18016,38665,15717,27810,14927,24713,15086,25966,17983,25065,20173,22905,20389,22431,24749,23205,29450,22197,37375,20385,59039,12673,54080,9914,33192,10870,39588,7670,25574,1392,9804,0,66,0,0,0,0,0,0,410.0,37.660878,127.073572,2022,962388.9234839011,1962460.3115139608
526,202101,4호선,상계,25,0,10737,178,28048,5787,71436,7357,64189,16014,33766,13708,23451,12409,20358,12914,21428,15447,21210,16428,19224,17103,18667,20183,18689,25330,18569,33339,17757,55351,10829,53708,9241,32284,10724,34049,4519,19079,1222,8009,1,5,0,0,0,0,0,0,410.0,37.660878,127.073572,2021,962388.9234839011,1962460.3115139608
527,202001,4호선,상계,77,4,12095,196,32348,6935,90212,9387,82199,19682,46601,17761,33323,15813,31149,16774,32729,20312,31863,22661,27421,24091,25790,27473,25810,33983,27456,41642,26968,62750,17240,63993,12523,39851,11573,35900,12370,34146,4490,26213,753,7978,9,888,0,3,0,0,410.0,37.660878,127.073572,2020,962388.9234839011,1962460.3115139608
528,201901,4호선,상계,78,3,13252,163,35342,7998,101709,10012,92847,20978,51944,18948,37196,15571,32611,17126,35157,21109,32703,23416,28181,24395,26382,28692,27084,35099,29065,44454,28361,66173,18808,72687,12945,45783,11953,40710,12763,38695,4808,30622,660,9279,3,1001,0,0,0,0,410.0,37.660878,127.073572,2019,962388.9234839011,1962460.3115139608
529,201801,4호선,상계,56,18,13779,147,39189,7565,102109,8531,94209,20468,50291,18081,35645,15845,31964,16392,33220,19615,32918,22757,27066,23971,25648,27962,25641,33140,27110,43486,28200,64873,18557,74012,12421,48056,11974,41246,12108,39750,4473,30561,685,9522,2,931,0,0,0,0,410.0,37.660878,127.073572,2018,962388.9234839011,1962460.3115139608
