,종목코드,회사명,시장구분,업종,업종명,항목명,2022,2021,2020,cc,est_dt,induty_code,address,corp_code,corp_name,stock_code,rlgnm,gu,x,y
904,038870,에코바이오,코스닥시장상장법인,741,사업시설 유지ㆍ관리 서비스업,영업이익(손실),"823,571,661","1,452,519,137","1,012,817,342",00287812,19970804,741,서울 서초구 서초동 1302-7 토탈에코빌딩,00287812,에코바이오,038870,서울,서초구,0,0
912,064090,에프앤리퍼블릭,코스닥시장상장법인,468,상품 종합 도매업,영업이익(손실),"-7,850,172,376","-13,432,427,813","-22,802,892,021",00390408,19910930,468,"서울특별시 강남구 영동대로 701 8F(청담동, W타워)",00390408,웨스트라이즈,064090,서울특별시,강남구,127.056368592,37.520146644
914,173940,에프엔씨엔터,코스닥시장상장법인,901,창작 및 예술관련 서비스업,영업이익(손실),"-4,192,207,812","-7,322,138,804","-4,937,578,584",00925295,20061214,901,서울시 강남구 청담동 111,00925295,에프엔씨엔터,173940,서울시,강남구,0,0
922,236810,엔비티,코스닥시장상장법인,713,광고업,영업이익(손실),"3,143,199,280","-1,252,807,398","2,247,810,016",01051065,20120917,71310,서울특별시 서초구 서초대로38길 12 마제스타시티 타워원 14층,01051065,엔비티,236810,서울특별시,서초구,127.005356587,37.490469547
924,101400,엔시트론,코스닥시장상장법인,261,반도체 제조업,영업이익(손실),"652,341,287","-2,860,855,471","-5,818,485,732",00641393,20000404,2611,"서울특별시 강남구 언주로148길 19 4층(논현동, 청호빌딩)",00641393,엔시트론,101400,서울특별시,강남구,127.036071196,37.521050944
925,036570,엔씨소프트,유가증권시장상장법인,582,소프트웨어 개발 및 공급업,영업이익(손실),"375,213,171,049","824,793,705,694","478,992,418,793",00261443,19970311,582,서울특별시 강남구 테헤란로 509(삼성동),00261443,엔씨소프트,036570,서울특별시,강남구,127.058205471,37.507782561
927,031860,엔에스엔,코스닥시장상장법인,468,상품 종합 도매업,영업이익(손실),"-8,640,374,457","-6,360,929,243","-7,886,863,948",00180865,19790912,46800,"서울특별시 강남구 영동대로96길 20 7층(삼성동, 대화빌딩)",00180865,엔에스엔,031860,서울특별시,강남구,127.064213891,37.510776467
934,069410,엔텔스,코스닥시장상장법인,582,소프트웨어 개발 및 공급업,영업이익(손실),"2,446,137,285","4,272,902,932","2,783,299,228",00415707,20000719,58221,"서울특별시 강남구 학동로 401 15층(청담동, 금하빌딩)",00415707,엔텔스,069410,서울특별시,강남구,127.041755824,37.517684165
936,291230,엔피,코스닥시장상장법인,759,기타 사업 지원 서비스업,영업이익(손실),"905,658,242","3,745,534,202","3,300,774,401",01276901,20180206,759,서울특별시 강남구 언주로133길 27 더메이빌딩,01276901,엔피,291230,서울특별시,강남구,127.032997337,37.515893126
951,058970,엠로,코스닥시장상장법인,582,소프트웨어 개발 및 공급업,영업이익,"6,731,754,516","6,459,195,015","922,849,267",00396925,20000315,582,"서울특별시 영등포구 당산로41길 11, SK V1센터 E동 5층",00396925,엠로,058970,서울특별시,영등포구,126.898095205,37.530832136
952,169330,엠브레인,코스닥시장상장법인,714,시장 조사 및 여론 조사업,영업이익,"6,248,560,476","4,619,525,384","2,576,070,308",00877174,19981012,71400,서울특별시 강남구 강남대로 318,00877174,엠브레인,169330,서울특별시,강남구,127.031190223,37.491576828
956,323230,엠에프엠코리아,코스닥시장상장법인,143,편조의복 제조업,영업이익(손실),"-15,518,584,778","-3,800,808,404","4,801,908,102",01384477,20190404,143,"서울특별시 강남구 도곡로 204 동신빌딩 4층,5층",01384477,엠에프엠코리아,323230,서울특별시,강남구,127.041423181,37.492153707
958,033310,엠투엔,코스닥시장상장법인,259,기타 금속 가공제품 제조업,영업이익(손실),"-4,813,106,044","-1,900,645,985","412,710,640",00143226,19651210,25991,"서울특별시 중구 소공로 109 한화빌딩 13층(소공동, 한화빌딩)",00143226,엠투엔,033310,서울특별시,중구,126.978551635,37.564195309
960,065150,엠피대산,코스닥시장상장법인,463,음ㆍ식료품 및 담배 도매업,영업이익(손실),"-894,487,828","-7,389,690,816","-2,460,681,586",00390860,19950907,463,"서울특별시 서초구 서초중앙로 224 2층 205호(반포동,한양상가)",00390860,DSEN,065150,서울특별시,서초구,127.012325838,37.501747468
967,000670,영풍,유가증권시장상장법인,242,1차 비철금속 제조업,영업이익(손실),"-26,784,314,362","46,683,478,556","84,396,705,015",00141307,19491125,24213,서울특별시 강남구  강남대로 542,00141307,영풍,000670,서울특별시,강남구,127.022112122,37.510577255
972,053280,예스24,코스닥시장상장법인,479,무점포 소매업,영업이익(손실),"12,596,251,838","10,144,530,482","7,814,034,104",00362858,19990401,4791,서울특별시 영등포구 은행로 11,00362858,예스24,053280,서울특별시,영등포구,126.920279838,37.527945158
996,173130,오파스넷,코스닥시장상장법인,620,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",영업이익,"5,796,708,441","6,118,723,307","3,057,622,119",00867849,20041025,62021,"서울특별시 강남구 테헤란로 512 , 10층(대치동, 신안빌딩)",00867849,오파스넷,173130,서울특별시,강남구,127.059248564,37.507245372
997,049480,오픈베이스,코스닥시장상장법인,620,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",영업이익(손실),"5,402,347,945","3,662,033,479","2,316,685,527",00335076,19920916,62021,"서울특별시 서초구  매헌로 16 (양재동, 하이브랜드 리빙관4층)",00335076,오픈베이스,049480,서울특별시,서초구,127.037041107,37.463542438
1002,321820,와이더플래닛,코스닥시장상장법인,582,소프트웨어 개발 및 공급업,영업이익(손실),"-5,475,563,541","-4,033,201,141","-2,429,591,398",01116502,20100717,582,"서울특별시 강남구 테헤란로 211, 8층",01116502,와이더플래닛,321820,서울특별시,강남구,127.039155252,37.501820805
1008,193250,와이제이엠게임즈,코스닥시장상장법인,262,전자 부품 제조업,영업이익(손실),"-2,271,492,217","-2,710,326,167","2,062,961,274",01035678,20040521,2629,서울특별시 강남구 테헤란로77길 11-9 삼성타워 8층,01035678,와이제이엠게임즈,193250,서울특별시,강남구,127.053863260,37.506898655
1025,017370,우신시스템,유가증권시장상장법인,292,특수 목적용 기계 제조업,영업이익(손실),"-11,486,951,348","-3,556,316,279","1,858,383,314",00142883,19840223,292,서울특별시 영등포구  영등포로 20,00142883,우신시스템,017370,서울특별시,영등포구,126.883524717,37.522935816
1026,046940,우원개발,코스닥시장상장법인,421,기반조성 및 시설물 축조관련 전문공사업,영업이익(손실),"394,322,033","32,643,232,007","22,561,257,287",00363246,19981028,421,서울특별시 서초구 강남대로 279 백향빌딩 8층,00363246,우원개발,046940,서울특별시,서초구,127.031757445,37.488106483
1030,010400,우진아이엔에스,유가증권시장상장법인,422,건물설비 설치 공사업,영업이익(손실),"-6,727,170,261","1,773,652,029","880,296,142",00143262,19750127,422,서울특별시 서초구 방배로 166 한승빌딩 3층,00143262,우진아이엔에스,010400,서울특별시,서초구,126.993395980,37.488567800
1032,016880,웅진,유가증권시장상장법인,649,기타 금융업,영업이익(손실),"42,952,922,677","20,719,906,311","79,498,605,545",00143651,19830321,715,서울특별시 중구 청계천로 24 케이스퀘어 시티,00143651,웅진,016880,서울특별시,중구,126.980207811,37.568503640
1034,005820,원림,유가증권시장상장법인,132,직물 직조 및 직물제품 제조업,영업이익(손실),"3,192,709,036","5,424,322,792","4,181,832,494",00143794,19681028,13225,서울특별시 서초구  남부순환로 2495 원림빌딩 9층,00143794,원림,005820,서울특별시,서초구,127.023294409,37.483496269
1050,010600,웰바이오텍,유가증권시장상장법인,461,상품 중개업,영업손실,"-3,903,266,061","-12,572,108,243","-6,446,548,833",00141273,19750419,461,서울특별시 강남구 영동대로106길 17 5층,00141273,웰바이오텍,010600,서울특별시,강남구,127.062479948,37.513722593
1060,038620,위즈코프,코스닥시장상장법인,477,연료 소매업,영업이익(손실),"812,089,256","841,108,949","1,038,640,929",00264228,19950306,47711,"서울특별시 강남구  봉은사로 429 , 8층 ( 삼성동, 위즈빌딩)",00264228,위즈코프,038620,서울특별시,강남구,127.046806448,37.511432560
1061,299900,위지윅스튜디오,코스닥시장상장법인,591,"영화, 비디오물, 방송 프로그램 제작 및 배급업",영업이익(손실),"-3,954,732,702","1,849,297,172","6,631,458,880",01276327,20160415,59120,서울특별시 강남구 봉은사로22길 47  ;,01276327,위지윅스튜디오,299900,서울특별시,강남구,127.030367434,37.503936083
1068,014830,유니드,유가증권시장상장법인,201,기초 화학물질 제조업,영업이익(손실),"168,338,557,976","96,249,278,752","84,757,896,965",00159786,19800510,20129,서울특별시 중구  을지로5길 19,00159786,유니드,014830,서울특별시,중구,126.984209484,37.566978919
1071,000910,유니온,유가증권시장상장법인,233,"시멘트, 석회, 플라스터 및 그 제품 제조업",영업이익,"5,173,428,419","7,813,211,279","11,019,976,303",00144252,19521206,23311,서울특별시 중구  소공로 94 OCI빌딩 13층,00144252,유니온,000910,서울특별시,중구,126.980462760,37.563347622
1078,142210,유니트론텍,코스닥시장상장법인,465,기계장비 및 관련 물품 도매업,영업이익(손실),"10,065,913,610","6,249,229,683","10,209,218,584",00879020,19960619,46522,"서울특별시 강남구 영동대로 638 9층(삼성동, 삼보빌딩)",00879020,유니트론텍,142210,서울특별시,강남구,127.059309870,37.517093688
1080,206650,유바이오로직스,코스닥시장상장법인,212,의약품 제조업,영업이익(손실),"-7,229,530,888","-5,962,319,183","9,809,354,799",00927558,20100310,212,서울특별시 강남구 도산대로 207 성도빌딩 8층,00927558,유바이오로직스,206650,서울특별시,강남구,127.029078174,37.520425821
1082,032620,유비케어,코스닥시장상장법인,582,소프트웨어 개발 및 공급업,영업이익,"9,973,077,658","12,816,707,484","10,843,159,295",00220057,19941202,58221,서울특별시 영등포구 여의대로 108 파크원 타워 2,00220057,유비케어,032620,서울특별시,영등포구,126.927847603,37.527053956
1085,024800,유성티엔에스,코스닥시장상장법인,492,육상 여객 운송업,영업이익(손실),"1,759,204,848","3,533,767,509","7,445,658,113",00173999,19770810,492,"서울특별시 서초구  남부순환로 2583 9층(서초동, 서희타워)",00173999,유성티엔에스,024800,서울특별시,서초구,127.032971144,37.484828931
1086,000700,유수홀딩스,유가증권시장상장법인,715,회사 본부 및 경영 컨설팅 서비스업,영업이익(손실),"20,347,476,590","-15,196,368,259","-7,814,058,317",00163691,19500101,715,"서울특별시 영등포구 여의나루로 60 9층 (여의도동, 포스트타워)",00163691,유수홀딩스,000700,서울특별시,영등포구,126.926147838,37.522270134
1099,191410,육일씨엔에쓰,코스닥시장상장법인,262,전자 부품 제조업,영업이익(손실),"-11,349,179,892","-17,231,021,899","-9,153,380,462",00843900,20070314,262,서울특별시 영등포구 경인로 775 에이스하이테크시티 2동 2001호,00843900,육일씨엔에쓰,191410,서울특별시,영등포구,126.898618877,37.515051811
1101,072770,율호,코스닥시장상장법인,620,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",영업이익(손실),"2,478,952,607","1,545,108,050","1,588,601,798",00583026,19980303,620,서울특별시 서초구 서초대로 6 13층,00583026,율호,072770,서울특별시,서초구,126.982992021,37.485195492
1106,214320,이노션,유가증권시장상장법인,713,광고업,영업이익,"135,732,279,008","111,506,787,321","121,852,465,244",00565154,20050517,71310,서울특별시 강남구 강남대로 308,00565154,이노션,214320,서울특별시,강남구,127.031819579,37.490670554
1109,246960,이노테라피,코스닥시장상장법인,213,의료용품 및 기타 의약 관련제품 제조업,영업손실,"-4,537,809,208","-3,697,285,687","-3,900,672,066",01110182,20100419,213,서울특별시 영등포구 선유로13길 25 에이스하이테크시티 2차 1209호,01110182,이노테라피,246960,서울특별시,영등포구,126.886286204,37.519045586
1118,088260,이리츠코크렙,유가증권시장상장법인,681,부동산 임대 및 공급업,영업이익(손실),"16,367,627,858","16,271,880,059","16,228,571,135",00544452,20050726,68112,서울특별시 강남구 삼성로 511,00544452,이리츠코크렙,088260,서울특별시,강남구,127.055577821,37.507664136
1119,088260,이리츠코크렙,유가증권시장상장법인,681,부동산 임대 및 공급업,영업이익(손실),"16,271,880,059","16,228,571,135","16,169,825,355",00544452,20050726,68112,서울특별시 강남구 삼성로 511,00544452,이리츠코크렙,088260,서울특별시,강남구,127.055577821,37.507664136
1124,047560,이스트소프트,코스닥시장상장법인,582,소프트웨어 개발 및 공급업,영업이익(손실),"10,065,129,555","6,576,484,401","-2,835,907,410",00273420,19930924,58221,"서울특별시 서초구  반포대로 3 (서초동, 이스트빌딩)",00273420,이스트소프트,047560,서울특별시,서초구,127.012291457,37.480975516
1129,066980,이엔코퍼레이션,코스닥시장상장법인,639,기타 정보 서비스업,영업이익(손실),"3,994,439,009","293,881,094","1,503,256,386",00389998,19980924,639,서울특별시 강남구 도산대로 307 백영빌딩 6층,00389998,이엔코퍼레이션,066980,서울특별시,강남구,127.034898785,37.522273504
1136,102460,이연제약,유가증권시장상장법인,212,의약품 제조업,V. 영업이익,"3,739,195,891","4,149,719,254","6,621,882,176",00145598,19641125,212,"서울특별시 강남구 영동대로 416 8층 (대치동, 코스모타워)",00145598,이연제약,102460,서울특별시,강남구,127.065343707,37.506559932
1140,353810,이지바이오,코스닥시장상장법인,108,동물용 사료 및 조제식품 제조업,영업이익(손실),"16,779,466,342","15,198,062,187",,01480568,20200501,10801,서울특별시 강남구 강남대로 310 (역삼동 837-11) 유니온센터 3층,01480568,이지바이오,353810,서울특별시,강남구,127.031485710,37.490983291
1141,099750,이지케어텍,코스닥시장상장법인,582,소프트웨어 개발 및 공급업,영업이익(손실),"-3,965,510,047","-2,128,854,242","3,660,817,248",00490090,20010207,58222,"서울특별시 중구 퇴계로 307 4층, 5층, 6층(광희동1가,광희빌딩)",00490090,이지케어텍,099750,서울특별시,중구,127.005727680,37.564304981
1142,035810,이지홀딩스,코스닥시장상장법인,108,동물용 사료 및 조제식품 제조업,영업이익,"100,417,145,072","46,976,218,234","41,625,729,892",00242378,19880314,1080,서울특별시 강남구  강남대로 310 유니온센타3층,00242378,이지홀딩스,035810,서울특별시,강남구,127.031485710,37.490983291
1147,024810,이화전기,코스닥시장상장법인,281,"전동기, 발전기 및 전기 변환ㆍ공급ㆍ제어 장치 제조업",영업이익(손실),"-2,981,278,370","-3,667,521,973","608,837,840",00145738,19650603,2811,서울특별시 강남구  논현로 746 석호빌딩,00145738,이화전기,024810,서울특별시,강남구,127.029170993,37.518508890
1148,014990,인디에프,유가증권시장상장법인,141,봉제의복 제조업,영업이익(손실),"-22,118,833,674","-20,002,505,448","-1,579,169,180",00106881,19800908,14112,서울특별시 강남구  테헤란로104길 21,00106881,인디에프,014990,서울특별시,강남구,127.065727194,37.507613739
1149,041830,인바디,코스닥시장상장법인,271,의료용 기기 제조업,영업이익(손실),"35,851,757,987","19,096,757,174","27,626,226,953",00269922,19960515,27199,서울시 강남구 논현로2길 54(개포동 1164-21),00269922,인바디,041830,서울시,강남구,127.054375384,37.474078551
1153,033230,인성정보,코스닥시장상장법인,620,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",영업이익(손실),"1,987,821,577","2,902,695,541","3,463,663,699",00229021,19920210,62021,서울특별시 강남구 테헤란로 301 삼정빌딩 9층,00229021,인성정보,033230,서울특별시,강남구,127.043062532,37.503116773
1164,035080,인터파크,코스닥시장상장법인,479,무점포 소매업,영업이익(손실),"2,487,628,369","-4,630,492,054","45,164,128,609",00244561,19971001,479,서울특별시 강남구 삼성로 512서울특별시 강남구 삼성로 512 삼성동빌딩,00244561,그래디언트,035080,서울특별시,강남구,0,0
1171,115310,인포바인,코스닥시장상장법인,612,전기 통신업,영업이익,"6,370,597,284","8,094,823,566","9,516,147,164",00491415,20000214,61299,서울특별시 영등포구 여의대로 24 전국경제인연합회관 40층,00491415,인포바인,115310,서울특별시,영등포구,126.920045279,37.521693217
1176,249420,일동제약,유가증권시장상장법인,212,의약품 제조업,영업이익(손실),"-55,535,279,170","6,632,843,949","-1,372,527,630",01168383,20160801,21210,서울특별시 서초구 바우뫼로27길 2,01168383,일동제약,249420,서울특별시,서초구,127.037330973,37.477667782
1177,000230,일동홀딩스,유가증권시장상장법인,212,의약품 제조업,영업이익(손실),"-82,843,702,401","-9,214,716,010","-23,796,280,588",00146083,19410314,21210,서울특별시 서초구  바우뫼로27길 2 일동제약빌딩,00146083,일동홀딩스,000230,서울특별시,서초구,127.037330973,37.477667782
1180,003200,일신방직,유가증권시장상장법인,131,방적 및 가공사 제조업,영업이익(손실),"60,970,489,628","13,548,435,094","13,589,459,419",00146269,19511103,13101,서울특별시 영등포구  은행로 11,00146269,일신방직,003200,서울특별시,영등포구,126.920279838,37.527945158
1190,226320,잇츠한불,유가증권시장상장법인,204,기타 화학제품 제조업,영업이익(손실),"754,754,823","3,755,262,599","12,993,223,278",00911955,20060207,20423,서울특별시 강남구 학동로 311 주식회사 잇츠한불,00911955,잇츠한불,226320,서울특별시,강남구,127.036901817,37.516181298
1195,289220,자이언트스텝,코스닥시장상장법인,591,"영화, 비디오물, 방송 프로그램 제작 및 배급업",영업이익(손실),"-2,908,565,928","-1,503,025,319","-2,070,510,398",01264438,20080605,59113,서울특별시 강남구 학동로37길 8 &nbsp,01264438,자이언트스텝,289220,서울특별시,강남구,127.034677551,37.515760971
1196,317400,자이에스앤디,유가증권시장상장법인,681,부동산 임대 및 공급업,영업이익,"50,822,485,579","27,342,268,483","16,473,464,745",00367844,20000408,681,서울특별시 중구 퇴계로 173,00367844,자이에스앤디,317400,서울특별시,중구,126.991058511,37.561824080
1202,040420,정상제이엘에스,코스닥시장상장법인,855,일반 교습학원,영업이익(손실),"16,986,218,996","8,774,891,160","13,395,135,005",00287788,19930731,8550,서울특별시 강남구  영동대로 229,00287788,정상제이엘에스,040420,서울특별시,강남구,127.067438522,37.499537535
1203,045510,정원엔시스,코스닥시장상장법인,620,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",IV. 영업이익(손실),"1,063,706,989","1,145,098,900","1,766,491,830",00147772,19690627,465,서울특별시 강남구  도산대로1길 46 (신사동),00147772,정원엔시스,045510,서울특별시,강남구,127.019605218,37.519653235
1215,348950,제이알글로벌리츠,유가증권시장상장법인,681,부동산 임대 및 공급업,영업이익(손실),"23,403,723,514","22,316,308,420","-114,170,240",01415892,20191024,681,서울특별시 중구 을지로 100,01415892,제이알글로벌리츠,348950,서울특별시,중구,126.988142548,37.565648682
1216,348950,제이알글로벌리츠,유가증권시장상장법인,681,부동산 임대 및 공급업,영업이익(손실),"24,082,035,110","23,403,723,514","22,316,308,420",01415892,20191024,681,서울특별시 중구 을지로 100,01415892,제이알글로벌리츠,348950,서울특별시,중구,126.988142548,37.565648682
1226,036420,제이콘텐트리,유가증권시장상장법인,591,"영화, 비디오물, 방송 프로그램 제작 및 배급업",영업이익(손실),"-57,365,948,945","-58,839,780,989","33,834,426,952",00203315,19870928,591,서울특별시 강남구 도산대로 156,00203315,콘텐트리중앙,036420,서울특별시,강남구,127.025656833,37.518211633
1229,271980,제일약품,유가증권시장상장법인,212,의약품 제조업,영업이익(손실),"-10,530,151,061","12,904,372,878","234,015,638",01236897,20170601,21210,서울특별시 서초구 사평대로 343 제일약품 사옥,01236897,제일약품,271980,서울특별시,서초구,127.020403621,37.503629880
1232,002620,제일파마홀딩스,유가증권시장상장법인,715,회사 본부 및 경영 컨설팅 서비스업,영업이익(손실),"-8,974,887,678","22,481,192,400","9,530,308,844",00148443,19590307,715,서울특별시 서초구 사평대로 343,00148443,제일파마홀딩스,002620,서울특별시,서초구,127.020403621,37.503629880
1238,064800,젬백스링크,코스닥시장상장법인,474,"섬유, 의복, 신발 및 가죽제품 소매업",영업이익(손실),"1,732,019,303","3,702,119,863","5,871,845,112",00392691,20000406,474,"서울특별시 영등포구 영등포로 272 (영등포동3가, 젬백스링크타워) -",00392691,젬백스링크,064800,서울특별시,영등포구,126.911407660,37.518345683
1242,034940,조아제약,코스닥시장상장법인,212,의약품 제조업,영업이익(손실),"-7,002,665,054","-1,783,531,666","-366,384,485",00231831,19960315,21210,"서울특별시 영등포구 당산로2길 12 에이스테크노타워 101호(문래동3가, 에이스테크노타워1층)",00231831,조아제약,034940,서울특별시,영등포구,126.895503126,37.515083908
1247,044380,주연테크,유가증권시장상장법인,263,컴퓨터 및 주변 장치 제조업,영업이익(손실),"-542,222,576","503,726,175","-2,836,834,844",00269241,19880510,26310,서울특별시 서초구 사임당로 32 2층(서초동),00269241,주연테크,044380,서울특별시,서초구,127.013522816,37.487833814
1248,239340,줌인터넷,코스닥시장상장법인,631,"자료 처리, 호스팅, 포털 및 기타 인터넷 정보 매개 서비스업",영업이익,"6,738,768,476","1,407,931,773","908,596,929",01128622,20160212,631,서울특별시 서초구 반포대로 3 이스트빌딩 -,01128622,줌인터넷,239340,서울특별시,서초구,127.012291457,37.480975516
1259,051160,지어소프트,코스닥시장상장법인,582,소프트웨어 개발 및 공급업,영업이익(손실),"6,660,812,145","9,994,033,219","-129,606,437",00389110,19980813,58221,"서울특별시 종로구 종로1길 50 A동11층(중학동, 케이트윈타워)",00389110,지어소프트,051160,서울특별시,종로구,126.979616591,37.574765028
1274,011000,진원생명과학,유가증권시장상장법인,212,의약품 제조업,영업이익(손실),"-27,516,242,932","-18,459,101,152","-8,208,996,276",00118521,19760127,212,"서울특별시 영등포구 여의대로 108 20층(여의도동, 파크원NH금융타워(타워2))",00118521,진원생명과학,011000,서울특별시,영등포구,126.927847603,37.527053956
1275,085660,차바이오텍,코스닥시장상장법인,211,기초 의약 물질 및 생물학적 제제 제조업,영업이익(손실),"7,712,977,339","-2,446,838,471","5,837,297,229",00525679,20021105,21102,서울특별시 강남구 도산대로 442 청담동 피엔폴루스 3층,00525679,차바이오텍,085660,서울특별시,강남구,127.044076645,37.523361680
1282,047820,초록뱀미디어,코스닥시장상장법인,591,"영화, 비디오물, 방송 프로그램 제작 및 배급업",영업이익(손실),"4,190,456,683","-8,594,848,751","1,401,877,923",00299464,19980526,59114,"서울특별시 강남구 도산대로 414 14층(청담동, 한성청담빌딩)",00299464,초록뱀미디어,047820,서울특별시,강남구,127.041031449,37.522867900
1283,052300,초록뱀컴퍼니,코스닥시장상장법인,529,기타 운송관련 서비스업,영업이익(손실),"-1,453,854,382","-596,177,180","-3,768,654,403",00349811,19950817,468,"서울특별시 강남구 도산대로 414 14층(청담동, 한성청담빌딩)",00349811,초록뱀컴퍼니,052300,서울특별시,강남구,127.041031449,37.522867900
1284,094360,칩스앤미디어,코스닥시장상장법인,261,반도체 제조업,영업이익(손실),"5,199,382,483","2,380,813,796","3,594,631,528",00579971,20030306,261,"서울특별시 강남구 테헤란로 509 엔씨타워1  7층,8층",00579971,칩스앤미디어,094360,서울특별시,강남구,127.058205471,37.507782561
1294,223310,커머스마이너,코스닥시장상장법인,582,소프트웨어 개발 및 공급업,영업이익(손실),"-4,439,010,761","-4,484,761,690","73,015,626",01075126,20110119,468,서울특별시 강남구 언주로 702 경남제약타워 10층,01075126,커머스마이너,223310,서울특별시,강남구,127.035752254,37.515820925
1299,263700,케어랩스,코스닥시장상장법인,582,소프트웨어 개발 및 공급업,영업이익,"3,277,334,445","5,959,917,778","3,615,639,699",01187148,20120410,713,서울특별시 강남구 역삼로2길 16 S타워 11층,01187148,케어랩스,263700,서울특별시,강남구,127.031254834,37.492203654
1303,192250,케이사인,코스닥시장상장법인,582,소프트웨어 개발 및 공급업,영업이익(손실),"6,428,427,820","4,949,513,647","3,782,729,874",01003040,20131226,58221,"서울특별시 강남구 선릉로 577 b1,5층",01003040,케이사인,192250,서울특별시,강남구,127.043649339,37.509908873
1305,002380,케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,영업이익,"388,769,767,968","133,845,504,026","133,209,522,238",00105271,19580812,20411,서울특별시 서초구  사평대로 344 (주)케이씨씨 빌딩,00105271,케이씨씨,002380,서울특별시,서초구,127.020802279,37.502994563
1306,344820,케이씨씨글라스,유가증권시장상장법인,231,유리 및 유리제품 제조업,영업이익(손실),"160,451,158,221","35,839,370,802",,01428203,20200102,2311,서울특별시 서초구 강남대로 587(잠원동),01428203,케이씨씨글라스,344820,서울특별시,서초구,127.019486535,37.514160335
1307,009070,케이씨티시,유가증권시장상장법인,493,도로 화물 운송업,영업이익(손실),"29,603,505,899","20,961,616,726","19,010,561,371",00103042,19730720,49301,서울특별시 중구 남대문로 63 한진빌딩,00103042,케이씨티시,009070,서울특별시,중구,126.981363692,37.563079039
1309,093320,케이아이엔엑스,코스닥시장상장법인,631,"자료 처리, 호스팅, 포털 및 기타 인터넷 정보 매개 서비스업",영업이익(손실),"19,734,224,882","17,782,412,229","16,467,445,192",00603348,20000617,63112,"서울특별시 강남구 강남대로 636 7층, 10층(신사동, 두원빌딩)",00603348,케이아이엔엑스,093320,서울특별시,강남구,127.019293096,37.518580784
1312,039420,케이엘넷,코스닥시장상장법인,612,전기 통신업,영업이익(손실),"6,796,747,260","4,762,748,508","4,139,211,091",00246620,19940330,61299,서울 강남구 역삼로 155(역삼동 748-14),00246620,케이엘넷,039420,서울,강남구,0,0
1315,102370,케이옥션,코스닥시장상장법인,461,상품 중개업,영업이익(손실),"13,627,268,160","1,515,311,988","4,062,025,310",00668600,20050915,4610,"서울특별시 강남구 언주로172길 23, 신사동 아트타워",00668600,케이옥션,102370,서울특별시,강남구,127.035797318,37.527662769
1316,145270,케이탑리츠,유가증권시장상장법인,681,부동산 임대 및 공급업,영업이익(손실),"17,971,670,570","16,985,674,061","10,466,255,496",00861076,20101104,68112,서울특별시 영등포구 국제금융로 70 미원빌딩 19층 1901호,00861076,케이탑리츠,145270,서울특별시,영등포구,126.930666816,37.521507537
1344,069110,코스온,코스닥시장상장법인,204,기타 화학제품 제조업,영업이익,"-14,977,759,954","-14,675,286,929","555,275,734",00402989,19991207,20423,"서울특별시 강남구 영동대로 333 8층(대치동,동원빌딩)",00402989,코스온,069110,서울특별시,강남구,127.064870534,37.504152879
1345,071950,코아스,유가증권시장상장법인,320,가구 제조업,영업이익(손실),"-4,666,241,262","-2,100,348,365","3,099,206,622",00210856,19920724,320,서울특별시 영등포구 선유로52길 17,00210856,코아스,071950,서울특별시,영등포구,126.900197803,37.535506240
1364,031820,콤텍시스템,유가증권시장상장법인,620,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",영업이익(손실),"17,298,658,675","1,744,237,653","3,046,974,419",00186559,19830818,6201,서울특별시 영등포구  가마산로 343,00186559,콤텍시스템,031820,서울특별시,영등포구,126.897270959,37.499977797
1365,294570,쿠콘,코스닥시장상장법인,639,기타 정보 서비스업,영업이익,"16,824,625,841","11,238,744,762","6,237,778,225",01311055,20061214,582,"서울특별시 영등포구 영신로 220, KnK디지털타워 19층",01311055,쿠콘,294570,서울특별시,영등포구,126.904248128,37.526807751
1369,040350,큐로컴,코스닥시장상장법인,620,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",영업이익(손실),"-4,543,547,972","-5,072,826,627","-7,910,780,673",00346407,19970424,620,"서울특별시 강남구  테헤란로77길 7 (삼성동, 동원빌딩 4층)",00346407,큐로컴,040350,서울특별시,강남구,127.054495838,37.506926155
1370,051780,큐로홀딩스,코스닥시장상장법인,472,음ㆍ식료품 및 담배 소매업,영업이익(손실),"2,014,981,806","248,030,859","782,259,144",00296324,19871229,472,"서울특별시 강남구  테헤란로77길 7 (삼성동,동원빌딩4층)",00296324,큐로홀딩스,051780,서울특별시,강남구,127.054495838,37.506926155
1374,259960,크래프톤,유가증권시장상장법인,582,소프트웨어 개발 및 공급업,영업이익(손실),"639,639,249,890","773,870,752,325","359,296,286,722",00760971,20070326,5821,서울특별시 강남구 테헤란로 231,00760971,크래프톤,259960,서울특별시,강남구,127.041628345,37.503624540
1375,096240,크레버스,코스닥시장상장법인,855,일반 교습학원,영업이익,"31,194,760,607","16,921,170,474","22,641,000,500",00525882,20020605,855,서울특별시 강남구 테헤란로 521 파르나스타워 21층,00525882,크레버스,096240,서울특별시,강남구,127.060625246,37.509174478
