,종목코드,회사명,시장구분,업종,업종명,항목명,2022,2021,2020,cc,est_dt,induty_code,address,corp_code,corp_name,stock_code,rlgnm,gu,x,y
590,145990,삼양사,유가증권시장상장법인,107,기타 식품 제조업,영업이익,"82,553,000,000","111,573,000,000","81,564,000,000",00896285,20111103,10720,서울특별시 종로구 종로33길 31 삼양사,00896285,삼양사,145990,서울특별시,종로구,127.001516632,37.572441499
593,000070,삼양홀딩스,유가증권시장상장법인,649,기타 금융업,영업이익,"351,700,000,000","170,336,000,000","79,376,000,000",00126937,19241001,64992,서울특별시 종로구 종로33길 31,00126937,삼양홀딩스,000070,서울특별시,종로구,127.001516632,37.572441499
597,003720,삼영화학공업,유가증권시장상장법인,222,플라스틱 제품 제조업,영업이익(손실),"2,591,808,229","1,317,049,495","-905,742,853",00127255,19590410,2221,"서울특별시 종로구 청계천로 35 13층(서린동, 관정빌딩)",00127255,삼영,003720,서울특별시,종로구,126.981376171,37.569341486
599,004440,삼일씨엔에스,유가증권시장상장법인,233,"시멘트, 석회, 플라스터 및 그 제품 제조업",영업이익(손실),"13,578,850,935","-257,683,957","3,576,912,928",00109806,19651231,23325,서울특별시 중구 을지로5길 16 삼화타워 5층,00109806,삼일씨엔에스,004440,서울특별시,중구,126.984906866,37.566950752
600,000520,삼일제약,유가증권시장상장법인,212,의약품 제조업,영업이익(손실),"399,740,768","6,538,397,865","4,822,839,404",00128032,19471007,21210,"서울특별시 서초구  효령로 155 (방배동, 삼일제약 사옥)",00128032,삼일제약,000520,서울특별시,서초구,127.001236643,37.482324992
605,004690,삼천리,유가증권시장상장법인,352,연료용 가스 제조 및 배관공급업,영업이익,"69,998,065,700","94,564,154,009","85,565,315,738",00128555,19660707,35200,"서울특별시 영등포구  국제금융로6길 42 (여의도동, 삼천리빌딩)",00128555,삼천리,004690,서울특별시,영등포구,126.925573718,37.520942106
606,024950,삼천리자전거,코스닥시장상장법인,464,생활용품 도매업,영업이익,"10,845,931,913","10,903,084,302","-8,241,460,328",00128607,19790323,46465,서울특별시 강남구 테헤란로 445 (삼성동),00128607,삼천리자전거,024950,서울특별시,강남구,127.055830087,37.507040575
609,046390,삼화네트웍스,코스닥시장상장법인,591,"영화, 비디오물, 방송 프로그램 제작 및 배급업",영업이익(손실),"6,750,170,051","-206,716,896","173,531,136",00301112,19911012,59120,서울특별시 강남구 선릉로91길 8 신아트스페이스빌딩 5층,00301112,삼화네트웍스,046390,서울특별시,강남구,127.047914468,37.505093739
620,042940,상지카일룸,코스닥시장상장법인,411,건물 건설업,영업이익(손실),"-14,673,269,825","-3,099,301,367","591,244,963",00232007,19790621,411,"서울특별시 강남구 영동대로 741 9층(청담동, 은성빌딩)",00232007,상지카일룸,042940,서울특별시,강남구,127.053703072,37.524233760
623,007540,샘표,유가증권시장상장법인,649,기타 금융업,영업이익(손실),"21,904,156,438","41,110,653,286","29,530,642,938",00130091,19711209,64992,서울특별시 중구 충무로 2,00130091,샘표,007540,서울특별시,중구,126.993476132,37.561601324
624,248170,샘표식품,유가증권시장상장법인,107,기타 식품 제조업,영업이익(손실),"23,510,478,004","42,800,583,684","31,005,275,920",01167056,20160704,10743,"서울특별시 중구 충무로 2 8층 (필동1가, 매일경제빌딩)",01167056,샘표식품,248170,서울특별시,중구,126.993476132,37.561601324
632,043710,서울리거,코스닥시장상장법인,467,기타 전문 도매업,영업이익(손실),"2,852,079,375","-14,872,433,552","-4,545,738,410",00305570,19910302,467,서울특별시 강남구 논현로133길 9 거야빌딩,00305570,서울리거,043710,서울특별시,강남구,127.029288153,37.514911608
635,063170,서울옥션,코스닥시장상장법인,461,상품 중개업,영업이익(손실),"19,728,868,607","-412,008,308","-4,624,906,587",00410915,19981230,4610,서울 종로구 평창동 98,00410915,서울옥션,063170,서울,종로구,126.967754528,37.613842347
652,037350,성도이엔지,코스닥시장상장법인,721,"건축 기술, 엔지니어링 및 관련 기술 서비스업",영업이익,"16,883,775,550","19,246,894,201","19,008,641,402",00216498,19880513,721,서울특별시 강남구 영동대로106길 42,00216498,성도이엔지,037350,서울특별시,강남구,127.064675766,37.514036756
655,004980,성신양회,유가증권시장상장법인,233,"시멘트, 석회, 플라스터 및 그 제품 제조업",영업이익(손실),"30,023,204,984","21,195,353,796","20,762,748,750",00132804,19670316,23311,서울특별시 종로구  인사동5길 29,00132804,성신양회,004980,서울특별시,종로구,126.984841914,37.571987461
666,004490,세방전지,유가증권시장상장법인,282,일차전지 및 축전지 제조업,영업이익(손실),"99,704,951,541","86,348,974,704","105,678,424,154",00133858,19520910,28202,서울특별시 강남구 선릉로 433,00133858,세방전지,004490,서울특별시,강남구,127.048901599,37.503766842
667,011560,세보엠이씨,코스닥시장상장법인,422,건물설비 설치 공사업,영업이익,"8,591,768,646","7,069,126,711","-8,949,531,943",00133876,19780726,422,서울특별시 서초구  효령로 341,00133876,세보엠이씨,011560,서울특별시,서초구,127.021317166,37.486640300
672,052190,세영디앤씨,코스닥시장상장법인,901,창작 및 예술관련 서비스업,영업이익(손실),"-858,828,966","-4,706,521,234","-9,148,935,237",00347877,19941028,901,서울특별시 강남구 학동로 215 4층 401호(씨엘타워),00347877,세영디앤씨,052190,서울특별시,강남구,127.032570400,37.514863865
679,039310,세중,코스닥시장상장법인,752,여행사 및 기타 여행 보조 서비스업,영업이익(손실),"4,881,682,129","1,605,582,481","3,935,148,861",00264671,19951207,582,서울특별시 종로구 창경궁로 143 세중타워 6층,00264671,세중,039310,서울특별시,종로구,126.997121002,37.575232426
683,234340,세틀뱅크,코스닥시장상장법인,639,기타 정보 서비스업,영업이익(손실),"15,287,940,649","10,657,835,807","13,432,507,477",00763701,20001009,63999,"서울특별시 강남구 테헤란로34길 6, 9~10층  ;",00763701,헥토파이낸셜,234340,서울특별시,강남구,127.039885944,37.501063237
691,053110,소리바다,코스닥시장상장법인,631,"자료 처리, 호스팅, 포털 및 기타 인터넷 정보 매개 서비스업",영업이익(손실),"-3,719,699,549","-9,421,411,575","-7,458,717,677",00352718,19980813,631,"서울특별시 강남구 도산대로 217 3층(신사동, 강남빌딩)",00352718,소리바다,053110,서울특별시,강남구,127.030559787,37.520825945
692,032680,소프트센,코스닥시장상장법인,465,기계장비 및 관련 물품 도매업,영업이익(손실),"20,571,461,479","4,380,998,999","247,278,771",00204226,19880411,639,"서울특별시 서초구 반포대로 13 1층 (서초동, 아이티센빌딩)",00204226,소프트센,032680,서울특별시,서초구,127.011899997,37.481876770
698,035610,솔본,코스닥시장상장법인,715,회사 본부 및 경영 컨설팅 서비스업,영업이익(손실),"15,663,181,185","7,272,034,079","314,829,373",00249982,19940805,715,"서울특별시 강남구  학동로95길 51 청담동,청담스포피아",00249982,솔본,035610,서울특별시,강남구,127.052789337,37.522291162
700,304100,솔트룩스,코스닥시장상장법인,582,소프트웨어 개발 및 공급업,III. 영업이익(손실),"-3,877,938,673","355,527,741","25,138,761",01050738,19810817,582,서울특별시 강남구 언주로 538,01050738,솔트룩스,304100,서울특별시,강남구,127.041227143,37.506381324
