,id,name,gu_nm,platplc,y,x,est_yyyymmdd,lcd,qr,count,x_5179,y_5179
757,1560, 도봉세무서 앞,강북구,서울특별시 강북구 도봉로 117 도봉세무서,37.6198082,127.0285263,2020-03-27,0.0,10.0,10.0,958392.9588240709,1957922.7926079254
758,1564,4.19민주묘지역 1번출구,강북구,서울특별시 강북구 삼양로 522,37.64959717,127.0138474,2020-03-25,0.0,7.0,7.0,957114.6778951598,1961234.3740646527
759,1565,수유사거리,강북구,서울특별시 강북구 수유동 45-33,37.63561249,127.022995,2020-03-25,0.0,15.0,15.0,957913.737300025,1959678.682280463
760,1568,4.19민주묘지 입구사거리,강북구,서울특별시 강북구 삼양로 504 광리빌딩,37.64793396,127.0145721,2020-03-25,0.0,10.0,10.0,957177.65179824,1961049.515696564
761,1569,수유역2번출구,강북구,서울특별시 강북구 도봉로 342,37.63796997,127.0259018,2020-03-28,0.0,10.0,10.0,958171.5280858364,1959938.9358341254
762,1571,북서울 꿈의 숲 입구,강북구,서울특별시 강북구 오현로20길 46,37.62673187,127.0387726,2020-05-08,0.0,10.0,10.0,959300.9636907484,1958686.4526419535
763,1572, 우이동 먹거리마을,강북구,서울특별시 강북구 우이동 207-14,37.66446304,127.0118408,2020-05-08,0.0,10.0,10.0,956946.2523270851,1962884.611615839
764,1573,현대성우아파트 옆,강북구,서울특별시 강북구 삼양로24길 19 현대성우아파트,37.61666489,127.02211,2020-05-05,0.0,10.0,10.0,957824.9484477474,1957576.9189828036
765,1574,송중초등학교 옆,강북구,서울특별시 강북구 미아동 98-5,37.61669922,127.0304947,2020-05-05,0.0,8.0,8.0,958564.9436670963,1957576.9935015119
766,3703,삼양입구삼거리,강북구,서울특별시 강북구 솔샘로 326 대한예수교장로회 신성교회,37.61708832,127.0280991,2020-11-04,0.0,10.0,10.0,958353.7415717599,1957621.2226886253
767,3707, 드래곤타워 앞,강북구,서울특별시 강북구 도봉로 348-1 구두수선대-15,37.63713455,127.0313797,2020-11-04,0.0,10.0,10.0,958654.3690359645,1959843.821073011
768,3711, 월계2교 교차로,강북구,서울특별시 강북구 번동 259,37.6242218,127.0492172,2020-11-04,0.0,10.0,10.0,960221.2700013791,1958403.4923688627
