,sgg_nm,bjd_nm,sggbjd_nm,202001,202101,202201,y,x,x_5179,y_5179
96,동대문구,장안2동,동대문구 장안2동,33203,33282,32802,37.578483,127.0706,962084.9707855205,1953320.1368480122
97,동대문구,이문1동,동대문구 이문1동,22173,21027,20784,37.597849,127.06545,961640.1755158601,1955470.7910426394
98,동대문구,이문2동,동대문구 이문2동,21165,20876,20405,37.6033571,127.065075,961609.9027087307,1956082.042438511
99,동대문구,답십리1동,동대문구 답십리1동,29759,29540,29379,37.5717963,127.0512678,960374.4302112524,1952586.2588890782
101,중랑구,면목2동,중랑구 면목2동,25915,25135,24388,37.589799,127.07905,962836.7157165492,1954572.2138585316
102,중랑구,면목4동,중랑구 면목4동,20041,19541,19290,37.5746736,127.0855775,963405.591345008,1952891.5645222953
103,중랑구,면목5동,중랑구 면목5동,9788,14754,14910,37.5857842,127.079511,962875.4209785494,1954126.6092955552
104,중랑구,면목7동,중랑구 면목7동,22454,22682,22081,37.5789945,127.0869854,963532.0198878085,1953370.3986432573
105,중랑구,상봉1동,중랑구 상봉1동,25482,24863,24179,37.5998799,127.0872004,963561.1875107759,1955687.447388663
106,중랑구,상봉2동,중랑구 상봉2동,19912,20309,20597,37.592892,127.0808518,962997.3185392866,1954914.655750375
107,중랑구,중화1동,중랑구 중화1동,20889,20350,19757,37.6011745,127.080623,962981.223419318,1955833.6498453335
108,중랑구,중화2동,중랑구 중화2동,27061,26022,25318,37.5993838,127.0795427,962884.9743881072,1955635.4065327938
109,중랑구,묵1동,중랑구 묵1동,35927,35508,34685,37.6123734,127.0784729,962797.0095368776,1957076.966408839
110,중랑구,묵2동,중랑구 묵2동,19902,19657,18912,37.6059528,127.0783313,962781.3128205071,1956364.6860310496
111,중랑구,망우3동,중랑구 망우3동,17915,17488,16654,37.5919108,127.0949497,964241.4264826768,1954800.3354234917
112,중랑구,신내1동,중랑구 신내1동,40785,39650,38668,37.605882,127.099538,964653.1017597042,1956348.6360407725
113,중랑구,신내2동,중랑구 신내2동,21850,21251,20444,37.6061896,127.0942306,964184.7879906993,1956384.7741426886
114,중랑구,면목본동,중랑구 면목본동,36163,35341,34159,37.5873592,127.0874227,963574.7081972508,1954298.2502302062
115,중랑구,면목3.8동,중랑구 면목3.8동,26587,26007,25149,37.584966,127.093467,964107.1956947742,1954030.4099276196
116,중랑구,망우본동,중랑구 망우본동,31135,30779,32936,37.6005732,127.1014684,964820.9899342126,1955758.9247613093
118,성북구,돈암1동,성북구 돈암1동,15880,15335,14775,37.6034071,127.0263875,958195.0309729802,1956104.1109930747
119,성북구,돈암2동,성북구 돈암2동,24980,24604,23926,37.598039,127.0105659,956795.3724321012,1955515.7059254195
120,성북구,안암동,성북구 안암동,17468,16403,16468,37.5858498,127.0213292,957738.6125466069,1954158.4730288803
121,성북구,보문동,성북구 보문동,16634,16086,15728,37.580383,127.0228,957865.3878158388,1953551.2970801825
122,성북구,정릉1동,성북구 정릉1동,19425,18883,18359,37.6014512,127.0166146,957331.2713946461,1955891.508598361
123,성북구,정릉2동,성북구 정릉2동,23819,23734,23244,37.6044729,127.0111047,956846.6516123903,1956229.2710110976
124,성북구,정릉3동,성북구 정릉3동,17206,16713,16186,37.6089578,127.004186,956238.5820967907,1956730.0538393727
125,성북구,정릉4동,성북구 정릉4동,26711,25879,25274,37.6133387,127.0069798,956487.721909037,1957214.7976743174
126,성북구,길음1동,성북구 길음1동,37051,36479,35535,37.6104856,127.0193925,957581.6105721293,1956892.577253186
127,성북구,길음2동,성북구 길음2동,16796,17150,16751,37.6066647,127.0273155,958278.7639209619,1956465.1145923466
128,성북구,월곡1동,성북구 월곡1동,27471,27092,26516,37.6105472,127.0357574,959026.0177604973,1956892.1431523575
129,성북구,월곡2동,성북구 월곡2동,20582,20359,19877,37.6057667,127.0478758,960093.0376071585,1956356.5478153918
130,성북구,장위1동,성북구 장위1동,20532,22437,24470,37.6141245,127.0437129,959730.1019132325,1957285.5866524284
131,성북구,장위2동,성북구 장위2동,13982,14075,13985,37.6123899,127.0545206,960683.0338776859,1957088.558921342
132,성북구,장위3동,성북구 장위3동,17871,17002,15949,37.6165512,127.056603,960869.0032500718,1957549.366967418
133,성북구,성북동,성북구 성북동,17587,17406,17014,37.5911237,127.0032875,956148.8122087022,1954751.858066272
134,성북구,삼선동,성북구 삼선동,25702,24039,23427,37.5908326,127.0146297,957149.9731435222,1954714.3267251826
135,성북구,동선동,성북구 동선동,16345,16146,16057,37.5939824,127.0203666,957658.2325427535,1955061.1806234652
136,성북구,종암동,성북구 종암동,42067,41178,40299,37.5990075,127.0351572,958966.7055274342,1955612.1268301075
137,성북구,석관동,성북구 석관동,36576,36392,35807,37.612957,127.061413,961291.6379551067,1957148.6118551854
139,강북구,번1동,강북구 번1동,19635,19353,18703,37.6378913,127.0288473,958431.3596975686,1959928.8985858301
140,강북구,번2동,강북구 번2동,17062,16511,15881,37.6323588,127.0387953,959306.0349936346,1959310.7282103933
141,강북구,번3동,강북구 번3동,18181,17514,16872,37.625874,127.04665,959995.6151006387,1958587.8883736874
142,강북구,수유1동,강북구 수유1동,21802,21458,20861,37.6300865,127.0176014,957434.7039385218,1959068.0279307014
143,강북구,수유2동,강북구 수유2동,21929,21627,21401,37.6447027,127.0198777,957643.8567866893,1960688.6101318488
144,강북구,수유3동,강북구 수유3동,24037,23932,23373,37.638715,127.023125,957926.9568084433,1960022.8357119663
145,강북구,삼양동,강북구 삼양동,25497,24657,23775,37.6250518,127.0197725,957623.4175438742,1958508.4652665572
146,강북구,미아동,강북구 미아동,22791,22724,21961,37.6270736,127.0269791,958260.4818941245,1958729.5462206465
147,강북구,송중동,강북구 송중동,31272,30921,30026,37.616099,127.033738,958850.8441332427,1957508.9749025423
148,강북구,송천동,강북구 송천동,28606,27788,26718,37.618282,127.023838,957978.3600244682,1957755.5556143473
149,강북구,삼각산동,강북구 삼각산동,32852,32024,31383,37.6151568,127.0207209,957701.5016902805,1957410.2277323639
150,강북구,우이동,강북구 우이동,21374,21063,20612,37.6479523,127.0118533,956937.8201352609,1961052.7951337737
151,강북구,인수동,강북구 인수동,32441,31408,30545,37.6415105,127.0106307,956826.2386422249,1960338.6625466838
153,도봉구,쌍문1동,도봉구 쌍문1동,22366,21939,21666,37.6480275,127.0261145,958195.930822441,1961054.686868514
154,도봉구,쌍문2동,도봉구 쌍문2동,19968,19331,18837,37.6579935,127.0389254,959331.4933228707,1962154.7468830359
155,도봉구,쌍문3동,도봉구 쌍문3동,17263,16891,16805,37.6489775,127.0278643,958350.8218056043,1961159.3075596136
156,도봉구,쌍문4동,도봉구 쌍문4동,19820,19215,18628,37.656482,127.028425,958404.4701674756,1961991.6566202764
157,도봉구,방학1동,도봉구 방학1동,29979,29187,28907,37.6641763,127.0407251,959493.5941131735,1962839.928520503
158,도봉구,방학2동,도봉구 방학2동,21093,20420,19841,37.6681842,127.0351005,958999.7264712394,1963287.0364984837
159,도봉구,방학3동,도봉구 방학3동,28673,27870,27083,37.6591685,127.028036,958371.6580372815,1962289.8872119118
160,도봉구,창1동,도봉구 창1동,26192,25319,24788,37.6483046,127.0438683,959762.2501701765,1961077.6659767283
161,도봉구,창2동,도봉구 창2동,30510,29801,29321,37.6414033,127.0356387,959032.480117279,1960315.5543676915
162,도봉구,창3동,도봉구 창3동,14739,14389,13923,37.6381278,127.0429556,959676.2349024768,1959948.9801359545
163,도봉구,창4동,도봉구 창4동,27794,27173,26578,37.6522276,127.0515994,960446.335024681,1961509.6201523773
164,도봉구,창5동,도봉구 창5동,25787,25200,24687,37.6563436,127.0436793,959749.9167078042,1961969.645290445
165,도봉구,도봉1동,도봉구 도봉1동,22235,21757,21219,37.6786913,127.0434369,959740.6089872443,1964449.1529081645
166,도봉구,도봉2동,도봉구 도봉2동,28613,27857,26885,37.669751,127.046575,960012.5281939734,1963455.9119374321
168,노원구,월계1동,노원구 월계1동,23818,22903,22174,37.6199197,127.0630165,961436.7548406015,1957920.4332712423
169,노원구,월계2동,노원구 월계2동,27641,27493,26662,37.6325377,127.0508,960365.3591300191,1959325.437998227
170,노원구,월계3동,노원구 월계3동,31550,30668,29999,37.6210475,127.0692485,961987.2979367657,1958043.0156504274
171,노원구,공릉2동,노원구 공릉2동,40957,40235,41837,37.621332,127.083488,963244.0427249265,1958068.9080022196
172,노원구,하계1동,노원구 하계1동,29223,27836,26940,37.6405374,127.0725852,962291.6034609384,1960203.9940028356
173,노원구,하계2동,노원구 하계2동,23287,22682,21981,37.6320048,127.0679733,961880.3606489011,1959259.1996900595
174,노원구,중계본동,노원구 중계본동,25821,24856,23960,37.64784,127.080338,962979.2168875358,1961011.1012839936
175,노원구,중계1동,노원구 중계1동,28042,27544,26817,37.6525986,127.0775275,962733.6634230427,1961540.1630284134
176,노원구,중계4동,노원구 중계4동,21234,20698,19954,37.6587275,127.0780091,962779.2051968549,1962219.9508411856
177,노원구,상계1동,노원구 상계1동,40128,39110,38181,37.6799006,127.0549781,960758.945609057,1964578.426678849
178,노원구,상계2동,노원구 상계2동,21143,20673,20137,37.6574727,127.0678377,961881.4130075164,1962084.8209689138
179,노원구,상계5동,노원구 상계5동,25423,24708,24008,37.6627392,127.069498,962030.5417481463,1962668.446946617
180,노원구,상계8동,노원구 상계8동,23830,22926,22567,37.6667854,127.0515874,960452.9995946966,1963124.7624248909
181,노원구,상계9동,노원구 상계9동,21879,21066,20506,37.664553,127.0638347,961531.9830472942,1962871.9900787207
182,노원구,상계10동,노원구 상계10동,16575,18272,18702,37.661274,127.060225,961211.9143260921,1962509.6833789614
183,노원구,상계3.4동,노원구 상계3.4동,26295,27115,26173,37.6729133,127.0832665,963249.9199594057,1963791.7422716876
184,노원구,상계6.7동,노원구 상계6.7동,34647,33509,32682,37.654882,127.0669541,961802.1480826592,1961797.751659085
185,노원구,중계2.3동,노원구 중계2.3동,36666,35452,34224,37.6421829,127.0687126,961950.7834323669,1960388.119421594
186,노원구,공릉1동,노원구 공릉1동,38989,38152,37327,37.624874,127.073838,962394.238999767,1958465.7007032523
188,은평구,녹번동,은평구 녹번동,38457,37790,37162,37.6021944,126.9298245,949670.6959223219,1956016.9426870495
189,은평구,불광1동,은평구 불광1동,40840,39907,38728,37.6103876,126.9320747,949874.8209030022,1956924.7421160513
190,은평구,갈현1동,은평구 갈현1동,24473,23333,21970,37.623707,126.916675,948524.81229946,1958410.8145263798
191,은평구,갈현2동,은평구 갈현2동,30140,29167,28526,37.6185866,126.9158385,948447.4593995905,1957843.1836700519
192,은평구,구산동,은평구 구산동,33824,32945,32420,37.6117455,126.9103893,947961.7930845362,1957087.1956513554
193,은평구,대조동,은평구 대조동,27902,27578,27204,37.614165,126.920813,948883.4384482458,1957349.90297377
194,은평구,응암1동,은평구 응암1동,25638,31277,33274,37.6006884,126.926813,949403.8490621299,1955851.476484287
195,은평구,응암2동,은평구 응암2동,25602,27752,28186,37.5946071,126.9230926,949071.2955145795,1955178.7921567417
196,은평구,신사1동,은평구 신사1동,28475,27741,27206,37.5978445,126.9117735,948074.2995304338,1955544.1671797473
197,은평구,신사2동,은평구 신사2동,21808,20956,20278,37.5902796,126.9084195,947772.9355975967,1954706.732133949
198,은평구,증산동,은평구 증산동,16145,15483,15002,37.5843063,126.9070404,947646.9984651066,1954044.787226133
199,은평구,수색동,은평구 수색동,8895,11327,12965,37.5835192,126.8936659,946465.575422338,1953964.9999310314
200,은평구,진관동,은평구 진관동,57914,57104,55934,37.634983,126.9210512,948918.709335441,1959659.4564000054
201,은평구,불광2동,은평구 불광2동,29486,28635,27775,37.6208567,126.9257389,949322.7231244276,1958089.6513209657
202,은평구,응암3동,은평구 응암3동,26029,25518,24616,37.5922474,126.9157268,948419.4168836935,1954921.0131031966
203,은평구,역촌동,은평구 역촌동,48355,46902,45732,37.6044046,126.915114,948373.718320172,1956270.1423807607
205,서대문구,천연동,서대문구 천연동,18662,18007,17341,37.5711247,126.9590332,952229.111446951,1952554.6426000504
206,서대문구,홍제1동,서대문구 홍제1동,24962,24584,23840,37.5876988,126.9448779,950989.9618416075,1954400.7548888864
207,서대문구,홍제3동,서대문구 홍제3동,16364,15891,16199,37.5938295,126.9496737,951417.3572033178,1955078.437965327
208,서대문구,홍제2동,서대문구 홍제2동,14562,14295,13756,37.586107,126.949338,951382.6982926541,1954221.8338132077
209,서대문구,홍은1동,서대문구 홍은1동,23165,23338,22940,37.5989056,126.9471111,951194.4454637473,1955642.9386306815
210,서대문구,홍은2동,서대문구 홍은2동,28370,27691,27205,37.5801972,126.9342509,950046.7160920352,1953574.0833022445
211,서대문구,남가좌1동,서대문구 남가좌1동,16842,16099,15615,37.573295,126.9197232,948759.2399671982,1952816.1389741017
212,서대문구,남가좌2동,서대문구 남가좌2동,27071,30875,30823,37.5784658,126.9238889,949130.6088664847,1953387.5524412042
213,서대문구,북가좌1동,서대문구 북가좌1동,19079,18544,18062,37.57429,126.910194,947918.4588592781,1952931.769303718
214,서대문구,북가좌2동,서대문구 북가좌2동,33790,32937,31822,37.5815,126.9112,948012.3055955932,1953731.1300921806
215,서대문구,충현동,서대문구 충현동,18121,21221,20738,37.5648265,126.9546863,951841.1940035643,1951858.1062325996
216,서대문구,북아현동,서대문구 북아현동,17494,16941,16188,37.5595,126.957025,952044.3213048027,1951265.9612215867
217,서대문구,신촌동,서대문구 신촌동,24358,22895,23738,37.5640923,126.9418114,950703.6677156116,1951783.3259632564
218,서대문구,연희동,서대문구 연희동,41272,39014,37656,37.5739083,126.9351754,950124.1516082025,1952875.8670286054
220,마포구,용강동,마포구 용강동,22452,22276,22124,37.5422119,126.9426766,950765.6859360668,1949355.3513665062
221,마포구,대흥동,마포구 대흥동,13589,15850,15797,37.5557827,126.9424619,950755.648176084,1950861.0752593821
222,마포구,염리동,마포구 염리동,13392,12853,17736,37.547083,126.94565,951031.5465519166,1949894.2219261548
223,마포구,신수동,마포구 신수동,23971,23523,22878,37.5471182,126.9351878,950107.3848843582,1949903.627978546
224,마포구,서교동,마포구 서교동,25971,26954,26461,37.5551015,126.914588,948293.20360514,1950800.467618601
225,마포구,합정동,마포구 합정동,19097,18554,17659,37.5516561,126.9118888,948052.401778004,1950419.705378598
226,마포구,망원1동,마포구 망원1동,21856,21104,20329,37.5556222,126.9055969,947499.4183461143,1950863.2207161386
227,마포구,망원2동,마포구 망원2동,19414,19175,18733,37.5602495,126.9023578,947216.5868444835,1951378.412008761
228,마포구,연남동,마포구 연남동,16871,16647,15878,37.564501,126.922027,948956.6755198353,1951839.2312038816
229,마포구,성산1동,마포구 성산1동,20123,19667,19195,37.5634083,126.90785,947703.8673417566,1951725.795847259
230,마포구,성산2동,마포구 성산2동,41570,40669,39920,37.568618,126.9090061,947809.6049777116,1952303.1454735142
231,마포구,상암동,마포구 상암동,32795,31879,31453,37.578325,126.8946875,946552.0621573615,1953388.1436991664
232,마포구,도화동,마포구 도화동,22604,21945,21343,37.5415123,126.9498798,951401.5723439608,1949273.986961082
233,마포구,서강동,마포구 서강동,26115,25335,25582,37.5477577,126.9321095,949835.88989874,1949976.2153605008
234,마포구,공덕동,마포구 공덕동,40582,38644,37803,37.550192,126.960025,952303.3518388916,1950231.759121737
235,마포구,아현동,마포구 아현동,25401,26296,25635,37.547125,126.95215,951605.7551486477,1949895.5158565557
237,양천구,목1동,양천구 목1동,32183,31605,30841,37.5303777,126.8712323,944445.4087087275,1948082.21393564
238,양천구,목2동,양천구 목2동,31526,30699,30142,37.5461131,126.8717128,944499.528027564,1949827.6957012292
239,양천구,목3동,양천구 목3동,23120,22607,21969,37.5448009,126.8644431,943856.3597815126,1949686.4297029153
240,양천구,목4동,양천구 목4동,26892,26133,25578,37.532425,126.86835,944192.2667513434,1948311.0580867685
241,양천구,신월1동,양천구 신월1동,21725,21212,20686,37.532808,126.831487,940935.600377914,1948376.0636978804
242,양천구,신월2동,양천구 신월2동,22111,21416,20790,37.5249763,126.8444512,942074.9691667197,1947499.111834768
243,양천구,신월3동,양천구 신월3동,16656,15879,15316,37.5336234,126.8291541,940730.1270811689,1948467.9962038628
244,양천구,신월4동,양천구 신월4동,19009,18446,17961,37.5246218,126.8401341,941693.2250532911,1947462.4491812887
245,양천구,신월5동,양천구 신월5동,15554,15126,14776,37.5386227,126.8271621,940558.0984162694,1949023.9024370436
246,양천구,신월6동,양천구 신월6동,6583,13846,13937,37.5180328,126.8451512,942131.4599658428,1946728.3348188677
247,양천구,신월7동,양천구 신월7동,21567,20568,19820,37.5219343,126.8346571,941207.1541909473,1947167.6936134833
248,양천구,신정1동,양천구 신정1동,21606,21023,20473,37.5185289,126.8542636,942937.1032641248,1946777.8082118838
249,양천구,신정2동,양천구 신정2동,20705,20147,19570,37.5192314,126.870679,944388.2478831561,1946845.9162964108
250,양천구,신정3동,양천구 신정3동,48158,46710,49997,37.5151685,126.8547892,942980.9935021112,1946404.6706385424
251,양천구,신정6동,양천구 신정6동,25267,25000,24551,37.5170414,126.8644471,943835.9008968875,1946606.6495402448
252,양천구,신정7동,양천구 신정7동,30869,30023,29076,37.514393,126.8597007,943414.4551000713,1946315.6676580312
253,양천구,목5동,양천구 목5동,42951,42257,41222,37.5371201,126.8816206,945368.192076154,1948824.1635661589
254,양천구,신정4동,양천구 신정4동,35541,34133,33392,37.5245455,126.8558042,943077.8168240676,1947444.385777084
256,강서구,염창동,강서구 염창동,42601,41982,41725,37.553751,126.8709777,944440.261457145,1950675.519163031
