grid_idx,pp_pop,pp_od,pp_drr,bs_ebit,geometry_grids,sigungunm,platplc,x,y,x_5179,y_5179,bdnm,bd_platarea,bd_archarea,bd_totarea,bd_totflrcnt,bd_elvtent,bs_gas,bs_elct,bd_height,bd_ilp,bd_vintage,count,geometry,gwr_const,gwr_bs_elct,gwr_bs_ebit,gwr_bd_height,gwr_bd_vintage,gwr_pp_od,gwr_pp_pop,gwr_r2,cbdness,sim,cbdi
31268,0.6766593066156266,2.4017548173179266,0.3869291559715406,0.6887858114491023,"POLYGON ((957835.230213883 1944365.54807064, 957835.230213883 1944465.54807064, 957935.230213883 1944465.54807064, 957935.230213883 1944365.54807064, 957835.230213883 1944365.54807064))",서초구,서울특별시 서초구 서초동 1316-3번지,127.024016736,37.497902744,957926.5008388404,1944400.0316063224,NoData,-0.0556909056286324,-0.3354058334360807,-0.4629838334324478,-0.9211116996801204,-0.200041736889992,-0.2360332766074689,-0.2182915568043992,-0.5165057142408616,1.3576238793285502,0.7494190052230892,4.0,"POLYGON ((957835.230213883 1944365.54807064, 957835.230213883 1944465.54807064, 957935.230213883 1944465.54807064, 957935.230213883 1944365.54807064, 957835.230213883 1944365.54807064))",-6.522735408909716,-0.1357585292784721,0.6329162938117598,0.670995834914088,0.3911283855814368,2.946543590838913,0.7223180823676809,0.8884313698494473,0.9001252271657295,0.5833570472521914,0.525094394676608
31272,0.977592586488022,2.2442474044058565,0.844020194213864,0.8036777438573711,"POLYGON ((957835.230213883 1944765.54807064, 957835.230213883 1944865.54807064, 957935.230213883 1944865.54807064, 957935.230213883 1944765.54807064, 957835.230213883 1944765.54807064))",서초구,서울특별시 서초구 서초동 1309-5번지,127.024018287,37.501686889,957928.7611470775,1944819.8577301872,대원빌딩,-0.1083429425549069,-0.7570801619561279,-0.5753697085199844,-1.0251740519561154,0.0175237487045277,-0.2481827361606801,-0.3077670647239097,-0.344703253960788,1.179190391318418,2.0872005104769267,4.0,"POLYGON ((957835.230213883 1944765.54807064, 957835.230213883 1944865.54807064, 957935.230213883 1944865.54807064, 957935.230213883 1944765.54807064, 957835.230213883 1944765.54807064))",-3.5057117985933552,0.5388897312112896,0.6292976324911654,0.5010094889258114,0.2826873125554473,1.940000529858665,-0.5159262911648592,0.8537812368431114,0.9442816358845683,0.5387285834706844,0.5087115080974741
31273,1.048148911058031,2.095819673055572,1.697701485207902,0.8153454255973346,"POLYGON ((957835.230213883 1944865.54807064, 957835.230213883 1944965.54807064, 957935.230213883 1944965.54807064, 957935.230213883 1944865.54807064, 957835.230213883 1944865.54807064))",서초구,서울특별시 서초구 서초동 1309-2번지,127.024017152,37.50226833,957928.9870780276,1944884.365441767,"강남역 2차 I'PARK, S&G TOWER 서초, 강남역 IPARK, 정경4041",0.0078876193662695,0.4642891836321612,1.312354157990036,1.0213855428051188,0.5614374626908275,0.2970369895501226,0.8454443753802291,1.2071916113049697,1.1769027824977751,-2.093366693441315,4.0,"POLYGON ((957835.230213883 1944865.54807064, 957835.230213883 1944965.54807064, 957935.230213883 1944965.54807064, 957935.230213883 1944865.54807064, 957835.230213883 1944865.54807064))",-3.015647591215934,0.4973105647499068,0.6313369819698056,0.4022659199417659,0.2608048061648927,1.8684061978180728,-0.7905737117659893,0.8303990224550786,0.640202133197699,0.6955252768022452,0.44527676590171744
31274,1.1861679480835925,2.0683518480182106,2.456669234675383,0.8287303298700459,"POLYGON ((957835.230213883 1944965.54807064, 957835.230213883 1945065.54807064, 957935.230213883 1945065.54807064, 957935.230213883 1944965.54807064, 957835.230213883 1944965.54807064))",서초구,서울특별시 서초구 서초동 1303-14번지,127.02369492,37.503029173,957900.9327844246,1944968.9202726944,"오클라우드 호텔, 서초한일유앤아이주상복합, 아멜리아, 현대썬앤빌 강남 더 인피닛, 케이플라츠 신논현(구. 중앙화촌빌딩)",0.0679328016529441,1.1641068790978846,2.3540608524965725,2.0966965163237337,0.3656285256557596,0.8939414915869814,1.146255645704915,1.334422678587854,0.9872600112664932,-1.3910314031830506,4.0,"POLYGON ((957835.230213883 1944965.54807064, 957835.230213883 1945065.54807064, 957935.230213883 1945065.54807064, 957935.230213883 1944965.54807064, 957835.230213883 1944965.54807064))",-3.060375333816417,0.4264549469053753,0.6763762931936631,0.4000676166590183,0.2399737407106781,1.9801118138613232,-0.963953258946574,0.8052921582960922,0.7207219086240495,0.5638249589125899,0.4063610005173581
31275,1.097748903884298,2.0259978191925594,2.394555607445592,0.8122540465277746,"POLYGON ((957835.230213883 1945065.54807064, 957835.230213883 1945165.54807064, 957935.230213883 1945165.54807064, 957935.230213883 1945065.54807064, 957835.230213883 1945065.54807064))",서초구,서울특별시 서초구 반포동 748-16번지,127.023931398,37.504606031,957922.7194240454,1945143.756996492,현철빌딩,-0.0556259743690631,-0.2882583260857074,-0.1787619544293128,-0.6436120936108005,0.2350892342990476,0.0792122393028825,0.0345885822175383,0.433918462251922,1.7945571640713105,0.6825299299603974,4.0,"POLYGON ((957835.230213883 1945065.54807064, 957835.230213883 1945165.54807064, 957935.230213883 1945165.54807064, 957935.230213883 1945065.54807064, 957835.230213883 1945065.54807064))",-3.1897176420169693,0.4375685277130807,0.7214063636853102,0.3882297694603943,0.2251647680800929,2.0735281614441816,-1.0198270579891109,0.7695248811061008,0.8561183723055656,0.685495671327688,0.5868654383595712
31318,1.0127276786698132,2.3706277844408645,0.5391893033587681,0.6991191589195251,"POLYGON ((957935.230213883 1944165.54807064, 957935.230213883 1944265.54807064, 958035.230213883 1944265.54807064, 958035.230213883 1944165.54807064, 957935.230213883 1944165.54807064))",서초구,서울특별시 서초구 서초동 1321-11번지,127.025104495,37.496636019,958021.9424204426,1944259.010898376,"BNK디지털타워, 재전빌딩, 강남빌딩",0.0931712215182962,0.9702694812087264,3.2722700326465444,1.0213855428051188,1.322916662271647,0.9385252383991404,0.7693152346003269,2.819703571046905,3.77982035225242,0.4818627041723218,12.0,"POLYGON ((957935.230213883 1944165.54807064, 957935.230213883 1944265.54807064, 958035.230213883 1944265.54807064, 958035.230213883 1944165.54807064, 957935.230213883 1944165.54807064))",-5.340732635731415,-0.2689416607060624,0.6083780507954586,0.7096175745726211,0.6884872777295082,2.3398163879184413,1.1929463140303451,0.8963506898946022,0.9898017814553104,0.507451114166524,0.5022760168035075
31319,0.991860803284429,2.5094618236553115,0.6102377253071317,0.7567496343167381,"POLYGON ((957935.230213883 1944265.54807064, 957935.230213883 1944365.54807064, 958035.230213883 1944365.54807064, 958035.230213883 1944265.54807064, 957935.230213883 1944265.54807064))",서초구,서울특별시 서초구 서초동 1316-5번지,127.024517046,37.497469832,957970.4822800268,1944351.779261534,부띠크 모나코,0.0346717639385898,0.2420476947428126,2.146172864024893,-0.1233003322308256,4.803964431783965,0.984052216301447,0.7179347682286205,5.3798843848054325,4.392136979911123,-1.123475102132283,12.0,"POLYGON ((957935.230213883 1944265.54807064, 957935.230213883 1944365.54807064, 958035.230213883 1944365.54807064, 958035.230213883 1944265.54807064, 957935.230213883 1944265.54807064))",-6.519647107568677,-0.1816527063962715,0.400756645552244,0.68955978416746,0.6792713109754197,2.845215942688996,1.298354476882514,0.8758833226170446,0.998127057488937,0.5002397970426504,0.4993028766610437
31321,0.7397072054542148,2.6093562671959982,0.3150188142122679,0.8553365525396229,"POLYGON ((957935.230213883 1944465.54807064, 957935.230213883 1944565.54807064, 958035.230213883 1944565.54807064, 958035.230213883 1944465.54807064, 957935.230213883 1944465.54807064))",서초구,서울특별시 서초구 서초동 1316-17번지,127.024702235,37.498534212,957987.448169345,1944469.7827340108,벨라채오피스텔,-0.0621732097089636,-0.2531883039028137,0.2449238743738312,-0.6436120936108005,0.4526547198935676,0.171785547460092,0.0168909337365235,1.55938665487912,2.3756098045145624,-0.4545843495053643,12.0,"POLYGON ((957935.230213883 1944465.54807064, 957935.230213883 1944565.54807064, 958035.230213883 1944565.54807064, 958035.230213883 1944465.54807064, 957935.230213883 1944465.54807064))",-8.45807042045328,-0.0044381754107826,0.657732917519992,0.6658123274016521,0.4707965006306169,3.530004989979189,1.1043345390911283,0.8715857286030289,0.9675295567508863,0.6356008738631238,0.6149626317592641
31323,0.8144460442776579,2.3470603854402645,-0.2985054413839313,0.9229321305118922,"POLYGON ((957935.230213883 1944665.54807064, 957935.230213883 1944765.54807064, 958035.230213883 1944765.54807064, 958035.230213883 1944665.54807064, 957935.230213883 1944665.54807064))",서초구,서울특별시 서초구 서초동 1308-25번지,127.024556591,37.500917427,957975.909979008,1944734.2502924849,"강남오피스텔, 제이와이빌딩, 서초동월드",0.011682490758873,0.551241822902107,0.8832670838339078,0.7438859367357991,0.0175237487045277,0.5194814284320641,0.6169167857143987,0.2441793929111617,1.013148117753433,-0.6329552168725427,12.0,"POLYGON ((957935.230213883 1944665.54807064, 957935.230213883 1944765.54807064, 958035.230213883 1944765.54807064, 958035.230213883 1944665.54807064, 957935.230213883 1944665.54807064))",-5.486478350170347,0.4141809888086114,0.7808184543781723,0.6622621101190793,0.3573003343749798,2.4574587104156067,0.1783766268304274,0.8693792426856706,0.8092014032233128,0.8158099981985281,0.6601545953058572
31324,0.8556895651509504,2.2930987376581866,0.6755955927544315,0.9244988706796966,"POLYGON ((957935.230213883 1944765.54807064, 957935.230213883 1944865.54807064, 958035.230213883 1944865.54807064, 958035.230213883 1944765.54807064, 957935.230213883 1944765.54807064))",서초구,서울특별시 서초구 서초동 1309-8번지,127.024586734,37.501789749,957979.0631881984,1944831.015433838,"케이아이타워(K I타워), 서초동 오피스텔, 강남역리가스퀘어, 대동Ⅱ, 경원빌딩, 실버타운오피스텔",0.1270617317212524,1.7504592612201904,2.6203991701881177,2.027321614806404,0.2661700179554076,1.4578918574117996,1.4155505974622564,0.7622417623558905,1.5406325849799682,-0.5692513356699791,12.0,"POLYGON ((957935.230213883 1944765.54807064, 957935.230213883 1944865.54807064, 958035.230213883 1944865.54807064, 958035.230213883 1944765.54807064, 957935.230213883 1944765.54807064))",-3.6670510136649153,0.5494998960766384,0.6256478862572274,0.5904679570859318,0.320590091236093,1.893661257328166,-0.2757671391151778,0.8368150877145097,0.8339746064016378,0.5492487574375684,0.4580595163005847
