grid_idx,pp_pop,pp_od,pp_drr,bs_ebit,geometry_grids,sigungunm,platplc,x,y,x_5179,y_5179,bdnm,bd_platarea,bd_archarea,bd_totarea,bd_totflrcnt,bd_elvtent,bs_gas,bs_elct,bd_height,bd_ilp,bd_vintage,count,geometry,gwr_const,gwr_bs_ebit,gwr_bs_elct,gwr_bd_totflrcnt,gwr_bd_height,gwr_pp_od,gwr_pp_drr,gwr_r2,cbdness,sim,cbdi
24726,-0.5368083915037094,0.5619006256737563,2.5226028424524745,1.436767509740687,"POLYGON ((953435.230213883 1952365.54807064, 953435.230213883 1952465.54807064, 953535.230213883 1952465.54807064, 953535.230213883 1952365.54807064, 953435.230213883 1952365.54807064))",종로구,서울특별시 종로구 신문로1가 115번지,126.97319295,37.569801951,953478.6960084311,1952400.78536854,콘코디언(concordian),0.7878057494404097,0.3306662564419925,1.9007643232244236,0.5482354557804591,4.000906393398071,-0.3333231441661209,-0.3994945969860651,4.382270442240029,1.6190460076051283,-0.9747084707356792,13.0,"POLYGON ((953435.230213883 1952365.54807064, 953435.230213883 1952465.54807064, 953535.230213883 1952465.54807064, 953535.230213883 1952365.54807064, 953435.230213883 1952365.54807064))",-0.7159623107511489,0.494104415952565,0.1914299348888615,-0.0902681091275671,0.2701950827711917,0.3162681266567471,0.1701723905032421,0.8445239917589822,0.522000733730047,0.5326396966378832,0.2780383124587247
24727,-0.5274543584233395,0.5115261088559052,2.430938760295239,1.363384395747684,"POLYGON ((953435.230213883 1952465.54807064, 953435.230213883 1952565.54807064, 953535.230213883 1952565.54807064, 953535.230213883 1952465.54807064, 953435.230213883 1952465.54807064))",종로구,서울특별시 종로구 신문로1가 57번지,126.9729851,37.570602815,953460.8393787588,1952489.740293188,Crescendo(크레센도),0.6143981112880189,0.699877332659609,1.6621073752207502,0.0094046445492106,1.6169770657457674,0.9304737026228268,1.01860285588502,2.3110188473454705,1.881636492980818,-0.3141407774634342,13.0,"POLYGON ((953435.230213883 1952465.54807064, 953435.230213883 1952565.54807064, 953535.230213883 1952565.54807064, 953535.230213883 1952465.54807064, 953435.230213883 1952465.54807064))",-0.7949731802573579,0.6290917952951979,0.1573569897436094,-0.1830295442524754,0.2870457736951188,0.0567248386960724,0.2029028532545513,0.8529125285092105,0.17230913586628388,0.6350535001034174,0.10942551983167888
24796,-0.5798375818838276,0.66968167058126,2.9690507925404024,1.5257602404149115,"POLYGON ((953535.230213883 1952465.54807064, 953535.230213883 1952565.54807064, 953635.230213883 1952565.54807064, 953635.230213883 1952465.54807064, 953535.230213883 1952465.54807064))",종로구,서울특별시 종로구 당주동 171번지,126.974721013,37.570698434,953614.1932494856,1952499.490404965,NoData,-0.7224412032400229,-0.7125959170965367,-0.4760765017757044,-0.7988415722976621,-0.0858295968630207,-0.3061368446121881,-0.3360237124013428,-0.1948257161207143,0.7538794610515395,2.080417110648454,6.0,"POLYGON ((953535.230213883 1952465.54807064, 953535.230213883 1952565.54807064, 953635.230213883 1952565.54807064, 953635.230213883 1952465.54807064, 953535.230213883 1952465.54807064))",-0.3577405504592955,-0.0498299907020215,0.1592068221832832,-0.1939959314507316,0.298821545991939,0.922443529737523,0.2027063036094661,0.8324391814341487,0.05720294889075495,0.6291778340441949,0.03599082748402598
24864,-0.7180095420913897,0.9495155896115788,3.5068944684784875,1.7916078497541543,"POLYGON ((953635.230213883 1952365.54807064, 953635.230213883 1952465.54807064, 953735.230213883 1952465.54807064, 953735.230213883 1952365.54807064, 953635.230213883 1952365.54807064))",종로구,서울특별시 종로구 신문로1가 135-2번지,126.975434458,37.569945106,953676.7293105968,1952415.560345453,NoData,-0.7399704972193416,-0.717666739099941,-0.4753256443939443,-0.753939004695058,-0.4263909293847783,-0.3241149676118795,-0.3457137637958403,-0.108369455351678,1.7862746851338571,2.328129995625546,6.0,"POLYGON ((953635.230213883 1952365.54807064, 953635.230213883 1952465.54807064, 953735.230213883 1952465.54807064, 953735.230213883 1952365.54807064, 953635.230213883 1952365.54807064))",0.3421910069202613,-1.2138149112059615,0.1762686944363073,-0.1729929954891223,0.3498063064649115,2.358311044767144,0.1826446952020441,0.7887292174999158,0.22234950515640717,0.6099272522855985,0.13561702272710993
24930,-0.8160491291956963,1.138570866966672,3.4777885383636296,1.997434856444867,"POLYGON ((953735.230213883 1952365.54807064, 953735.230213883 1952465.54807064, 953835.230213883 1952465.54807064, 953835.230213883 1952365.54807064, 953735.230213883 1952365.54807064))",종로구,서울특별시 종로구 세종로 211번지,126.97614035,37.569570228,953738.833720072,1952373.6216904093,광화문빌딩,0.8892109100347293,0.4286765770403192,1.474353010469094,0.0094046445492106,1.6169770657457674,-0.3333231441661209,1.2952339121334144,2.801554102297061,2.9596395382073344,0.3464269158088109,7.0,"POLYGON ((953735.230213883 1952365.54807064, 953735.230213883 1952465.54807064, 953835.230213883 1952465.54807064, 953835.230213883 1952365.54807064, 953735.230213883 1952365.54807064))",0.4655930110901155,-1.4881654229876953,0.1762145854149506,-0.2041908050943092,0.3755730187869999,2.6669028731463795,0.1977097968487538,0.7475745950165669,0.8326549911520946,0.6367174909669167,0.5301659968074419
24995,-0.9003725185655734,1.2463415764018448,3.0321035238749814,2.218259335581826,"POLYGON ((953835.230213883 1952365.54807064, 953835.230213883 1952465.54807064, 953935.230213883 1952465.54807064, 953935.230213883 1952365.54807064, 953835.230213883 1952365.54807064))",종로구,서울특별시 종로구 서린동 159-1번지,126.978008482,37.56954379,953903.7902118776,1952369.770453883,"동아일보사, 광화문우체국",0.7866825910161055,1.4029034597942258,1.321016046189439,0.5482354557804591,1.6169770657457674,0.4320938392648541,2.2065004576755767,2.4272955830856446,2.475229195448496,-0.0251424116568269,7.0,"POLYGON ((953835.230213883 1952365.54807064, 953835.230213883 1952465.54807064, 953935.230213883 1952465.54807064, 953935.230213883 1952365.54807064, 953835.230213883 1952365.54807064))",0.4725580619090734,-1.4564982243150155,0.1872041516478464,-0.2101848654576655,0.3807320599678102,2.585029398771544,0.1974688895283015,0.7114455856916293,0.7209437540312886,0.6122232350059756,0.4413785173503879
24996,-0.8860773720020091,1.1803933425602515,2.5632704536003,2.117188952124214,"POLYGON ((953835.230213883 1952465.54807064, 953835.230213883 1952565.54807064, 953935.230213883 1952565.54807064, 953935.230213883 1952465.54807064, 953835.230213883 1952465.54807064))",종로구,서울특별시 종로구 종로1가 1번지,126.977983328,37.570986533,953902.4581124366,1952529.848144302,교보생명빌딩,3.327828526004297,1.9386461608982288,3.2455205728768868,0.1441123473570227,6.384835721050374,-0.3333231441661209,3.4010455604768506,3.3512679742456397,3.001101193792969,1.006994609081056,7.0,"POLYGON ((953835.230213883 1952465.54807064, 953835.230213883 1952565.54807064, 953935.230213883 1952565.54807064, 953935.230213883 1952465.54807064, 953835.230213883 1952465.54807064))",0.0828337407826449,-1.0747899957015743,0.1540403511298015,-0.2249886379456627,0.3409714537399824,2.1955094933018104,0.2747415322812248,0.7527376143403228,0.8229267118315675,0.5015975590729127,0.41277802995061247
25058,-0.908334735654898,1.24671911193379,3.221044655336707,2.328827359137037,"POLYGON ((953935.230213883 1952465.54807064, 953935.230213883 1952565.54807064, 954035.230213883 1952565.54807064, 954035.230213883 1952465.54807064, 953935.230213883 1952465.54807064))",종로구,서울특별시 종로구 청진동 246번지,126.97889685,37.571068136,953983.178962097,1952538.453831198,D타워,2.0560922872850287,2.3930409096208405,3.674094909614817,0.3237226177674389,8.087642383659162,-0.3333231441661209,-0.3963856763872537,3.711887671571031,2.3100736006990488,-1.552705202348894,7.0,"POLYGON ((953935.230213883 1952465.54807064, 953935.230213883 1952565.54807064, 954035.230213883 1952565.54807064, 954035.230213883 1952465.54807064, 953935.230213883 1952465.54807064))",-0.0603402548508502,-0.8541875599527258,0.1333799974633885,-0.2017542581271693,0.3270503888192111,1.8968153355568989,0.311850315838013,0.7582128986990531,0.8781128957419373,0.5015808507725172,0.4404446133205596
25116,-0.9793991482761408,1.4613727429305372,2.8259744224686147,2.7067132478032585,"POLYGON ((954035.230213883 1952365.54807064, 954035.230213883 1952465.54807064, 954135.230213883 1952465.54807064, 954135.230213883 1952365.54807064, 954035.230213883 1952365.54807064))",종로구,서울특별시 종로구 서린동 99번지,126.980303531,37.569690909,954106.5539175208,1952384.9692101,SK서린동빌딩,1.5359094856287248,0.6148164031985691,2.8173317687154493,0.8176508613960833,4.682029058441586,2.358983611216765,2.191451884709645,6.263965529566111,2.786882639933854,-0.2315698158044035,4.0,"POLYGON ((954035.230213883 1952365.54807064, 954035.230213883 1952465.54807064, 954135.230213883 1952465.54807064, 954135.230213883 1952365.54807064, 954035.230213883 1952365.54807064))",-0.4470445943544476,-0.7044761556810661,0.1002426253013193,-0.2092889720094738,0.3327798096532442,2.03044498198008,0.2460261674258289,0.737739035623608,0.994722828870572,0.5023062984781774,0.49965554218171854
25117,-0.9688722973907418,1.3628006205317176,2.6110664520492146,2.483978262235825,"POLYGON ((954035.230213883 1952465.54807064, 954035.230213883 1952565.54807064, 954135.230213883 1952565.54807064, 954135.230213883 1952465.54807064, 954035.230213883 1952465.54807064))",종로구,서울특별시 종로구 종로1가 24번지,126.97992357,37.570846289,954073.709480407,1952513.3386587296,"르메이에르종로타운1, Tower 8",3.248726082692588,3.692974130950448,5.176629078446549,1.491189375435144,3.3197837283545555,5.114189747885284,1.544412151543541,3.2819180324522943,2.413727739663137,-1.2224213557127712,7.0,"POLYGON ((954035.230213883 1952465.54807064, 954035.230213883 1952565.54807064, 954135.230213883 1952565.54807064, 954135.230213883 1952465.54807064, 954035.230213883 1952465.54807064))",-0.3292654334921785,-0.6034211753464547,0.0758933382646573,-0.1737599444610968,0.3089563474886032,1.6582881948342076,0.3583283610568704,0.7837792014912927,0.7497347848333873,0.5004664567133841,0.37521711124033674
