grid_idx,pp_pop,pp_od,pp_drr,bs_ebit,geometry_grids,sigungunm,platplc,x,y,x_5179,y_5179,bdnm,bd_platarea,bd_archarea,bd_totarea,bd_totflrcnt,bd_elvtent,bs_gas,bs_elct,bd_height,bd_ilp,bd_vintage,count,geometry,gwr_const,gwr_bs_ebit,gwr_bs_elct,gwr_bd_vintage,gwr_bd_height,gwr_pp_od,gwr_pp_pop,gwr_r2,cbdness,sim,cbdi
12201,-1.920771719460299,0.0402372371406088,2.702927205504753,2.121594644616931,"POLYGON ((948435.230213883 1947565.54807064, 948435.230213883 1947665.54807064, 948535.230213883 1947665.54807064, 948535.230213883 1947565.54807064, 948435.230213883 1947565.54807064))",영등포구,서울특별시 영등포구 여의도동 18-3번지,126.916475568,37.526703832,948440.3733972438,1947648.8542754755,"한국보이스카우트연맹회관, 동성빌딩",0.1419470854857236,0.3445118606458029,0.6539302063622598,0.5466068722409994,0.3407168421935468,0.3589391094408778,0.2665902866290047,0.5803772315145785,1.0723924802038856,0.4962399496994735,6.0,"POLYGON ((948435.230213883 1947565.54807064, 948435.230213883 1947665.54807064, 948535.230213883 1947665.54807064, 948535.230213883 1947565.54807064, 948435.230213883 1947565.54807064))",-1.01130351434646,0.8371638631604225,0.0445579021852122,-0.0782202534466534,0.2434026786343541,1.704680801003832,-0.3738980802977628,0.7352943227675044,0.3706203896062155,0.7367482315284344,0.2730539166107586
12202,-2.008549372047541,0.0295868565781105,1.7291686649665,2.162208771535576,"POLYGON ((948435.230213883 1947665.54807064, 948435.230213883 1947765.54807064, 948535.230213883 1947765.54807064, 948535.230213883 1947665.54807064, 948435.230213883 1947665.54807064))",영등포구,서울특별시 영등포구 여의도동 17-26번지,126.916523936,37.527537728,948445.2210996316,1947741.3440636925,서여의도 비즈니스호텔,0.7534161828471655,1.242906768918273,1.5390188786703671,1.265562749111608,0.3887317777761634,1.153284567364543,0.7124300852198794,0.6333827306324696,1.723052250092624,-0.7376876524987033,6.0,"POLYGON ((948435.230213883 1947665.54807064, 948435.230213883 1947765.54807064, 948535.230213883 1947765.54807064, 948535.230213883 1947665.54807064, 948435.230213883 1947665.54807064))",-1.2046711851531382,0.8106702537510939,0.0503543786243912,-0.0821804013979038,0.2471946806420912,1.8768710526592312,-0.5032515270306657,0.686501252569744,0.28967806759622483,0.7738818638985286,0.22417660288189045
12249,-1.9936924388736996,0.0940709090224939,3.985088474546545,2.383355479965291,"POLYGON ((948535.230213883 1947565.54807064, 948535.230213883 1947665.54807064, 948635.230213883 1947665.54807064, 948635.230213883 1947565.54807064, 948535.230213883 1947565.54807064))",영등포구,서울특별시 영등포구 여의도동 17-9번지,126.918106725,37.526537134,948584.3876524366,1947629.4671218856,더하우스 소호 여의도 오피스텔,0.1417393148104394,0.3447002642415367,0.7483160422014735,-0.1209950134245658,1.3490304894284948,0.2593633880429033,0.2619190017020884,0.687820810807601,3.567960964713857,-1.5603060539641544,10.0,"POLYGON ((948535.230213883 1947565.54807064, 948535.230213883 1947665.54807064, 948635.230213883 1947665.54807064, 948635.230213883 1947565.54807064, 948535.230213883 1947565.54807064))",-0.8177563435442762,0.6621490673873847,0.0276961711094884,-0.0289790946714426,0.2443150267823546,1.7302250469398934,-0.4985398841917682,0.705846659117859,0.31697856682291015,0.7134460024231649,0.2261470913536293
12250,-2.254768745355772,0.0782081938643603,3.9009257678467306,2.434359125750506,"POLYGON ((948535.230213883 1947665.54807064, 948535.230213883 1947765.54807064, 948635.230213883 1947765.54807064, 948635.230213883 1947665.54807064, 948535.230213883 1947665.54807064))",영등포구,서울특별시 영등포구 여의도동 17-13번지,126.917843125,37.526870069,948561.324581176,1947666.548601224,"이룸센터, 아시아원빌딩",0.6183652439124264,0.7950459619139323,1.2499152162336016,0.4952528810359559,0.1966720354456972,-0.1799968982807246,1.0167677329768048,0.5913364766024669,3.0714357876920717,0.6504808999742456,10.0,"POLYGON ((948535.230213883 1947665.54807064, 948535.230213883 1947765.54807064, 948635.230213883 1947765.54807064, 948635.230213883 1947665.54807064, 948535.230213883 1947665.54807064))",-0.9689352273930176,0.7206773326560854,0.0322047711259161,-0.0346521504201305,0.2363863883072272,1.7606870926766298,-0.4921443174652693,0.6849820636535474,0.4539514052792974,0.8065301181297675,0.3661254805250857
12252,-2.506304678309605,-0.4780239782237315,0.7284645310394683,2.418326101376868,"POLYGON ((948535.230213883 1947865.54807064, 948535.230213883 1947965.54807064, 948635.230213883 1947965.54807064, 948635.230213883 1947865.54807064, 948535.230213883 1947865.54807064))",영등포구,서울특별시 영등포구 여의도동 15-21번지,126.918138306,37.529126547,948588.955371247,1947916.731394705,현대카드빌딩 1관,0.452979786386192,0.5531051930574364,1.0352853089258651,-0.2237029958346527,0.7728512624370959,-0.2286679857834233,0.9938234805416571,0.5846749746862995,3.767982955457231,1.0103764506153805,10.0,"POLYGON ((948535.230213883 1947865.54807064, 948535.230213883 1947965.54807064, 948635.230213883 1947965.54807064, 948635.230213883 1947865.54807064, 948535.230213883 1947865.54807064))",-1.1246914254193787,0.8677949793189306,0.0420986416107986,-0.0346731671107074,0.2174534527507063,1.768119431882726,-0.3786188844080503,0.6316227855917496,0.21056564415022938,0.756072800242035,0.1592029562074318
12295,-2.179119083381155,-0.1050037139630346,3.3176670259163425,2.566442862338224,"POLYGON ((948635.230213883 1947465.54807064, 948635.230213883 1947565.54807064, 948735.230213883 1947565.54807064, 948735.230213883 1947465.54807064, 948635.230213883 1947465.54807064))",영등포구,서울특별시 영등포구 여의도동 17번지,126.9192353,37.525527253,948683.416715985,1947516.809936224,여의도더샵아일랜드파크,2.115145188659904,3.204498811839449,3.491393024740816,-0.2237029958346527,3.6537473973940897,3.120265674162424,1.5657227115610282,0.68352306763588,1.963078638984672,-0.429205751949159,7.0,"POLYGON ((948635.230213883 1947465.54807064, 948635.230213883 1947565.54807064, 948735.230213883 1947565.54807064, 948735.230213883 1947465.54807064, 948635.230213883 1947465.54807064))",-0.3784144975548855,0.590396788035923,0.0077153944947251,0.0379863643746528,0.2446697470897572,1.6093743978655664,-0.3948929450754924,0.7207773334644816,0.31994294751906127,0.5690842684469289,0.18207449823363916
12297,-2.305146210291145,-0.227660892576536,1.9772454854176265,2.733822380948908,"POLYGON ((948635.230213883 1947665.54807064, 948635.230213883 1947765.54807064, 948735.230213883 1947765.54807064, 948735.230213883 1947665.54807064, 948635.230213883 1947665.54807064))",영등포구,서울특별시 영등포구 여의도동 15-24번지,126.919664722,37.527516056,948722.72231746,1947737.2227431736,익스콘벤처타워,0.1473491230431131,0.0756141016321684,0.6061588940424154,-0.1209950134245658,0.7728512624370959,0.6178579933889342,0.6785529651947503,0.5717817451711369,2.984367391721426,0.0849307489667479,7.0,"POLYGON ((948635.230213883 1947665.54807064, 948635.230213883 1947765.54807064, 948735.230213883 1947765.54807064, 948735.230213883 1947665.54807064, 948635.230213883 1947665.54807064))",-0.681459967843106,0.6534717075891241,0.0201717070800233,3.9108500921187714e-05,0.2301867807972887,1.693845029912164,-0.4518973647731991,0.6610978001081814,0.3237731653177475,0.7987467443528791,0.2586127617063773
12298,-2.3744350611756326,-0.3378513369036488,1.9398780010463603,2.756512168124799,"POLYGON ((948635.230213883 1947765.54807064, 948635.230213883 1947865.54807064, 948735.230213883 1947865.54807064, 948735.230213883 1947765.54807064, 948635.230213883 1947765.54807064))",영등포구,서울특별시 영등포구 여의도동 15-22번지,126.919078912,37.528153592,948671.3977025654,1947808.2734857933,"국민은행여의도전산센터, 여의도 프리베로 오피스텔",1.404361708512608,0.5059686502004979,0.363730929558344,0.289836916215782,0.0526272286978475,0.1226174099013461,12.283893237625604,0.6334543596853319,2.294997483624117,1.1646174008901526,7.0,"POLYGON ((948635.230213883 1947765.54807064, 948635.230213883 1947865.54807064, 948735.230213883 1947865.54807064, 948735.230213883 1947765.54807064, 948635.230213883 1947765.54807064))",-0.7984417986033452,0.7418892435491262,0.0247973407848404,-0.0039530785246339,0.2202384604269686,1.6760002852464335,-0.3863784192621579,0.6535534469275599,0.26215663621364715,0.5239421309674076,0.13735490662502575
12299,-2.4421211506059235,-0.5210026380497456,1.4993359545310792,2.7144610744810183,"POLYGON ((948635.230213883 1947865.54807064, 948635.230213883 1947965.54807064, 948735.230213883 1947965.54807064, 948735.230213883 1947865.54807064, 948635.230213883 1947865.54807064))",영등포구,서울특별시 영등포구 여의도동 15-4번지,126.919125998,37.528874494,948676.052083164,1947888.2280206804,"현대카드빌딩 2관, 삼보호정빌딩",0.7997490434355452,1.15595596349264,1.5198898307067334,1.3169167403166515,0.2927019066109302,1.3993821217541431,1.281890630725934,0.5818098125718191,1.216016113557265,1.1817552842540164,7.0,"POLYGON ((948635.230213883 1947865.54807064, 948635.230213883 1947965.54807064, 948735.230213883 1947965.54807064, 948735.230213883 1947865.54807064, 948635.230213883 1947865.54807064))",-0.8490031133803672,0.8131745849809624,0.0298311375534458,-0.0063866867787713,0.2092765569563572,1.6539406772043,-0.3154638698953587,0.6369593711967806,0.25206523899638505,0.7814141531908163,0.19696734527920096
12300,-2.727363343153313,-0.6117831647030921,1.4220697053923423,2.620676637172948,"POLYGON ((948635.230213883 1947965.54807064, 948635.230213883 1948065.54807064, 948735.230213883 1948065.54807064, 948735.230213883 1947965.54807064, 948635.230213883 1947965.54807064))",영등포구,서울특별시 영등포구 여의도동 14-23번지,126.919670602,37.529585668,948724.6586109006,1947966.831941417,"여의도M호텔, 엘지여의도에클라트, B&B타워",0.5416978647325514,0.9101147310055496,1.3990967680333453,0.8547308194712602,0.4847616489413965,1.1900087096488892,0.7036267739936393,0.5316694755684084,1.5910377362019976,-0.6005845855877947,7.0,"POLYGON ((948635.230213883 1947965.54807064, 948635.230213883 1948065.54807064, 948735.230213883 1948065.54807064, 948735.230213883 1947965.54807064, 948635.230213883 1947965.54807064))",-0.8667608795535225,0.8767489569482718,0.0341602637261966,-0.0040971613228813,0.1992707355187954,1.6260976190523333,-0.2398985931549021,0.6282442438178764,0.11699104515907732,0.7961555543213783,0.0931430704092626
