grid_idx,pp_pop,pp_od,pp_drr,bs_ebit,geometry_grids,sigungunm,platplc,x,y,x_5179,y_5179,bdnm,bd_platarea,bd_archarea,bd_totarea,bd_totflrcnt,bd_elvtent,bs_gas,bs_elct,bd_height,bd_ilp,bd_vintage,count,geometry,gwr_const,gwr_bs_ebit,gwr_bs_elct,gwr_bd_height,gwr_bd_vintage,gwr_pp_od,gwr_pp_pop,gwr_r2,cbdness,sim,cbdi
12201,-1.9605229292300768,0.1985418576211097,3.3506582221549563,1.9916601523358388,"POLYGON ((948435.230213883 1947565.54807064, 948435.230213883 1947665.54807064, 948535.230213883 1947665.54807064, 948535.230213883 1947565.54807064, 948435.230213883 1947565.54807064))",영등포구,서울특별시 영등포구 여의도동 18-3번지,126.916475568,37.526703832,948440.3733972438,1947648.8542754755,"한국보이스카우트연맹회관, 동성빌딩",0.1385767694720716,0.3404426222315249,0.5972359208218118,0.4725481381936217,0.2169550360701789,0.451349120961483,0.2763947661154923,0.4810625178797643,1.0533663852452493,0.5312065253589972,5.0,"POLYGON ((948435.230213883 1947565.54807064, 948435.230213883 1947665.54807064, 948535.230213883 1947665.54807064, 948535.230213883 1947565.54807064, 948435.230213883 1947565.54807064))",-1.0686452798280384,0.7283015071161502,0.0782417485884146,0.3200100395153541,-0.0731447949698608,1.1664917382888047,-0.3914389137844988,0.7661186703583951,0.3740963340174315,0.7667690422505052,0.28684548774397106
12202,-2.051515002566401,0.1741469395847201,2.546538375265361,2.020044830853019,"POLYGON ((948435.230213883 1947665.54807064, 948435.230213883 1947765.54807064, 948535.230213883 1947765.54807064, 948535.230213883 1947665.54807064, 948435.230213883 1947665.54807064))",영등포구,서울특별시 영등포구 여의도동 17-26번지,126.916523936,37.527537728,948445.2210996316,1947741.3440636925,서여의도 비즈니스호텔,0.9231550030970088,1.4908463087585122,1.7488495236841055,2.014619334537871,0.1132385156982798,1.228903793748961,0.542217161973501,0.5408661399116207,1.5071893193246988,-0.9701468549222408,5.0,"POLYGON ((948435.230213883 1947665.54807064, 948435.230213883 1947765.54807064, 948535.230213883 1947765.54807064, 948535.230213883 1947665.54807064, 948435.230213883 1947665.54807064))",-1.266048961173601,0.6953269267224279,0.0837369005655244,0.3192177252402585,-0.067659975580932,1.3743729450018616,-0.5162155807414066,0.7278031969638928,0.3066974515130647,0.7078853509239087,0.2171066330917943
12249,-2.038575770482798,0.2654898716870072,3.2180212045291827,2.2453408281102845,"POLYGON ((948535.230213883 1947565.54807064, 948535.230213883 1947665.54807064, 948635.230213883 1947665.54807064, 948635.230213883 1947565.54807064, 948535.230213883 1947565.54807064))",영등포구,서울특별시 영등포구 여의도동 17-9번지,126.918106725,37.526537134,948584.3876524366,1947629.4671218856,더하우스 소호 여의도 오피스텔,0.138366764591551,0.3406327695625408,0.6865886123764188,-0.1539182853212294,0.9429706786734732,0.2817946851533358,0.1733597278108051,0.575988902057314,3.4378425405652675,-1.470597981682653,11.0,"POLYGON ((948535.230213883 1947565.54807064, 948535.230213883 1947665.54807064, 948635.230213883 1947665.54807064, 948635.230213883 1947565.54807064, 948535.230213883 1947565.54807064))",-0.79423808046699,0.5406490153432105,0.0634962177332228,0.2951723440646636,-0.0122245890560512,1.2864005885462315,-0.494995872366284,0.736111514632648,0.36644617138677504,0.7361897185140256,0.2697739037637723
12250,-2.315172786474103,0.2342118609163366,3.145345692059379,2.2795743329343807,"POLYGON ((948535.230213883 1947665.54807064, 948535.230213883 1947765.54807064, 948635.230213883 1947765.54807064, 948635.230213883 1947665.54807064, 948535.230213883 1947665.54807064))",영등포구,서울특별시 영등포구 여의도동 17-13번지,126.917843125,37.526870069,948561.324581176,1947666.548601224,"이룸센터, 아시아원빌딩",0.6201179605057924,0.795146560095141,1.16143990635328,0.4243584133078639,0.1132385156982798,-0.213173737617443,0.955062338571107,0.4907450090658744,2.95403578441338,0.6813418633871209,11.0,"POLYGON ((948535.230213883 1947665.54807064, 948535.230213883 1947765.54807064, 948635.230213883 1947765.54807064, 948635.230213883 1947665.54807064, 948535.230213883 1947665.54807064))",-0.9505638668379268,0.5868968797622731,0.072645198568516,0.2664310898581816,-0.0129816426050946,1.3743343569692303,-0.5122072992324778,0.7199987682925727,0.4264307861825009,0.8069978409734248,0.3441287237738784
12252,-2.570165254096898,-0.4045084565520466,0.4058871454384843,2.247904964211412,"POLYGON ((948535.230213883 1947865.54807064, 948535.230213883 1947965.54807064, 948635.230213883 1947965.54807064, 948635.230213883 1947865.54807064, 948535.230213883 1947865.54807064))",영등포구,서울특별시 영등포구 여의도동 15-21번지,126.918138306,37.529126547,948588.955371247,1947916.731394705,현대카드빌딩 1관,0.4529540756113999,0.5509665523684278,0.9582551833962112,-0.250297735092745,0.5281045971858764,-0.2742111858698738,1.0447305147063817,0.4848595732468663,3.6309586827267353,1.0316576521194096,3.0,"POLYGON ((948535.230213883 1947865.54807064, 948535.230213883 1947965.54807064, 948635.230213883 1947965.54807064, 948635.230213883 1947865.54807064, 948535.230213883 1947865.54807064))",-1.2059833492882723,0.7750549546608202,0.0892294370625399,0.1874023829752096,-0.0103796059127184,1.5064511297273322,-0.427354438108138,0.6937629441302777,0.17596217863873292,0.7722209456691319,0.13588167999040307
12295,-2.2403162711379268,0.0576410363706949,2.641694732692393,2.453754558992793,"POLYGON ((948635.230213883 1947465.54807064, 948635.230213883 1947565.54807064, 948735.230213883 1947565.54807064, 948735.230213883 1947465.54807064, 948635.230213883 1947465.54807064))",영등포구,서울특별시 영등포구 여의도동 17번지,126.9192353,37.525527253,948683.416715985,1947516.809936224,여의도더샵아일랜드파크,2.132993119776148,3.226899663520758,3.2833904455339864,-0.250297735092745,2.60243500462386,3.206690619686774,1.5443507309611588,0.572191846690212,1.968127058641676,-0.3696055028097456,7.0,"POLYGON ((948635.230213883 1947465.54807064, 948635.230213883 1947565.54807064, 948735.230213883 1947565.54807064, 948735.230213883 1947465.54807064, 948635.230213883 1947465.54807064))",-0.2525938112401514,0.4464361840121276,0.0445794628153197,0.2736201945726404,0.0586728666531185,1.2497557796153431,-0.3978212615217575,0.7373957508123908,0.36797454550582587,0.5985970196566003,0.2202684662492794
12297,-2.369077850996561,-0.1030868020849211,1.4842245632886994,2.5660758044490204,"POLYGON ((948635.230213883 1947665.54807064, 948635.230213883 1947765.54807064, 948735.230213883 1947765.54807064, 948735.230213883 1947665.54807064, 948635.230213883 1947665.54807064))",영등포구,서울특별시 영등포구 여의도동 15-24번지,126.919664722,37.527516056,948722.72231746,1947737.2227431736,익스콘벤처타워,0.144036896365607,0.0690561288183779,0.5520120236457013,-0.1539182853212294,0.5281045971858764,0.6690035154404383,0.6841650446977213,0.4734684071455604,2.868658121563047,0.130845623950667,4.0,"POLYGON ((948635.230213883 1947665.54807064, 948635.230213883 1947765.54807064, 948735.230213883 1947765.54807064, 948735.230213883 1947665.54807064, 948635.230213883 1947665.54807064))",-0.5465445960126831,0.5527952245908677,0.0643038515704422,0.2225036467618018,0.0309258929466297,1.3441847553155786,-0.4025879500767196,0.7085612608324242,0.31439659365680955,0.8048830471643922,0.25305248832059807
12298,-2.44032623749712,-0.2339966299530539,1.4519572897791235,2.5699306685096914,"POLYGON ((948635.230213883 1947765.54807064, 948635.230213883 1947865.54807064, 948735.230213883 1947865.54807064, 948735.230213883 1947765.54807064, 948635.230213883 1947765.54807064))",영등포구,서울특별시 영등포구 여의도동 15-22번지,126.919078912,37.528153592,948671.3977025654,1947808.2734857933,"국민은행여의도전산센터, 여의도 프리베로 오피스텔",1.4145664235151971,0.5033937457950772,0.3225115806803295,0.2315995137648328,0.0095219953263806,0.0716846976153766,8.121078750324216,0.5279561516634741,2.2476372644016958,1.1817929901475337,4.0,"POLYGON ((948635.230213883 1947765.54807064, 948635.230213883 1947865.54807064, 948735.230213883 1947865.54807064, 948735.230213883 1947765.54807064, 948635.230213883 1947765.54807064))",-0.6253740044044356,0.6157024805312478,0.0711300413521987,0.193797022572275,0.018674001435665,1.3756393169748535,-0.3703427758249067,0.6819248643581829,0.40911726822519134,0.5911513591200986,0.2418502291508238
12299,-2.5100179288743925,-0.4406232841888907,1.0715439184602962,2.5257907700020152,"POLYGON ((948635.230213883 1947865.54807064, 948635.230213883 1947965.54807064, 948735.230213883 1947965.54807064, 948735.230213883 1947865.54807064, 948635.230213883 1947865.54807064))",영등포구,서울특별시 영등포구 여의도동 15-4번지,126.919125998,37.528874494,948676.052083164,1947888.2280206804,"현대카드빌딩 2관, 삼보호정빌딩",0.8034522212002704,1.159396898682799,1.4170180684801177,1.1953940114799884,0.1823828626128792,1.267490655451094,1.261919000547192,0.4823282030021318,1.253258532394839,1.1984746943728808,4.0,"POLYGON ((948635.230213883 1947865.54807064, 948635.230213883 1947965.54807064, 948735.230213883 1947965.54807064, 948735.230213883 1947865.54807064, 948635.230213883 1947865.54807064))",-0.7987480524377111,0.7341028597906807,0.0808389559041277,0.1579129657985372,0.0184107098751212,1.4058335206404398,-0.3090763339102886,0.6945314591657958,0.22022721420087799,0.7897967892232524,0.17393474667543488
12300,-2.7976593220633035,-0.5772568037169201,1.0048235802847942,2.4423755524941364,"POLYGON ((948635.230213883 1947965.54807064, 948635.230213883 1948065.54807064, 948735.230213883 1948065.54807064, 948735.230213883 1947965.54807064, 948635.230213883 1947965.54807064))",영등포구,서울특별시 영등포구 여의도동 14-23번지,126.919670602,37.529585668,948724.6586109006,1947966.831941417,"여의도M호텔, 엘지여의도에클라트, B&B타워",0.5426261595936933,0.9112803272923518,1.3026663209427252,0.7616864875081684,0.3206715564420781,1.389493035406505,0.6852543375758655,0.4380292237192751,1.621195603249846,-0.5364225450632164,4.0,"POLYGON ((948635.230213883 1947965.54807064, 948635.230213883 1948065.54807064, 948735.230213883 1948065.54807064, 948735.230213883 1947965.54807064, 948635.230213883 1947965.54807064))",-0.8661804350028921,0.8171739735359382,0.0865106325580543,0.1238267365255244,0.0138627914506798,1.4379669283340626,-0.2528591978972782,0.6799875645122169,0.1010119392134895,0.7900347833713449,0.07980294551444864
