grid_idx,pp_pop,pp_od,pp_drr,bs_ebit,geometry_grids,sigungunm,platplc,x,y,x_5179,y_5179,bdnm,bd_platarea,bd_archarea,bd_totarea,bd_totflrcnt,bd_elvtent,bs_gas,bs_elct,bd_height,bd_ilp,bd_vintage,count,geometry,gwr_const,gwr_bs_ebit,gwr_bs_elct,gwr_bd_height,gwr_bd_totarea,gwr_pp_od,gwr_pp_pop,gwr_r2,cbdness,sim,cbdi
24726,-0.516758646817793,0.5375432871397245,1.3739956468208867,0.723979681436589,"POLYGON ((953435.230213883 1952365.54807064, 953435.230213883 1952465.54807064, 953535.230213883 1952465.54807064, 953535.230213883 1952365.54807064, 953435.230213883 1952365.54807064))",종로구,서울특별시 종로구 신문로1가 115번지,126.97319295,37.569801951,953478.6960084311,1952400.78536854,콘코디언(concordian),0.7691282600084901,0.3108999625616357,1.9104391991174536,0.5034044676986225,4.011658336055546,0.9413330409443066,-0.4168692668422455,4.394648055362257,1.6806598193528062,-0.938765602250468,6.0,"POLYGON ((953435.230213883 1952365.54807064, 953435.230213883 1952465.54807064, 953535.230213883 1952465.54807064, 953535.230213883 1952365.54807064, 953435.230213883 1952365.54807064))",-1.277677085932141,-0.2621176796730284,0.0994987372254584,0.3933067218348485,-0.1508652342012888,0.5808144122537934,-2.773175262912189,0.8140309524971665,0.9277616211624906,0.547971885958683,0.5083872852684951
24727,-0.5081144363719886,0.4819606240965945,1.3072642024650625,0.6306793448493747,"POLYGON ((953435.230213883 1952465.54807064, 953435.230213883 1952565.54807064, 953535.230213883 1952565.54807064, 953535.230213883 1952465.54807064, 953435.230213883 1952465.54807064))",종로구,서울특별시 종로구 신문로1가 57번지,126.9729851,37.570602815,953460.8393787588,1952489.740293188,Crescendo(크레센도),0.5955637126605917,0.6803077515442534,1.669732718207621,-0.0262350580958815,1.6207539003165283,1.2642127447480562,1.0716437442922089,2.3172325855941995,1.890555771756368,-0.2837337287298196,6.0,"POLYGON ((953435.230213883 1952465.54807064, 953435.230213883 1952565.54807064, 953535.230213883 1952565.54807064, 953535.230213883 1952465.54807064, 953435.230213883 1952465.54807064))",-0.9402554194299256,-0.3711760753122041,0.0825559666324039,0.3935741021470564,-0.1468387840214454,0.8638767026302315,-2.040341495168034,0.8248250667478482,0.4806055957021137,0.6979848040794838,0.33545540255564343
24796,-0.5618679968839555,0.6352827900365292,1.6990097181772197,0.652825186073967,"POLYGON ((953535.230213883 1952465.54807064, 953535.230213883 1952565.54807064, 953635.230213883 1952565.54807064, 953635.230213883 1952465.54807064, 953535.230213883 1952465.54807064))",종로구,서울특별시 종로구 당주동 171번지,126.974721013,37.570698434,953614.1932494856,1952499.490404965,NoData,-0.7424852508979113,-0.732918052878713,-0.486813407413826,-0.8206943467876376,-0.0870349823541985,-0.3240489597767737,-0.3747172636111994,-0.1960691657769777,0.7726176375700144,2.090756812782531,8.0,"POLYGON ((953535.230213883 1952465.54807064, 953535.230213883 1952565.54807064, 953635.230213883 1952565.54807064, 953635.230213883 1952465.54807064, 953535.230213883 1952465.54807064))",-0.3279598905974124,-1.0792140447906693,0.0873254890745839,0.3885399279118429,-0.1130832655758046,1.6271226733207396,-0.9250701467706096,0.8057583633099852,0.06176478334582588,0.5808466713579535,0.03587586881356813
24864,-0.6994770757065505,0.9240185912401222,2.090559870519648,0.7894695624277513,"POLYGON ((953635.230213883 1952365.54807064, 953635.230213883 1952465.54807064, 953735.230213883 1952465.54807064, 953735.230213883 1952365.54807064, 953635.230213883 1952365.54807064))",종로구,서울특별시 종로구 신문로1가 135-2번지,126.975434458,37.569945106,953676.7293105968,1952415.560345453,NoData,-0.7600304063897066,-0.737991576576301,-0.4860561018355034,-0.7765577196380956,-0.4285927588883438,-0.32321997586829,-0.3583808772027981,-0.1093556182665699,1.803368222296427,2.336393765352774,8.0,"POLYGON ((953635.230213883 1952365.54807064, 953635.230213883 1952465.54807064, 953735.230213883 1952465.54807064, 953735.230213883 1952365.54807064, 953635.230213883 1952365.54807064))",-0.4724896651081519,-1.0668472456446734,0.1170071623611522,0.3613920729486413,-0.0620157181514358,1.4819042650656211,-1.2334375071242951,0.7475331418353562,0.12158501388718629,0.5914131514642715,0.07190697623384806
24865,-0.7483972872769479,0.871264394251957,2.0035825181839053,0.7191360252575166,"POLYGON ((953635.230213883 1952465.54807064, 953635.230213883 1952565.54807064, 953735.230213883 1952565.54807064, 953735.230213883 1952465.54807064, 953635.230213883 1952465.54807064))",종로구,서울특별시 종로구 당주동 30번지,126.975395146,37.570690211,953673.7192441102,1952498.245527988,NoData,0.8580585103845241,1.0850536692767871,2.1729740641927537,0.2827213319509125,-0.4285927588883438,-0.3295636084783251,-0.4161077774183866,3.5321496683603404,2.6268061894180907,-1.5119184915810355,7.0,"POLYGON ((953635.230213883 1952465.54807064, 953635.230213883 1952565.54807064, 953735.230213883 1952565.54807064, 953735.230213883 1952465.54807064, 953635.230213883 1952465.54807064))",0.1831627779124735,-1.6812208033642524,0.0852285907003504,0.369662503277072,-0.0685744956880945,2.3539129720492755,0.0670190701534161,0.7662540949100746,0.8213159609862746,0.5774157706450889,0.4742407885560015
24930,-0.8156788037584402,1.1201783307050477,2.069370755763092,0.8252193914199085,"POLYGON ((953735.230213883 1952365.54807064, 953735.230213883 1952465.54807064, 953835.230213883 1952465.54807064, 953835.230213883 1952365.54807064, 953735.230213883 1952365.54807064))",종로구,서울특별시 종로구 세종로 211번지,126.97614035,37.569570228,953738.833720072,1952373.6216904093,광화문빌딩,0.870625177819151,0.4089625022899004,1.4803659606383548,-0.0262350580958815,1.6207539003165283,-0.3295636084783251,1.3225488826845713,2.8092276332334647,2.9852438927534037,0.3712981447908288,7.0,"POLYGON ((953735.230213883 1952365.54807064, 953735.230213883 1952465.54807064, 953835.230213883 1952465.54807064, 953835.230213883 1952365.54807064, 953735.230213883 1952365.54807064))",-0.2176380208774777,-0.95302680647884,0.1219779223766592,0.348104271462438,-0.0277677640691438,1.5676483621266997,-0.6059515183128039,0.6953275104373885,0.8391993610475215,0.701355680766741,0.5885772391664985
24931,-0.8831722787319172,1.0889693704652907,2.553547338925665,0.7628479042641505,"POLYGON ((953735.230213883 1952465.54807064, 953735.230213883 1952565.54807064, 953835.230213883 1952565.54807064, 953835.230213883 1952465.54807064, 953735.230213883 1952465.54807064))",종로구,서울특별시 종로구 신문로1가 1-1번지,126.976177139,37.570474629,953742.6418654332,1952473.9424948231,"현대해상빌딩, 현대빌딩",0.5372270743778029,0.3502600677374765,0.4873393299491981,0.4151312133995384,-0.4285927588883438,0.5386112289202982,0.5577209091348706,0.3441515981247605,2.5643755984467758,1.899705849672341,4.0,"POLYGON ((953735.230213883 1952465.54807064, 953735.230213883 1952565.54807064, 953835.230213883 1952565.54807064, 953835.230213883 1952465.54807064, 953735.230213883 1952465.54807064))",0.4586744255052043,-1.7614433471054745,0.082611825213968,0.3483674422982366,-0.0269233841822808,2.636151557323124,0.7430614527365165,0.7264528851589267,0.15457826572789352,0.8009516933698522,0.12380972369293129
24995,-0.8999955906583912,1.2181354686914476,1.7449121014609876,0.8524017904109715,"POLYGON ((953835.230213883 1952365.54807064, 953835.230213883 1952465.54807064, 953935.230213883 1952465.54807064, 953935.230213883 1952365.54807064, 953835.230213883 1952365.54807064))",종로구,서울특별시 종로구 서린동 159-1번지,126.978008482,37.56954379,953903.7902118776,1952369.770453883,"동아일보사, 광화문우체국",0.7680040852859036,1.3837084454842683,1.3257121725383558,0.5034044676986225,1.6207539003165283,0.6389444853611811,2.5243780060435785,2.433855351363545,2.610660346925509,0.002842715935464,4.0,"POLYGON ((953835.230213883 1952365.54807064, 953835.230213883 1952465.54807064, 953935.230213883 1952465.54807064, 953935.230213883 1952365.54807064, 953835.230213883 1952365.54807064))",-0.0082769727710232,-0.4138359662236667,0.123014102186588,0.3602742768627929,-0.0217339990443833,1.4385670080658743,0.1488794127492513,0.6670183480539946,0.7921924133068925,0.6747265756171031,0.5345132742604084
24996,-0.8857937595976291,1.1501099087062687,1.4036016644291829,0.8010861990978813,"POLYGON ((953835.230213883 1952465.54807064, 953835.230213883 1952565.54807064, 953935.230213883 1952565.54807064, 953935.230213883 1952465.54807064, 953835.230213883 1952465.54807064))",종로구,서울특별시 종로구 종로1가 1번지,126.977983328,37.570986533,953902.4581124366,1952529.848144302,교보생명빌딩,3.31144939513771,1.9197365860965956,3.266743917010552,0.1061748233527444,6.402562771794563,-0.3295636084783251,3.7640452762915744,3.360577408580389,3.2597232151272912,1.0263300183114772,7.0,"POLYGON ((953835.230213883 1952465.54807064, 953835.230213883 1952565.54807064, 953935.230213883 1952565.54807064, 953935.230213883 1952465.54807064, 953835.230213883 1952465.54807064))",0.4739381412243425,-0.9761747297878904,0.0973377933835023,0.3499257492902441,-0.018178012284967,2.2422746543849303,1.1469479702001926,0.7120275411747732,0.892048062022387,0.5021397725629788,0.44793281097916743
25058,-0.9078220161368776,1.204400649605287,1.88246122979936,0.8865105282793897,"POLYGON ((953935.230213883 1952465.54807064, 953935.230213883 1952565.54807064, 954035.230213883 1952565.54807064, 954035.230213883 1952465.54807064, 953935.230213883 1952465.54807064))",종로구,서울특별시 종로구 청진동 246번지,126.97889685,37.571068136,953983.178962097,1952538.453831198,D타워,2.038562416391985,2.374373432776665,3.698998755042191,0.2827213319509125,8.110351654465289,-0.3295636084783251,-0.4157364106550268,3.722270280548935,2.497639449477437,-1.5119184915810355,7.0,"POLYGON ((953935.230213883 1952465.54807064, 953935.230213883 1952565.54807064, 954035.230213883 1952565.54807064, 954035.230213883 1952465.54807064, 953935.230213883 1952465.54807064))",0.88145070828017,-0.2908309997178646,0.118513625156191,0.3596294851636613,-0.015148350388312,1.8705825168785464,1.9217129923698772,0.7181015565495609,0.89493641469309,0.5021985371277274,0.4494357582812031
